ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
49,WMT.csv,2015-10-01,-0.879084,0.0,60.694973,61.233265,-0.5382920000000055,-0.8790842689835426,-0.008829710099948086,,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,-0.008829710099948086,-0.008829710099948086,-0.5382920000000055,-0.5382920000000055
121,WMT.csv,2015-10-02,1.104719,1.0,61.365482,60.694973,0.6705090000000027,1.1047191667751508,0.010986617156410052,49.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.010986617156410052,0.010986617156410052,0.6705090000000027,0.6705090000000027
204,WMT.csv,2015-10-05,1.369663,1.0,62.205982,61.365482,0.8404999999999987,1.3696625083137106,0.013603674095295629,121.0,5,Adv-ALSTM,stocknet,0.75,entr,0.023286340928338773,0.7,1.0,1,1,1,0.013603674095295629,0.013603674095295629,0.8404999999999987,0.8404999999999987
321,WMT.csv,2015-10-07,1.035328,1.0,62.668728,62.02655,0.6421780000000012,1.0353276137396021,0.010300048048838002,204.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.010300048048838002,-0.010300048048838002,-0.6421780000000012,-0.6421780000000012
392,WMT.csv,2015-10-08,0.783597,1.0,63.159798,62.668728,0.49107000000000056,0.7835965651002212,0.007805423917723698,321.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.007805423917723698,-0.007805423917723698,-0.49107000000000056,-0.49107000000000056
590,WMT.csv,2015-10-14,-10.040469,0.0,56.690826,63.018143,-6.327317000000001,-10.040468821812157,-0.1058102703580011,392.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.1058102703580011,0.1058102703580011,6.327317000000001,6.327317000000001
665,WMT.csv,2015-10-15,-1.166079,0.0,56.029766,56.690826,-0.6610599999999991,-1.166079322957826,-0.011729313466681037,590.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.011729313466681037,0.011729313466681037,0.6610599999999991,0.6610599999999991
716,WMT.csv,2015-10-16,-0.741618,0.0,55.614239,56.029766,-0.4155270000000044,-0.7416183033853906,-0.0074438196427971115,665.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0901499225359206,0.7,1.0,1,1,1,-0.0074438196427971115,-0.0074438196427971115,-0.4155270000000044,-0.4155270000000044
991,WMT.csv,2015-10-23,-1.018688,0.0,55.057056,55.623688,-0.5666319999999985,-1.018688296971604,-0.010239124349408995,716.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,-0.010239124349408995,-0.010239124349408995,-0.5666319999999985,-0.5666319999999985
1095,WMT.csv,2015-10-27,-0.930709,0.0,54.282669,54.792629,-0.5099599999999995,-0.9307091287771564,-0.009350672884600807,991.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,-0.009350672884600807,-0.009350672884600807,-0.5099599999999995,-0.5099599999999995
1208,WMT.csv,2015-10-29,0.555165,1.0,54.73597,54.433773,0.3021969999999996,0.5551645299325468,0.0055362917154499584,1095.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.0055362917154499584,0.0055362917154499584,0.3021969999999996,0.3021969999999996
1271,WMT.csv,2015-10-30,-1.242231,0.0,54.056023,54.73597,-0.6799469999999985,-1.2422306574634532,-0.012500108415277945,1208.0,5,Adv-ALSTM,stocknet,0.75,entr,0.5771993483670567,0.7,1.0,1,0,1,-0.0,-0.012500108415277945,-0.0,-0.6799469999999985
1329,WMT.csv,2015-11-02,0.646392,1.0,54.405437,54.056023,0.3494139999999959,0.6463923548352712,0.006443121986218561,1271.0,5,Adv-ALSTM,stocknet,0.75,entr,0.33378401544589653,0.7,0.0,-1,0,1,0.0,-0.006443121986218561,0.0,-0.3494139999999959
1384,WMT.csv,2015-11-03,0.867899,1.0,54.877621,54.405437,0.4721839999999986,0.8678985521244846,0.008641539631980728,1329.0,5,Adv-ALSTM,stocknet,0.75,entr,0.21581648345961607,0.7,0.0,-1,0,1,0.0,-0.008641539631980728,0.0,-0.4721839999999986
1685,WMT.csv,2015-11-11,-1.874557,0.0,54.377117,55.41592,-1.0388030000000015,-1.8745569865121818,-0.018923495108573433,1384.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.018923495108573433,0.018923495108573433,1.0388030000000015,1.0388030000000015
1762,WMT.csv,2015-11-12,-1.094135,0.0,53.782158,54.377117,-0.5949589999999958,-1.09413487294664,-0.011001645507568197,1685.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.011001645507568197,0.011001645507568197,0.5949589999999958,0.5949589999999958
1826,WMT.csv,2015-11-13,-0.930649,0.0,53.281635,53.782158,-0.5005230000000012,-0.9306487850487538,-0.00935006377849442,1762.0,5,Adv-ALSTM,stocknet,0.75,entr,0.48694715807840017,0.7,0.0,-1,0,1,-0.0,0.00935006377849442,-0.0,0.5005230000000012
1901,WMT.csv,2015-11-16,2.570009,1.0,54.650978,53.281635,1.3693430000000006,2.5700093474984405,0.025375397464093813,1826.0,5,Adv-ALSTM,stocknet,0.75,entr,0.41834796224769033,0.7,1.0,1,0,1,0.0,0.025375397464093813,0.0,1.3693430000000006
1951,WMT.csv,2015-11-17,3.54242,1.0,56.586945,54.650978,1.935966999999998,3.542419680028412,0.034811194731901904,1901.0,5,Adv-ALSTM,stocknet,0.75,entr,0.004300326208932443,0.7,1.0,1,1,1,0.034811194731901904,0.034811194731901904,1.935966999999998,1.935966999999998
2029,WMT.csv,2015-11-18,1.685581,1.0,57.540764,56.586945,0.9538190000000029,1.6855813651010898,0.01671533086086896,1951.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.01671533086086896,0.01671533086086896,0.9538190000000029,0.9538190000000029
2124,WMT.csv,2015-11-20,-1.037884,0.0,56.728603,57.323555,-0.5949519999999993,-1.0378839902724095,-0.010433075657444748,2029.0,5,Adv-ALSTM,stocknet,0.75,entr,0.10382080095761013,0.7,1.0,1,1,1,-0.010433075657444748,-0.010433075657444748,-0.5949519999999993,-0.5949519999999993
2228,WMT.csv,2015-11-24,-0.564226,0.0,56.586945,56.908035,-0.3210899999999981,-0.5642261237802326,-0.005658238922263679,2124.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.005658238922263679,0.005658238922263679,0.3210899999999981,0.3210899999999981
2291,WMT.csv,2015-11-27,-0.580998,0.0,56.55862,56.889145,-0.3305250000000015,-0.580998360935116,-0.005826927224077842,2228.0,5,Adv-ALSTM,stocknet,0.75,entr,0.5306788217108684,0.7,1.0,1,0,1,-0.0,-0.005826927224077842,-0.0,-0.3305250000000015
2348,WMT.csv,2015-11-30,-1.753218,0.0,55.567024,56.55862,-0.9915959999999941,-1.7532181655068566,-0.017687690640382767,2291.0,5,Adv-ALSTM,stocknet,0.75,entr,0.07788250941109637,0.7,1.0,1,1,1,-0.017687690640382767,-0.017687690640382767,-0.9915959999999941,-0.9915959999999941
2550,WMT.csv,2015-12-03,1.182529,1.0,56.222916,55.565834,0.6570819999999955,1.18252881797832,0.011755915822695475,2348.0,5,Adv-ALSTM,stocknet,0.75,entr,0.5031625433421463,0.7,1.0,1,0,1,0.0,0.011755915822695475,0.0,0.6570819999999955
2628,WMT.csv,2015-12-04,1.050134,1.0,56.813332,56.222916,0.5904160000000047,1.0501340770016352,0.01044658469887344,2550.0,5,Adv-ALSTM,stocknet,0.75,entr,0.004300326208932443,0.7,1.0,1,1,1,0.01044658469887344,0.01044658469887344,0.5904160000000047,0.5904160000000047
2679,WMT.csv,2015-12-07,1.407978,1.0,57.613251,56.813332,0.7999189999999956,1.4079776204641465,0.013981576832323959,2628.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.013981576832323959,-0.013981576832323959,-0.7999189999999956,-0.7999189999999956
2738,WMT.csv,2015-12-08,-1.471075,0.0,56.765717,57.613251,-0.847533999999996,-1.4710747706287153,-0.014820023767892506,2679.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.014820023767892506,0.014820023767892506,0.847533999999996,0.847533999999996
2806,WMT.csv,2015-12-09,-0.805234,0.0,56.30862,56.765717,-0.4570970000000045,-0.8052342578532119,-0.00808493778547077,2738.0,5,Adv-ALSTM,stocknet,0.75,entr,0.30599460741917084,0.7,1.0,1,0,1,-0.0,-0.00808493778547077,-0.0,-0.4570970000000045
2852,WMT.csv,2015-12-10,0.72721,1.0,56.718102,56.30862,0.4094820000000041,0.7272101500622891,0.0072457872666800574,2806.0,5,Adv-ALSTM,stocknet,0.75,entr,0.04170835854189348,0.7,1.0,1,1,1,0.0072457872666800574,0.0072457872666800574,0.4094820000000041,0.4094820000000041
2983,WMT.csv,2015-12-14,1.735169,1.0,57.508495,56.527645,0.9808500000000038,1.7351686948925675,0.0172028654979112,2852.0,5,Adv-ALSTM,stocknet,0.75,entr,0.28241769340623835,0.7,1.0,1,0,1,0.0,0.0172028654979112,0.0,0.9808500000000038
3056,WMT.csv,2015-12-15,-1.241914,0.0,56.794289,57.508495,-0.7142060000000043,-1.2419139120229181,-0.012496901123996528,2983.0,5,Adv-ALSTM,stocknet,0.75,entr,0.17268227610927328,0.7,1.0,1,1,1,-0.012496901123996528,-0.012496901123996528,-0.7142060000000043,-0.7142060000000043
3138,WMT.csv,2015-12-16,1.106634,1.0,57.422794,56.794289,0.6285050000000041,1.1066341547122882,0.011005557615545872,3056.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,1.0,1,1,1,0.011005557615545872,0.011005557615545872,0.6285050000000041,0.6285050000000041
3213,WMT.csv,2015-12-17,-2.189066,0.0,56.165771,57.422794,-1.2570230000000038,-2.1890662443210336,-0.02213381810331703,3138.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,0.02213381810331703,0.02213381810331703,1.2570230000000038,1.2570230000000038
3340,WMT.csv,2015-12-21,1.189457,1.0,56.708576,56.041981,0.6665950000000009,1.1894565254572298,0.011824380906633554,3213.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.011824380906633554,-0.011824380906633554,-0.6665950000000009,-0.6665950000000009
3394,WMT.csv,2015-12-22,1.662472,1.0,57.65134,56.708576,0.9427639999999968,1.6624716515540734,0.016488038656162007,3340.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.016488038656162007,-0.016488038656162007,-0.9427639999999968,-0.9427639999999968
3465,WMT.csv,2015-12-23,0.908492,1.0,58.175098,57.65134,0.5237580000000008,0.9084923264576346,0.009043903602354825,3394.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.009043903602354825,-0.009043903602354825,-0.5237580000000008,-0.5237580000000008
3593,WMT.csv,2015-12-29,1.415646,1.0,58.670292,57.851322,0.8189700000000002,1.4156461281904675,0.014057194332773412,3465.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.7,0.0,-1,-1,1,-0.014057194332773412,-0.014057194332773412,-0.8189700000000002,-0.8189700000000002
