ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
41,REX.csv,2015-10-01,-1.718686,0.0,49.75,50.619999,-0.869999,-1.7186863239566637,-0.01733627175733849,,3,Adv-ALSTM,stocknet,0.75,entr,0.6927826362602763,0.8,1.0,1,0,1,-0.0,-0.01733627175733849,-0.0,-0.869999
107,REX.csv,2015-10-02,5.889447,1.0,52.68,49.75,2.9299999999999997,5.889447236180904,0.057225413270478476,41.0,3,Adv-ALSTM,stocknet,0.75,entr,0.10949545296996789,0.8,1.0,1,1,1,0.057225413270478476,0.057225413270478476,2.9299999999999997,2.9299999999999997
185,REX.csv,2015-10-05,2.315873,1.0,53.900002,52.68,1.220002000000001,2.3158731966590755,0.02289463814562183,107.0,3,Adv-ALSTM,stocknet,0.75,entr,0.4582566994152163,0.8,1.0,1,0,1,0.0,0.02289463814562183,0.0,1.220002000000001
248,REX.csv,2015-10-06,1.743967,1.0,54.84,53.900002,0.9399980000000028,1.743966540112564,0.017289339673411615,185.0,3,Adv-ALSTM,stocknet,0.75,entr,0.08612188702851667,0.8,1.0,1,1,1,0.017289339673411615,0.017289339673411615,0.9399980000000028,0.9399980000000028
308,REX.csv,2015-10-07,3.884028,1.0,56.970001,54.84,2.130001,3.884028081692195,0.0381049763512885,248.0,3,Adv-ALSTM,stocknet,0.75,entr,0.03147906594716675,0.8,1.0,1,1,1,0.0381049763512885,0.0381049763512885,2.130001,2.130001
375,REX.csv,2015-10-08,-0.631912,0.0,56.610001,56.970001,-0.36000000000000654,-0.6319115212934725,-0.006339165332110341,308.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.8,1.0,1,1,1,-0.006339165332110341,-0.006339165332110341,-0.36000000000000654,-0.36000000000000654
432,REX.csv,2015-10-09,-1.024557,0.0,56.029999,56.610001,-0.5800020000000004,-1.0245574805766218,-0.010298421983680642,375.0,3,Adv-ALSTM,stocknet,0.75,entr,0.04898912969022677,0.8,1.0,1,1,1,-0.010298421983680642,-0.010298421983680642,-0.5800020000000004,-0.5800020000000004
475,REX.csv,2015-10-12,-0.731751,0.0,55.619999,56.029999,-0.4099999999999966,-0.7317508608201057,-0.007344412902936811,432.0,3,Adv-ALSTM,stocknet,0.75,entr,0.036677938750134136,0.8,1.0,1,1,1,-0.007344412902936811,-0.007344412902936811,-0.4099999999999966,-0.4099999999999966
578,REX.csv,2015-10-14,1.569545,1.0,56.299999,55.43,0.869999,1.5695453725419448,0.015573553951941904,475.0,3,Adv-ALSTM,stocknet,0.75,entr,0.252343677883885,0.8,1.0,1,0,1,0.0,0.015573553951941904,0.0,0.869999
647,REX.csv,2015-10-15,4.067497,1.0,58.59,56.299999,2.2900010000000037,4.0674974079484505,0.03986951617304212,578.0,3,Adv-ALSTM,stocknet,0.75,entr,0.32945533069176614,0.8,1.0,1,0,1,0.0,0.03986951617304212,0.0,2.2900010000000037
