ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
203,WFC.csv,2015-10-05,2.243469,1.0,49.383442,48.29985,1.083592000000003,2.243468665016564,0.022186730757895175,,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.8,1.0,1,1,1,0.022186730757895175,0.022186730757895175,1.083592000000003,1.083592000000003
259,WFC.csv,2015-10-06,-0.725067,0.0,49.025379,49.383442,-0.35806300000000135,-0.7250669161538018,-0.007277083019392245,203.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.8,1.0,1,1,1,-0.007277083019392245,-0.007277083019392245,-0.35806300000000135,-0.35806300000000135
391,WFC.csv,2015-10-08,0.670642,1.0,49.505936,49.17614,0.32979600000000175,0.6706423074279554,0.006684035058981028,259.0,3,Adv-ALSTM,stocknet,0.75,entr,0.38448131698095145,0.8,1.0,1,0,1,0.0,0.006684035058981028,0.0,0.32979600000000175
440,WFC.csv,2015-10-09,-0.761345,0.0,49.129025,49.505936,-0.3769109999999998,-0.7613450637515464,-0.007642580901561763,391.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.8,0.0,-1,-1,1,0.007642580901561763,0.007642580901561763,0.3769109999999998,0.3769109999999998
534,WFC.csv,2015-10-13,-0.613254,0.0,48.865204,49.166721,-0.30151700000000403,-0.6132542375563422,-0.006151423646599461,440.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.8,0.0,-1,-1,1,0.006151423646599461,0.006151423646599461,0.30151700000000403,0.30151700000000403
589,WFC.csv,2015-10-14,-0.694183,0.0,48.52599,48.865204,-0.33921399999999835,-0.6941831246626912,-0.006966037847627551,534.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.8,0.0,-1,-1,1,0.006966037847627551,0.006966037847627551,0.33921399999999835,0.33921399999999835
664,WFC.csv,2015-10-15,2.310671,1.0,49.647266,48.52599,1.1212760000000017,2.3106710445268646,0.022843792815143208,589.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.8,0.0,-1,-1,1,-0.022843792815143208,-0.022843792815143208,-1.1212760000000017,-1.1212760000000017
758,WFC.csv,2015-10-19,-0.605138,0.0,49.52478,49.826298,-0.3015180000000015,-0.605138274571395,-0.006069766564819904,664.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.8,0.0,-1,-1,1,0.006069766564819904,0.006069766564819904,0.3015180000000015,0.3015180000000015
799,WFC.csv,2015-10-20,0.989345,1.0,50.014751,49.52478,0.48997099999999705,0.9893451318713522,0.009844831544463636,758.0,3,Adv-ALSTM,stocknet,0.75,entr,0.5192083729181044,0.8,1.0,1,0,1,0.0,0.009844831544463636,0.0,0.48997099999999705
923,WFC.csv,2015-10-22,1.769582,1.0,50.93816,50.052441,0.8857190000000017,1.769582026978468,0.0175410721716313,799.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,0.8,0.0,-1,-1,1,-0.0175410721716313,-0.0175410721716313,-0.8857190000000017,-0.8857190000000017
