ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
84,JNJ.csv,2015-10-02,0.81571,1.0,88.924576,88.205078,0.7194980000000015,0.815710406151448,0.008124014708588144,,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,1.0,1,1,1,0.008124014708588144,0.008124014708588144,0.7194980000000015,0.7194980000000015
162,JNJ.csv,2015-10-05,0.883632,1.0,89.710342,88.924576,0.7857659999999953,0.8836319894288788,0.00879750808777435,84.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,1.0,1,1,1,0.00879750808777435,0.00879750808777435,0.7857659999999953,0.7857659999999953
233,JNJ.csv,2015-10-06,-1.414081,0.0,88.441765,89.710342,-1.2685769999999934,-1.4140811100686623,-0.014241745024828353,162.0,5,Adv-ALSTM,stocknet,0.75,entr,0.46911132702680103,0.9,0.0,-1,0,1,-0.0,0.014241745024828353,-0.0,1.2685769999999934
290,JNJ.csv,2015-10-07,1.669876,1.0,89.918633,88.441765,1.476867999999996,1.669876217418316,0.016560870804564677,233.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,1.0,1,1,1,0.016560870804564677,0.016560870804564677,1.476867999999996,1.476867999999996
465,JNJ.csv,2015-10-12,0.650099,1.0,90.874809,90.287849,0.5869600000000048,0.6500985531286773,0.00647994526393292,290.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,-0.00647994526393292,-0.00647994526393292,-0.5869600000000048,-0.5869600000000048
512,JNJ.csv,2015-10-13,-0.562565,0.0,90.363579,90.874809,-0.5112299999999976,-0.5625651438783191,-0.005641535014155256,465.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,0.005641535014155256,0.005641535014155256,0.5112299999999976,0.5112299999999976
563,JNJ.csv,2015-10-14,-0.963862,0.0,89.492599,90.363579,-0.870980000000003,-0.9638617788700057,-0.009685369925002258,512.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,0.009685369925002258,0.009685369925002258,0.870980000000003,0.870980000000003
624,JNJ.csv,2015-10-15,2.771609,1.0,91.972984,89.492599,2.4803849999999983,2.7716090802100837,0.027338952626738428,563.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,-0.027338952626738428,-0.027338952626738428,-2.4803849999999983,-2.4803849999999983
688,JNJ.csv,2015-10-16,1.121966,1.0,93.00489,91.972984,1.0319060000000064,1.1219664244013292,0.01115719066521847,624.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,-0.01115719066521847,-0.01115719066521847,-1.0319060000000064,-1.0319060000000064
885,JNJ.csv,2015-10-22,1.946117,1.0,94.226151,92.427406,1.7987449999999967,1.9461165014194994,0.019274218118710575,688.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,-0.019274218118710575,-0.019274218118710575,-1.7987449999999967,-1.7987449999999967
957,JNJ.csv,2015-10-23,0.78369,1.0,94.964592,94.226151,0.7384409999999946,0.7836900819603622,0.00780635181492049,885.0,5,Adv-ALSTM,stocknet,0.75,entr,0.014427214862176116,0.9,0.0,-1,-1,1,-0.00780635181492049,-0.00780635181492049,-0.7384409999999946,-0.7384409999999946
1187,JNJ.csv,2015-10-29,0.885752,1.0,95.968102,95.125526,0.8425760000000082,0.8857517381822502,0.008818519687396746,957.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,-0.008818519687396746,-0.008818519687396746,-0.8425760000000082,-0.8425760000000082
1302,JNJ.csv,2015-11-02,1.128374,1.0,96.725464,95.646217,1.0792470000000094,1.1283739533577262,0.011220553020471608,1187.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6931426805531953,0.9,0.0,-1,0,1,0.0,-0.011220553020471608,0.0,-1.0792470000000094
1556,JNJ.csv,2015-11-09,-1.059652,0.0,95.466347,96.488792,-1.0224450000000047,-1.0596515707233694,-0.010653058572770708,1302.0,5,Adv-ALSTM,stocknet,0.75,entr,0.09412135554435352,0.9,0.0,-1,0,1,-0.0,0.010653058572770708,-0.0,1.0224450000000047
1612,JNJ.csv,2015-11-10,0.604917,1.0,96.043839,95.466347,0.5774920000000066,0.6049168300113196,0.006030945533015397,1556.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6875186123480206,0.9,0.0,-1,0,1,0.0,-0.006030945533015397,0.0,-0.5774920000000066
1720,JNJ.csv,2015-11-12,-1.560976,0.0,94.926712,96.431992,-1.505279999999999,-1.5609757392546648,-0.015732872534420243,1612.0,5,Adv-ALSTM,stocknet,0.75,entr,0.19258371733717855,0.9,0.0,-1,0,1,-0.0,0.015732872534420243,-0.0,1.505279999999999
1859,JNJ.csv,2015-11-16,1.341617,1.0,95.826103,94.557503,1.2686000000000064,1.3416174917393986,0.013326974971761467,1720.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,1.0,1,1,1,0.013326974971761467,0.013326974971761467,1.2686000000000064,1.2686000000000064
1990,JNJ.csv,2015-11-18,1.152707,1.0,97.198837,96.091187,1.1076499999999925,1.152707167619849,0.011461141158963508,1859.0,5,Adv-ALSTM,stocknet,0.75,entr,0.2860359564758411,0.9,1.0,1,0,1,0.0,0.011461141158963508,0.0,1.1076499999999925
2104,JNJ.csv,2015-11-20,0.727356,1.0,97.734161,97.028419,0.7057420000000008,0.727355971862224,0.007247234955880964,1990.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6928591529055732,0.9,1.0,1,0,1,0.0,0.007247234955880964,0.0,0.7057420000000008
2204,JNJ.csv,2015-11-24,-0.710312,0.0,97.314537,98.010719,-0.6961819999999932,-0.7103121037199953,-0.007128468302549528,2104.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,0.007128468302549528,0.007128468302549528,0.6961819999999932,0.6961819999999932
2320,JNJ.csv,2015-11-30,-1.103844,0.0,96.551567,97.629242,-1.0776749999999993,-1.1038444813491426,-0.01109982052497814,2204.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,0.01109982052497814,0.01109982052497814,1.0776749999999993,1.0776749999999993
2381,JNJ.csv,2015-12-01,1.106296,1.0,97.619713,96.551567,1.0681459999999987,1.1062958719251015,0.011002211807865443,2320.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,-0.011002211807865443,-0.011002211807865443,-1.0681459999999987,-1.0681459999999987
2514,JNJ.csv,2015-12-03,-1.234684,0.0,96.122421,97.324066,-1.2016449999999992,-1.2346843379930295,-0.012423698921431517,2381.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,0.012423698921431517,0.012423698921431517,1.2016449999999992,1.2016449999999992
2590,JNJ.csv,2015-12-04,2.143066,1.0,98.182388,96.122421,2.0599670000000003,2.143066080285265,0.021204253189765276,2514.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0605477370064927,0.9,0.0,-1,-1,1,-0.021204253189765276,-0.021204253189765276,-2.0599670000000003,-2.0599670000000003
2713,JNJ.csv,2015-12-08,-0.871081,0.0,97.676926,98.535248,-0.8583220000000011,-0.8710811789908939,-0.008748972680771126,2590.0,5,Adv-ALSTM,stocknet,0.75,entr,0.004300326208932443,0.9,0.0,-1,-1,1,0.008748972680771126,0.008748972680771126,0.8583220000000011,0.8583220000000011
2891,JNJ.csv,2015-12-11,-0.935293,0.0,96.971214,97.886742,-0.9155279999999948,-0.9352931574737617,-0.009396944889913583,2713.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,0.009396944889913583,0.009396944889913583,0.9155279999999948,0.9155279999999948
3020,JNJ.csv,2015-12-15,1.938326,1.0,99.307747,97.419441,1.888306,1.9383256366662993,0.01919779380035367,2891.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,1.0,1,1,1,0.01919779380035367,0.01919779380035367,1.888306,1.888306
3096,JNJ.csv,2015-12-16,1.075569,1.0,100.37587,99.307747,1.068123,1.0755686562902287,0.010698255605432194,3020.0,5,Adv-ALSTM,stocknet,0.75,entr,0.1850457627493396,0.9,1.0,1,0,1,0.0,0.010698255605432194,0.0,1.068123
3175,JNJ.csv,2015-12-17,-1.529689,0.0,98.840431,100.37587,-1.5354390000000109,-1.529689356615301,-0.015415098032588007,3096.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,0.015415098032588007,0.015415098032588007,1.5354390000000109,1.5354390000000109
3254,JNJ.csv,2015-12-18,-1.63064,0.0,97.228699,98.840431,-1.6117319999999893,-1.6306404005866681,-0.016440816605452047,3175.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,1.0,1,1,1,-0.016440816605452047,-0.016440816605452047,-1.6117319999999893,-1.6117319999999893
3368,JNJ.csv,2015-12-22,1.112428,1.0,97.953506,96.875832,1.0776740000000018,1.1124281234560152,0.011062861498573029,3254.0,5,Adv-ALSTM,stocknet,0.75,entr,0.678968036741767,0.9,0.0,-1,0,1,0.0,-0.011062861498573029,0.0,-1.0776740000000018
3428,JNJ.csv,2015-12-23,0.759407,1.0,98.697372,97.953506,0.743865999999997,0.7594072232595707,0.007565382422835563,3368.0,5,Adv-ALSTM,stocknet,0.75,entr,0.48184357556795937,0.9,0.0,-1,0,1,0.0,-0.007565382422835563,0.0,-0.743865999999997
3559,JNJ.csv,2015-12-29,0.784735,1.0,99.212372,98.43988,0.7724919999999997,0.7847348046340565,0.007816717750699384,3428.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,-0.007816717750699384,-0.007816717750699384,-0.7724919999999997,-0.7724919999999997
3682,JNJ.csv,2015-12-31,-1.021405,0.0,97.963036,98.973961,-1.0109250000000003,-1.0214050137894353,-0.010266571491241258,3559.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,0.010266571491241258,0.010266571491241258,1.0109250000000003,1.0109250000000003
