ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
110,SNY.csv,2015-10-02,1.514195,1.0,44.850819,44.18182,0.6689989999999995,1.5141952051771508,0.015028456953256913,,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,1.0,1,1,1,0.015028456953256913,0.015028456953256913,0.6689989999999995,0.6689989999999995
188,SNY.csv,2015-10-05,1.905943,1.0,45.70565,44.850819,0.8548309999999972,1.9059428992812755,0.018880073435783143,110.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,1.0,1,1,1,0.018880073435783143,0.018880073435783143,0.8548309999999972,0.8548309999999972
251,SNY.csv,2015-10-06,-0.508226,0.0,45.473362,45.70565,-0.23228799999999694,-0.5082260070691412,-0.005095218679062177,188.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,1.0,1,1,1,-0.005095218679062177,-0.005095218679062177,-0.23228799999999694,-0.23228799999999694
311,SNY.csv,2015-10-07,-1.246426,0.0,44.90657,45.473362,-0.5667919999999995,-1.246426424331677,-0.012542594753600297,251.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,1.0,1,1,1,-0.012542594753600297,-0.012542594753600297,-0.5667919999999995,-0.5667919999999995
378,SNY.csv,2015-10-08,0.80696,1.0,45.268948,44.90657,0.36237799999999964,0.8069598724640952,0.00803721361939748,311.0,5,Adv-ALSTM,stocknet,0.75,entr,0.03410138672141592,0.9,1.0,1,1,1,0.00803721361939748,0.00803721361939748,0.36237799999999964,0.36237799999999964
478,SNY.csv,2015-10-12,1.210253,1.0,45.845028,45.296822,0.5482060000000004,1.2102526751214477,0.01202987675264575,378.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,-0.01202987675264575,-0.01202987675264575,-0.5482060000000004,-0.5482060000000004
526,SNY.csv,2015-10-13,-1.641672,0.0,45.092403,45.845028,-0.7526250000000019,-1.6416720260264688,-0.016552967829180962,478.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,0.016552967829180962,0.016552967829180962,0.7526250000000019,0.7526250000000019
650,SNY.csv,2015-10-15,3.691478,1.0,46.718441,45.055237,1.6632040000000003,3.691477641100857,0.03624974304571138,526.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,-0.03624974304571138,-0.03624974304571138,-1.6632040000000003,-1.6632040000000003
793,SNY.csv,2015-10-20,-2.31866,0.0,45.798573,46.885693,-1.0871200000000059,-2.3186604067044625,-0.023459642179602395,650.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,0.023459642179602395,0.023459642179602395,1.0871200000000059,1.0871200000000059
909,SNY.csv,2015-10-22,1.48525,1.0,46.346779,45.668488,0.6782909999999944,1.4852495226029694,0.014743277032600697,793.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6008031371135657,0.9,1.0,1,0,1,0.0,0.014743277032600697,0.0,0.6782909999999944
980,SNY.csv,2015-10-23,2.465915,1.0,47.489651,46.346779,1.142872000000004,2.4659146215964745,0.02436001700948507,909.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6902563939353337,0.9,0.0,-1,0,1,0.0,-0.02436001700948507,0.0,-1.142872000000004
1036,SNY.csv,2015-10-26,-0.802185,0.0,47.108696,47.489651,-0.38095500000000015,-0.8021853013828215,-0.008054201187722371,980.0,5,Adv-ALSTM,stocknet,0.75,entr,0.04898912969022677,0.9,0.0,-1,-1,1,0.008054201187722371,0.008054201187722371,0.38095500000000015,0.38095500000000015
1148,SNY.csv,2015-10-28,1.859548,1.0,47.842735,46.969318,0.8734169999999963,1.859547971294785,0.01842469771352523,1036.0,5,Adv-ALSTM,stocknet,0.75,entr,0.648980515799227,0.9,1.0,1,0,1,0.0,0.01842469771352523,0.0,0.8734169999999963
1202,SNY.csv,2015-10-29,-3.612352,0.0,46.114487,47.842735,-1.7282480000000007,-3.6123520112301284,-0.03679212547789038,1148.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0.9,0.0,-1,-1,1,0.03679212547789038,0.03679212547789038,1.7282480000000007,1.7282480000000007
1259,SNY.csv,2015-10-30,1.430583,1.0,46.774193,46.114487,0.6597059999999999,1.4305829749336687,0.014204466942535254,1202.0,5,Adv-ALSTM,stocknet,0.75,entr,0.017475533760343134,0.9,0.0,-1,-1,1,-0.014204466942535254,-0.014204466942535254,-0.6597059999999999,-0.6597059999999999
1318,SNY.csv,2015-11-02,0.675411,1.0,47.090111,46.774193,0.3159180000000035,0.6754109044703421,0.0067314022357119856,1259.0,5,Adv-ALSTM,stocknet,0.75,entr,0.011252309693388649,0.9,1.0,1,1,1,0.0067314022357119856,0.0067314022357119856,0.3159180000000035,0.3159180000000035
