ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
39,PTR.csv,2015-10-01,0.91822,1.0,69.029327,68.401253,0.628073999999998,0.9182200214958022,0.009140300109363422,,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,1.0,1,1,1,0.009140300109363422,0.009140300109363422,0.628073999999998,0.628073999999998
105,PTR.csv,2015-10-02,3.625253,1.0,71.531815,69.029327,2.5024879999999996,3.625253365138559,0.03561087248380994,39.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,1.0,1,1,1,0.03561087248380994,0.03561087248380994,2.5024879999999996,2.5024879999999996
183,PTR.csv,2015-10-05,0.658534,1.0,72.002876,71.531815,0.47106100000000595,0.6585335490229152,0.006563746895399003,105.0,5,Adv-ALSTM,stocknet,0.75,entr,0.15501658919315114,0,1.0,1,1,1,0.006563746895399003,0.006563746895399003,0.47106100000000595,0.47106100000000595
246,PTR.csv,2015-10-06,2.930355,1.0,74.112816,72.002876,2.1099399999999946,2.930355170812892,0.02888241014981421,183.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,1.0,1,1,1,0.02888241014981421,0.02888241014981421,2.1099399999999946,2.1099399999999946
306,PTR.csv,2015-10-07,5.243648,1.0,77.999031,74.112816,3.886215000000007,5.243647738334497,0.051107930722945664,246.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,1.0,1,1,1,0.051107930722945664,0.051107930722945664,3.886215000000007,3.886215000000007
373,PTR.csv,2015-10-08,1.937587,1.0,79.51033,77.999031,1.511298999999994,1.9375868913038083,0.019190546790608123,306.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,1.0,1,1,1,0.019190546790608123,0.019190546790608123,1.511298999999994,1.511298999999994
430,PTR.csv,2015-10-09,-1.147868,0.0,78.597656,79.51033,-0.9126739999999955,-1.1478684593561561,-0.011545073218581751,373.0,5,Adv-ALSTM,stocknet,0.75,entr,0.17736382838683667,0,1.0,1,1,1,-0.011545073218581751,-0.011545073218581751,-0.9126739999999955,-0.9126739999999955
474,PTR.csv,2015-10-12,1.098773,1.0,79.461266,78.597656,0.8636099999999942,1.098773225501781,0.010927805696679723,430.0,5,Adv-ALSTM,stocknet,0.75,entr,0.017475533760343134,0,0.0,-1,-1,1,-0.010927805696679723,-0.010927805696679723,-0.8636099999999942,-0.8636099999999942
524,PTR.csv,2015-10-13,-2.062497,0.0,77.82238,79.461266,-1.6388859999999994,-2.0624967138077053,-0.020840632317878676,474.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,0.0,-1,-1,1,0.020840632317878676,0.020840632317878676,1.6388859999999994,1.6388859999999994
576,PTR.csv,2015-10-14,1.967219,1.0,79.353317,77.82238,1.5309370000000087,1.967219455380327,0.019481197754810855,524.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,0.0,-1,-1,1,-0.019481197754810855,-0.019481197754810855,-1.5309370000000087,-1.5309370000000087
645,PTR.csv,2015-10-15,3.17833,1.0,81.875427,79.353317,2.522109999999998,3.1783296468879776,0.031288660967852155,576.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,0.0,-1,-1,1,-0.031288660967852155,-0.031288660967852155,-2.522109999999998,-2.522109999999998
703,PTR.csv,2015-10-16,0.647239,1.0,82.405357,81.875427,0.5299299999999931,0.6472393725653401,0.006451537729158882,645.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,0.0,-1,-1,1,-0.006451537729158882,-0.006451537729158882,-0.5299299999999931,-0.5299299999999931
748,PTR.csv,2015-10-19,-1.321901,0.0,81.31604,82.405357,-1.089316999999994,-1.321900710896737,-0.013307155871342714,703.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,0.0,-1,-1,1,0.013307155871342714,0.013307155871342714,1.089316999999994,1.089316999999994
790,PTR.csv,2015-10-20,-0.941336,0.0,80.550583,81.31604,-0.7654569999999978,-0.9413358053343446,-0.009457943729483314,748.0,5,Adv-ALSTM,stocknet,0.75,entr,0.004300326208932443,0,0.0,-1,-1,1,0.009457943729483314,0.009457943729483314,0.7654569999999978,0.7654569999999978
834,PTR.csv,2015-10-21,-2.253899,0.0,78.735054,80.550583,-1.815528999999998,-2.2538992672467657,-0.022796878120264392,790.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,0.0,-1,-1,1,0.022796878120264392,0.022796878120264392,1.815528999999998,1.815528999999998
906,PTR.csv,2015-10-22,2.031655,1.0,80.334679,78.735054,1.599624999999989,2.031655430121365,0.020112926502532016,834.0,5,Adv-ALSTM,stocknet,0.75,entr,0.12594151543708776,0,0.0,-1,-1,1,-0.020112926502532016,-0.020112926502532016,-1.599624999999989,-1.599624999999989
977,PTR.csv,2015-10-23,0.635236,1.0,80.844994,80.334679,0.5103150000000056,0.6352362471007144,0.006332271256090047,906.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6065680978792408,0,0.0,-1,-1,1,-0.006332271256090047,-0.006332271256090047,-0.5103150000000056,-0.5103150000000056
1031,PTR.csv,2015-10-26,-3.799467,0.0,77.773315,80.844994,-3.071679000000003,-3.799467163050322,-0.03873528948613913,977.0,5,Adv-ALSTM,stocknet,0.75,entr,0.5237255347029401,0,0.0,-1,-1,1,0.03873528948613913,0.03873528948613913,3.071679000000003,3.071679000000003
1083,PTR.csv,2015-10-27,-1.047331,0.0,76.958771,77.773315,-0.8145439999999979,-1.0473309514966644,-0.010528540594322927,1031.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6474466390346325,0,1.0,1,1,1,-0.010528540594322927,-0.010528540594322927,-0.8145439999999979,-0.8145439999999979
1144,PTR.csv,2015-10-28,0.981904,1.0,77.714432,76.958771,0.7556610000000035,0.9819036741114322,0.00977114325657846,1083.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,1.0,1,1,1,0.00977114325657846,0.00977114325657846,0.7556610000000035,0.7556610000000035
1197,PTR.csv,2015-10-29,-2.184625,0.0,76.016663,77.714432,-1.697769000000008,-2.184625115705675,-0.022088413897236564,1144.0,5,Adv-ALSTM,stocknet,0.75,entr,0.036677938750134136,0,1.0,1,1,1,-0.022088413897236564,-0.022088413897236564,-1.697769000000008,-1.697769000000008
1256,PTR.csv,2015-10-30,1.510449,1.0,77.164856,76.016663,1.1481930000000062,1.5104490971933435,0.014991553965473211,1197.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,1.0,1,1,1,0.014991553965473211,0.014991553965473211,1.1481930000000062,1.1481930000000062
1371,PTR.csv,2015-11-03,1.341348,1.0,77.85183,76.821388,1.0304420000000079,1.3413478027759769,0.01332431378153232,1256.0,5,Adv-ALSTM,stocknet,0.75,entr,0.12235691110311471,0,1.0,1,1,1,0.01332431378153232,0.01332431378153232,1.0304420000000079,1.0304420000000079
1452,PTR.csv,2015-11-05,-0.690951,0.0,77.577042,78.116791,-0.5397490000000005,-0.6909513218483341,-0.0069334944344681985,1371.0,5,Adv-ALSTM,stocknet,0.75,entr,0.46911132702680103,0,1.0,1,1,1,-0.0069334944344681985,-0.0069334944344681985,-0.5397490000000005,-0.5397490000000005
1506,PTR.csv,2015-11-06,-2.428853,0.0,75.69281,77.577042,-1.8842320000000115,-2.4288525979116495,-0.024588357153752773,1452.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,0.0,-1,-1,1,0.024588357153752773,0.024588357153752773,1.8842320000000115,1.8842320000000115
1572,PTR.csv,2015-11-09,-2.204056,0.0,74.024498,75.69281,-1.6683120000000002,-2.204056105196782,-0.02228708327563755,1506.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,1.0,1,1,1,-0.02228708327563755,-0.02228708327563755,-1.6683120000000002,-1.6683120000000002
1622,PTR.csv,2015-11-10,-0.914771,0.0,73.347343,74.024498,-0.6771549999999991,-0.9147714855155102,-0.009189812124569515,1572.0,5,Adv-ALSTM,stocknet,0.75,entr,0.49761730339567445,0,0.0,-1,-1,1,0.009189812124569515,0.009189812124569515,0.6771549999999991,0.6771549999999991
1674,PTR.csv,2015-11-11,-2.26117,0.0,71.688835,73.347343,-1.6585079999999977,-2.261169842239545,-0.022871263137697818,1622.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,0,1.0,1,1,1,-0.022871263137697818,-0.022871263137697818,-1.6585079999999977,-1.6585079999999977
1742,PTR.csv,2015-11-12,0.971946,1.0,72.385612,71.688835,0.6967769999999973,0.9719463288809161,0.00967253315096821,1674.0,5,Adv-ALSTM,stocknet,0.75,entr,0.2967152565836348,0,1.0,1,1,1,0.00967253315096821,0.00967253315096821,0.6967769999999973,0.6967769999999973
1810,PTR.csv,2015-11-13,-3.023326,0.0,70.197159,72.385612,-2.1884529999999955,-3.023325961518424,-0.030699710233263004,1742.0,5,Adv-ALSTM,stocknet,0.75,entr,0.23649121771307294,0,1.0,1,1,1,-0.030699710233263004,-0.030699710233263004,-2.1884529999999955,-2.1884529999999955
1881,PTR.csv,2015-11-16,1.593738,1.0,71.315918,70.197159,1.1187589999999972,1.5937382878985136,0.015811716232399502,1810.0,5,Adv-ALSTM,stocknet,0.75,entr,0.49901300026020734,0,1.0,1,1,1,0.015811716232399502,0.015811716232399502,1.1187589999999972,1.1187589999999972
1938,PTR.csv,2015-11-17,-1.830197,0.0,70.010696,71.315918,-1.3052220000000005,-1.830197291998682,-0.01847152598313093,1881.0,5,Adv-ALSTM,stocknet,0.75,entr,0.2713804780532708,0,1.0,1,1,1,-0.01847152598313093,-0.01847152598313093,-1.3052220000000005,-1.3052220000000005
2012,PTR.csv,2015-11-18,-1.668064,0.0,68.842873,70.010696,-1.1678229999999985,-1.6680636912965392,-0.016821325447436343,1938.0,5,Adv-ALSTM,stocknet,0.75,entr,0.05135415426509298,0,1.0,1,1,1,-0.016821325447436343,-0.016821325447436343,-1.1678229999999985,-1.1678229999999985
