ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
75,GD.csv,2015-10-02,0.687541,1.0,133.722,132.808884,0.9131160000000023,0.6875413545376996,0.006851885670682995,,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,1.0,1,1,1,0.006851885670682995,0.006851885670682995,0.9131160000000023,0.9131160000000023
153,GD.csv,2015-10-05,3.586572,1.0,138.518036,133.722,4.796035999999987,3.586572142205461,0.03523752290988752,75.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,1.0,1,1,1,0.03523752290988752,0.03523752290988752,4.796035999999987,4.796035999999987
228,GD.csv,2015-10-06,-2.400793,0.0,135.192505,138.518036,-3.325530999999984,-2.400792774740167,-0.024300815294043727,153.0,5,Adv-ALSTM,stocknet,0.75,entr,0.011252309693388649,1,1.0,1,0,1,-0.0,-0.024300815294043727,-0.0,-3.325530999999984
347,GD.csv,2015-10-08,1.104319,1.0,137.06633,135.569214,1.4971160000000054,1.1043185660130814,0.0109826549125206,228.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.0109826549125206,-0.0109826549125206,-1.4971160000000054,-1.4971160000000054
414,GD.csv,2015-10-09,0.570759,1.0,137.848648,137.06633,0.7823180000000036,0.5707586976320178,0.005691360415500896,347.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.005691360415500896,-0.005691360415500896,-0.7823180000000036,-0.7823180000000036
462,GD.csv,2015-10-12,0.679662,1.0,138.785553,137.848648,0.9369049999999959,0.6796620885247971,0.006773627981424671,414.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.006773627981424671,-0.006773627981424671,-0.9369049999999959,-0.9369049999999959
504,GD.csv,2015-10-13,-1.377975,0.0,136.873123,138.785553,-1.9124300000000005,-1.3779748386346817,-0.013875570406345072,462.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.013875570406345072,0.013875570406345072,1.9124300000000005,1.9124300000000005
556,GD.csv,2015-10-14,-1.559522,0.0,134.738556,136.873123,-2.134567000000004,-1.559522390674175,-0.01571810869596357,504.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.01571810869596357,0.01571810869596357,2.134567000000004,2.134567000000004
618,GD.csv,2015-10-15,1.283149,1.0,136.467453,134.738556,1.7288970000000177,1.283149420125905,0.012749868094578294,556.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6400355195992341,1,1.0,1,0,1,0.0,0.012749868094578294,0.0,1.7288970000000177
819,GD.csv,2015-10-21,1.302662,1.0,138.206024,136.428818,1.7772060000000067,1.3026617294302194,0.012942500631417081,618.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.012942500631417081,-0.012942500631417081,-1.7772060000000067,-1.7772060000000067
876,GD.csv,2015-10-22,2.907258,1.0,142.22403,138.206024,4.0180059999999855,2.9072582248657883,0.028657991049116358,819.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.028657991049116358,-0.028657991049116358,-4.0180059999999855,-4.0180059999999855
951,GD.csv,2015-10-23,0.6995,1.0,143.218887,142.22403,0.9948569999999961,0.699499936825019,0.0069706478534399515,876.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.0069706478534399515,-0.0069706478534399515,-0.9948569999999961,-0.9948569999999961
1120,GD.csv,2015-10-28,1.603754,1.0,145.63353,143.334793,2.298737000000017,1.603753667820218,0.01591029402323174,951.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.01591029402323174,-0.01591029402323174,-2.298737000000017,-2.298737000000017
1180,GD.csv,2015-10-29,-0.537194,0.0,144.851196,145.63353,-0.7823340000000201,-0.5371935982050425,-0.005386416713137304,1120.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.005386416713137304,0.005386416713137304,0.7823340000000201,0.7823340000000201
1235,GD.csv,2015-10-30,-0.926855,0.0,143.508636,144.851196,-1.3425599999999918,-0.9268546184458097,-0.009311766425139333,1180.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6142154941618896,1,0.0,-1,0,1,-0.0,0.009311766425139333,-0.0,1.3425599999999918
1351,GD.csv,2015-11-03,-1.04221,0.0,142.146774,143.643845,-1.4970710000000054,-1.042210336266065,-0.010476793806759975,1235.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.010476793806759975,0.010476793806759975,1.4970710000000054,1.4970710000000054
1483,GD.csv,2015-11-06,-0.781962,0.0,140.939423,142.050201,-1.110777999999982,-0.7819615827224223,-0.007850349344103644,1351.0,5,Adv-ALSTM,stocknet,0.75,entr,0.011252309693388649,1,1.0,1,0,1,-0.0,-0.007850349344103644,-0.0,-1.110777999999982
1548,GD.csv,2015-11-09,-1.117056,0.0,139.365051,140.939423,-1.574372000000011,-1.1170558006328797,-0.01123341724295512,1483.0,5,Adv-ALSTM,stocknet,0.75,entr,0.004300326208932443,1,0.0,-1,0,1,-0.0,0.01123341724295512,-0.0,1.574372000000011
