ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
26,HSBC.csv,2015-10-01,0.765558,1.0,33.370811,33.117279,0.25353199999999987,0.76555806411511,0.007626425389384876,,5,Adv-ALSTM,stocknet,0.75,entr,0.004300326208932443,1,1.0,1,0,1,0.0,0.007626425389384876,0.0,0.25353199999999987
81,HSBC.csv,2015-10-02,2.017284,1.0,34.043995,33.370811,0.6731839999999991,2.0172839071846322,0.0199720630115757,26.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,1.0,1,1,1,0.0199720630115757,0.0199720630115757,0.6731839999999991,0.6731839999999991
159,HSBC.csv,2015-10-05,1.54085,1.0,34.568562,34.043995,0.5245669999999976,1.5408503026745173,0.015290997562221489,81.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,1.0,1,1,1,0.015290997562221489,0.015290997562221489,0.5245669999999976,0.5245669999999976
287,HSBC.csv,2015-10-07,2.630908,1.0,35.469055,34.559818,0.9092369999999974,2.6309079521194163,0.02596894847946233,159.0,5,Adv-ALSTM,stocknet,0.75,entr,0.028806410248161912,1,1.0,1,0,1,0.0,0.02596894847946233,0.0,0.9092369999999974
417,HSBC.csv,2015-10-09,-0.539354,0.0,35.469055,35.661396,-0.1923410000000061,-0.5393535351224222,-0.005408132975210346,287.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.005408132975210346,0.005408132975210346,0.1923410000000061,0.1923410000000061
509,HSBC.csv,2015-10-13,-2.80235,0.0,34.568562,35.565224,-0.9966620000000006,-2.802349846018123,-0.028423650184483812,417.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.028423650184483812,0.028423650184483812,0.9966620000000006,0.9966620000000006
560,HSBC.csv,2015-10-14,0.632268,1.0,34.787128,34.568562,0.2185660000000027,0.6322681284804462,0.006302776990439118,509.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.006302776990439118,-0.006302776990439118,-0.2185660000000027,-0.2185660000000027
623,HSBC.csv,2015-10-15,1.558168,1.0,35.32917,34.787128,0.542041999999995,1.5581682971931312,0.01546153501414977,560.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.01546153501414977,-0.01546153501414977,-0.542041999999995,-0.542041999999995
740,HSBC.csv,2015-10-19,-0.61926,0.0,35.075638,35.294201,-0.21856300000000317,-0.6192603708467666,-0.006211857406984577,623.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.006211857406984577,0.006211857406984577,0.21856300000000317,0.21856300000000317
778,HSBC.csv,2015-10-20,-0.623142,0.0,34.857067,35.075638,-0.21857099999999718,-0.6231419083524502,-0.006250915410811289,740.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.006250915410811289,0.006250915410811289,0.21857099999999718,0.21857099999999718
821,HSBC.csv,2015-10-21,-1.117604,0.0,34.467503,34.857067,-0.389564,-1.117604071507221,-0.01123896190385456,778.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.01123896190385456,0.01123896190385456,0.389564,0.389564
882,HSBC.csv,2015-10-22,0.873382,1.0,34.768536,34.467503,0.3010329999999968,0.8733820955930482,0.008695901768002766,821.0,5,Adv-ALSTM,stocknet,0.75,entr,0.23243549494150267,1,0.0,-1,0,1,0.0,-0.008695901768002766,0.0,-0.3010329999999968
954,HSBC.csv,2015-10-23,1.629723,1.0,35.335167,34.768536,0.566631000000001,1.6297234948287758,0.016165860453649306,882.0,5,Adv-ALSTM,stocknet,0.75,entr,0.5217984709676377,1,0.0,-1,0,1,0.0,-0.016165860453649306,0.0,-0.566631000000001
1018,HSBC.csv,2015-10-26,-0.902028,0.0,35.016434,35.335167,-0.3187330000000017,-0.9020277164672852,-0.009061206178006256,954.0,5,Adv-ALSTM,stocknet,0.75,entr,0.22696752250060448,1,0.0,-1,0,1,-0.0,0.009061206178006256,-0.0,0.3187330000000017
1071,HSBC.csv,2015-10-27,-0.834385,0.0,34.724262,35.016434,-0.29217199999999366,-0.8343853631697439,-0.008378858431022011,1018.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6380054360731315,1,1.0,1,0,1,-0.0,-0.008378858431022011,-0.0,-0.29217199999999366
1125,HSBC.csv,2015-10-28,0.968893,1.0,35.060703,34.724262,0.33644099999999355,0.9688931617898562,0.009642294917840195,1071.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,1.0,1,1,1,0.009642294917840195,0.009642294917840195,0.33644099999999355,0.33644099999999355
1184,HSBC.csv,2015-10-29,-0.934331,0.0,34.73312,35.060703,-0.32758299999999707,-0.9343309516640242,-0.009387232034876373,1125.0,5,Adv-ALSTM,stocknet,0.75,entr,0.05135415426509298,1,1.0,1,0,1,-0.0,-0.009387232034876373,-0.0,-0.32758299999999707
1405,HSBC.csv,2015-11-04,2.614056,1.0,35.450275,34.547192,0.9030829999999952,2.6140561583123603,0.025804736958678208,1184.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.025804736958678208,-0.025804736958678208,-0.9030829999999952,-0.9030829999999952
1443,HSBC.csv,2015-11-05,-1.323705,0.0,34.981018,35.450275,-0.4692569999999989,-1.3237048231642743,-0.013325438841655752,1405.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6873037899231933,1,1.0,1,0,1,-0.0,-0.013325438841655752,-0.0,-0.4692569999999989
1486,HSBC.csv,2015-11-06,0.885849,1.0,35.290897,34.981018,0.30987900000000224,0.8858490053091143,0.008819483818389467,1443.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.008819483818389467,-0.008819483818389467,-0.30987900000000224,-0.30987900000000224
1610,HSBC.csv,2015-11-10,-0.825202,0.0,35.113827,35.405998,-0.2921709999999962,-0.8252019897871434,-0.008286256290423375,1486.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.008286256290423375,0.008286256290423375,0.2921709999999962,0.2921709999999962
1793,HSBC.csv,2015-11-13,-1.642652,0.0,34.458656,35.034145,-0.5754890000000046,-1.6426517615886003,-0.016562928759402757,1610.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.016562928759402757,0.016562928759402757,0.5754890000000046,0.5754890000000046
1857,HSBC.csv,2015-11-16,0.770796,1.0,34.724262,34.458656,0.26560600000000534,0.7707961680223552,0.007678407116735088,1793.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.007678407116735088,-0.007678407116735088,-0.26560600000000534,-0.26560600000000534
1987,HSBC.csv,2015-11-18,1.065731,1.0,35.264343,34.892483,0.3718599999999981,1.0657309770703278,0.01060092092671463,1857.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.01060092092671463,-0.01060092092671463,-0.3718599999999981,-0.3718599999999981
2052,HSBC.csv,2015-11-19,0.928938,1.0,35.591927,35.264343,0.32758400000000165,0.9289383329784471,0.009246502362395891,1987.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.009246502362395891,-0.009246502362395891,-0.32758400000000165,-0.32758400000000165
2202,HSBC.csv,2015-11-24,-0.793047,0.0,35.441414,35.724728,-0.2833139999999972,-0.7930473256507291,-0.007962086710237352,2052.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.007962086710237352,0.007962086710237352,0.2833139999999972,0.2833139999999972
2317,HSBC.csv,2015-11-30,-0.548345,0.0,35.326321,35.521099,-0.19477799999999945,-0.5483445205341182,-0.005498534477077568,2202.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.005498534477077568,0.005498534477077568,0.19477799999999945,0.19477799999999945
2378,HSBC.csv,2015-12-01,1.879686,1.0,35.990345,35.326321,0.6640239999999977,1.8796862543370925,0.018622384557538642,2317.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.018622384557538642,-0.018622384557538642,-0.6640239999999977,-0.6640239999999977
2441,HSBC.csv,2015-12-02,-1.279221,0.0,35.529949,35.990345,-0.4603959999999958,-1.2792208577050201,-0.012874733415896934,2378.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.012874733415896934,0.012874733415896934,0.4603959999999958,0.4603959999999958
2511,HSBC.csv,2015-12-03,-1.171187,0.0,35.113827,35.529949,-0.41612200000000144,-1.1711865952861384,-0.011780990100146329,2441.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.011780990100146329,0.011780990100146329,0.41612200000000144,0.41612200000000144
2655,HSBC.csv,2015-12-07,-1.128943,0.0,34.892483,35.290897,-0.3984140000000025,-1.1289426845682116,-0.011353636139752078,2511.0,5,Adv-ALSTM,stocknet,0.75,entr,0.6671567199328996,1,1.0,1,0,1,-0.0,-0.011353636139752078,-0.0,-0.3984140000000025
2710,HSBC.csv,2015-12-08,-2.638918,0.0,33.971699,34.892483,-0.9207839999999976,-2.6389179583464943,-0.026743623549157172,2655.0,5,Adv-ALSTM,stocknet,0.75,entr,0.544656829465473,1,1.0,1,0,1,-0.0,-0.026743623549157172,-0.0,-0.9207839999999976
2774,HSBC.csv,2015-12-09,0.677617,1.0,34.201897,33.971699,0.23019800000000146,0.6776169775906746,0.006753314725865519,2710.0,5,Adv-ALSTM,stocknet,0.75,entr,0.0,1,1.0,1,1,1,0.006753314725865519,0.006753314725865519,0.23019800000000146,0.23019800000000146
2888,HSBC.csv,2015-12-11,-2.19524,0.0,33.529015,34.281578,-0.7525630000000021,-2.1952402541096623,-0.02219694197318823,2774.0,5,Adv-ALSTM,stocknet,0.75,entr,0.5230846523030585,1,0.0,-1,0,1,-0.0,0.02219694197318823,-0.0,0.7525630000000021
3017,HSBC.csv,2015-12-15,1.398034,1.0,34.033672,33.56443,0.46924200000000127,1.3980335730414646,0.013883512210155012,2888.0,5,Adv-ALSTM,stocknet,0.75,entr,0.014427214862176116,1,1.0,1,0,1,0.0,0.013883512210155012,0.0,0.46924200000000127
