ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
115,UL.csv,2015-10-02,1.909874,1.0,39.110943,38.377972,0.7329709999999992,1.90987423723171,0.01891865079455878,,3,Adv-ALSTM,stocknet,0.75,entr,0.40131622711833936,1,1.0,1,0,1,0.0,0.01891865079455878,0.0,0.7329709999999992
196,UL.csv,2015-10-05,1.898123,1.0,39.853317,39.110943,0.7423739999999981,1.8981234996046967,0.018803338954292363,115.0,3,Adv-ALSTM,stocknet,0.75,entr,0.1647529677626298,1,1.0,1,0,1,0.0,0.018803338954292363,0.0,0.7423739999999981
385,UL.csv,2015-10-08,1.060058,1.0,40.313782,39.890915,0.42286700000000366,1.060058411796279,0.010544791866759638,196.0,3,Adv-ALSTM,stocknet,0.75,entr,0.004300326208932443,1,1.0,1,0,1,0.0,0.010544791866759638,0.0,0.42286700000000366
437,UL.csv,2015-10-09,-0.536137,0.0,40.097645,40.313782,-0.21613700000000335,-0.5361367484697996,-0.005375791192314985,385.0,3,Adv-ALSTM,stocknet,0.75,entr,0.4675813689286301,1,0.0,-1,0,1,-0.0,0.005375791192314985,-0.0,0.21613700000000335
483,UL.csv,2015-10-12,1.242085,1.0,40.595692,40.097645,0.4980469999999997,1.242085414243155,0.012344348195005577,437.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.012344348195005577,-0.012344348195005577,-0.4980469999999997,-0.4980469999999997
657,UL.csv,2015-10-15,4.291345,1.0,42.249596,40.511124,1.7384719999999945,4.291344767427323,0.04201818856211078,483.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.04201818856211078,-0.04201818856211078,-1.7384719999999945,-1.7384719999999945
713,UL.csv,2015-10-16,0.556048,1.0,42.484524,42.249596,0.23492800000000358,0.5560479205529056,0.0055450768111152595,657.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.0055450768111152595,-0.0055450768111152595,-0.23492800000000358,-0.23492800000000358
916,UL.csv,2015-10-22,1.128063,1.0,42.963776,42.484524,0.47925200000000245,1.1280625387258723,0.011217473616550145,713.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.011217473616550145,-0.011217473616550145,-0.47925200000000245,-0.47925200000000245
985,UL.csv,2015-10-23,-0.61243,0.0,42.700653,42.963776,-0.2631230000000002,-0.6124298758097989,-0.0061431291972600605,916.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.0061431291972600605,0.0061431291972600605,0.2631230000000002,0.2631230000000002
1089,UL.csv,2015-10-27,-0.684339,0.0,42.277782,42.569099,-0.2913169999999994,-0.6843391258997504,-0.006866914642196295,985.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.006866914642196295,0.006866914642196295,0.2913169999999994,0.2913169999999994
1264,UL.csv,2015-10-30,-1.200259,0.0,42.092186,42.603539,-0.5113529999999997,-1.2002594432354545,-0.012075207181395696,1089.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.012075207181395696,0.012075207181395696,0.5113529999999997,0.5113529999999997
1516,UL.csv,2015-11-06,-1.744064,0.0,41.078938,41.808098,-0.7291600000000003,-1.7440640327622658,-0.017594520094411585,1264.0,3,Adv-ALSTM,stocknet,0.75,entr,0.6906951757946529,1,1.0,1,0,1,-0.0,-0.017594520094411585,-0.0,-0.7291600000000003
1583,UL.csv,2015-11-09,-1.152593,0.0,40.605465,41.078938,-0.4734729999999985,-1.1525930879712578,-0.01159286926962943,1516.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0881431758379648,1,0.0,-1,0,1,-0.0,0.01159286926962943,-0.0,0.4734729999999985
1682,UL.csv,2015-11-11,1.237165,1.0,41.069469,40.567581,0.501888000000001,1.2371652132770772,0.012295748637749274,1583.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,1.0,1,1,1,0.012295748637749274,0.012295748637749274,0.501888000000001,0.501888000000001
1754,UL.csv,2015-11-12,-1.775421,0.0,40.340313,41.069469,-0.7291559999999961,-1.775421055480401,-0.0179137071954677,1682.0,3,Adv-ALSTM,stocknet,0.75,entr,0.04170835854189348,1,1.0,1,0,1,-0.0,-0.0179137071954677,-0.0,-0.7291559999999961
1819,UL.csv,2015-11-13,-1.408467,0.0,39.772133,40.340313,-0.5681800000000052,-1.4084670091677405,-0.014184800370671423,1754.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.014184800370671423,0.014184800370671423,0.5681800000000052,0.5681800000000052
1893,UL.csv,2015-11-16,1.190492,1.0,40.245617,39.772133,0.47348400000000623,1.1904918451318822,0.01183461235182368,1819.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.01183461235182368,-0.01183461235182368,-0.47348400000000623,-0.47348400000000623
1948,UL.csv,2015-11-17,0.729411,1.0,40.539173,40.245617,0.29355599999999527,0.7294111058105911,0.007267637685243283,1893.0,3,Adv-ALSTM,stocknet,0.75,entr,0.014427214862176116,1,0.0,-1,0,1,0.0,-0.007267637685243283,0.0,-0.29355599999999527
2023,UL.csv,2015-11-18,0.887655,1.0,40.899021,40.539173,0.3598479999999995,0.8876550096372205,0.008837385121506065,1948.0,3,Adv-ALSTM,stocknet,0.75,entr,0.642679803854969,1,1.0,1,0,1,0.0,0.008837385121506065,0.0,0.3598479999999995
2077,UL.csv,2015-11-19,0.625132,1.0,41.154694,40.899021,0.2556730000000016,0.6251323228494923,0.0062318647594557875,2023.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,1.0,1,1,1,0.0062318647594557875,0.0062318647594557875,0.2556730000000016,0.2556730000000016
2177,UL.csv,2015-11-23,-0.643245,0.0,40.955833,41.220985,-0.2651520000000005,-0.6432451820353166,-0.006453229186091694,2077.0,3,Adv-ALSTM,stocknet,0.75,entr,0.4668138231593409,1,0.0,-1,0,1,-0.0,0.006453229186091694,-0.0,0.2651520000000005
2264,UL.csv,2015-11-25,1.415936,1.0,41.372486,40.794857,0.5776290000000017,1.41593583720615,0.014060050978793317,2177.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.014060050978793317,-0.014060050978793317,-0.5776290000000017,-0.5776290000000017
2341,UL.csv,2015-11-30,-1.652506,0.0,40.577053,41.258858,-0.6818049999999971,-1.652505747977797,-0.016663119342132503,2264.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.016663119342132503,0.016663119342132503,0.6818049999999971,0.6818049999999971
2542,UL.csv,2015-12-03,-2.183504,0.0,39.876308,40.766445,-0.8901369999999957,-2.183504104907837,-0.022076953486482635,2341.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.022076953486482635,0.022076953486482635,0.8901369999999957,0.8901369999999957
2620,UL.csv,2015-12-04,1.70979,1.0,40.558109,39.876308,0.6818010000000001,1.7097896826356145,0.01695337283325156,2542.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.01695337283325156,-0.01695337283325156,-0.6818010000000001,-0.6818010000000001
2673,UL.csv,2015-12-07,1.120733,1.0,41.012657,40.558109,0.4545479999999955,1.120732724496587,0.011144990472974887,2620.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,-0.011144990472974887,-0.011144990472974887,-0.4545479999999955,-0.4545479999999955
2731,UL.csv,2015-12-08,-1.177568,0.0,40.529705,41.012657,-0.4829519999999974,-1.1775681834024978,-0.011845564326445165,2673.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,0.0,-1,-1,1,0.011845564326445165,0.011845564326445165,0.4829519999999974,0.4829519999999974
2849,UL.csv,2015-12-10,-0.676629,0.0,40.311901,40.586521,-0.27461999999999875,-0.6766285782415269,-0.006789280880362294,2731.0,3,Adv-ALSTM,stocknet,0.75,entr,0.10382080095761013,1,0.0,-1,0,1,-0.0,0.006789280880362294,-0.0,0.27461999999999875
2921,UL.csv,2015-12-11,-1.691324,0.0,39.630096,40.311901,-0.6818049999999971,-1.6913243560505795,-0.017057905924190927,2849.0,3,Adv-ALSTM,stocknet,0.75,entr,0.17580947784512427,1,0.0,-1,0,1,-0.0,0.017057905924190927,-0.0,0.6818049999999971
3050,UL.csv,2015-12-15,1.264317,1.0,40.198269,39.696381,0.501888000000001,1.2643167647952618,0.012563910148624792,2921.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,1.0,1,1,1,0.012563910148624792,0.012563910148624792,0.501888000000001,0.501888000000001
3130,UL.csv,2015-12-16,2.002347,1.0,41.003178,40.198269,0.804908999999995,2.0023474145117914,0.019825640899127427,3050.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,1.0,1,1,1,0.019825640899127427,0.019825640899127427,0.804908999999995,0.804908999999995
3206,UL.csv,2015-12-17,-1.108541,0.0,40.548641,41.003178,-0.45453699999999486,-1.1085409038294418,-0.01114731007573012,3130.0,3,Adv-ALSTM,stocknet,0.75,entr,0.0,1,1.0,1,1,1,-0.01114731007573012,-0.01114731007573012,-0.45453699999999486,-0.45453699999999486
