ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
28,JPM.csv,2015-10-01,0.738065,1.0,58.250542,57.823765,0.4267770000000013,0.7380650498977389,0.007353546778438729,,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.1,1.0,1,1,1,0.007353546778438729,0.007353546778438729,0.4267770000000013,0.4267770000000013
163,JPM.csv,2015-10-05,1.989807,1.0,59.243992,58.08815,1.1558419999999998,1.989806871108823,0.019702689666393026,28.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.1,1.0,1,1,1,0.019702689666393026,0.019702689666393026,1.1558419999999998,1.1558419999999998
564,JPM.csv,2015-10-14,-2.534511,0.0,57.304855,58.795021,-1.490165999999995,-2.5345105327881337,-0.02567182482329941,163.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.1,0.0,-1,-1,1,0.02567182482329941,0.02567182482329941,1.490165999999995,1.490165999999995
625,JPM.csv,2015-10-15,3.167196,1.0,59.119812,57.304855,1.8149569999999997,3.167195868482696,0.03118074703670885,564.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.1,0.0,-1,-1,1,-0.03118074703670885,-0.03118074703670885,-1.8149569999999997,-1.8149569999999997
689,JPM.csv,2015-10-16,0.872504,1.0,59.635635,59.119812,0.5158229999999975,0.8725044660155507,0.008687201421319487,625.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.1,0.0,-1,-1,1,-0.008687201421319487,-0.008687201421319487,-0.5158229999999975,-0.5158229999999975
823,JPM.csv,2015-10-21,-0.735772,0.0,59.282196,59.721611,-0.4394150000000039,-0.7357721813632989,-0.007384923358509337,689.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.1,0.0,-1,-1,1,0.007384923358509337,0.007384923358509337,0.4394150000000039,0.4394150000000039
886,JPM.csv,2015-10-22,1.820813,1.0,60.361614,59.282196,1.079418000000004,1.8208131156275047,0.01804434826866406,823.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.1,0.0,-1,-1,1,-0.01804434826866406,-0.01804434826866406,-1.079418000000004,-1.079418000000004
958,JPM.csv,2015-10-23,1.076126,1.0,61.011181,60.361614,0.6495669999999976,1.0761259630996571,0.010703769354010587,886.0,3,Adv-ALSTM,stocknet,0.75,std,0.10430198907852173,0.1,0.0,-1,-1,1,-0.010703769354010587,-0.010703769354010587,-0.6495669999999976,-0.6495669999999976
1127,JPM.csv,2015-10-28,2.922688,1.0,62.568222,60.791477,1.7767449999999982,2.9226876655752223,0.028807915207834624,958.0,3,Adv-ALSTM,stocknet,0.75,std,0.18122921884059906,0.1,1.0,1,1,1,0.028807915207834624,0.028807915207834624,1.7767449999999982,1.7767449999999982
1240,JPM.csv,2015-10-30,-1.472179,0.0,61.374168,62.291206,-0.9170380000000051,-1.472178913986679,-0.014831230117115492,1127.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.1,0.0,-1,-1,1,0.014831230117115492,0.014831230117115492,0.9170380000000051,0.9170380000000051
