ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
6,AMZN.csv,2015-10-01,1.724971,1.0,520.719971,511.890015,8.829955999999981,1.7249713300229115,0.017102626061558348,,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,1.0,1,1,1,0.017102626061558348,0.017102626061558348,8.829955999999981,8.829955999999981
55,AMZN.csv,2015-10-02,2.269935,1.0,532.539978,520.719971,11.820007000000032,2.2699354083348635,0.022445557249840507,6.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,1.0,1,1,1,0.022445557249840507,0.022445557249840507,11.820007000000032,11.820007000000032
128,AMZN.csv,2015-10-05,2.091865,1.0,543.679993,532.539978,11.140014999999948,2.091864547303517,0.020702854786494237,55.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,1.0,1,1,1,0.020702854786494237,0.020702854786494237,11.140014999999948,11.140014999999948
210,AMZN.csv,2015-10-06,-1.140379,0.0,537.47998,543.679993,-6.200013000000013,-1.14037909796692,-0.011469312811824957,128.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,1.0,1,1,1,-0.011469312811824957,-0.011469312811824957,-6.200013000000013,-6.200013000000013
266,AMZN.csv,2015-10-07,0.829802,1.0,541.940002,537.47998,4.4600220000000945,0.8298024421300482,0.00826378509873951,210.0,3,Adv-ALSTM,stocknet,0.75,std,0.24563993513584137,0.2,1.0,1,1,1,0.00826378509873951,0.00826378509873951,4.4600220000000945,4.4600220000000945
328,AMZN.csv,2015-10-08,-1.620111,0.0,533.159973,541.940002,-8.780029000000013,-1.6201108919064462,-0.016333781800903138,266.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,1.0,1,1,1,-0.016333781800903138,-0.016333781800903138,-8.780029000000013,-8.780029000000013
397,AMZN.csv,2015-10-09,1.245408,1.0,539.799988,533.159973,6.6400149999999485,1.2454076330294863,0.012377162259090628,328.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,1.0,1,1,1,0.012377162259090628,0.012377162259090628,6.6400149999999485,6.6400149999999485
445,AMZN.csv,2015-10-12,1.92479,1.0,550.190002,539.799988,10.390014000000065,1.9247895944747715,0.019064998397947848,397.0,3,Adv-ALSTM,stocknet,0.75,std,0.13295187056064606,0.2,1.0,1,1,1,0.019064998397947848,0.019064998397947848,10.390014000000065,10.390014000000065
537,AMZN.csv,2015-10-14,-0.741484,0.0,544.830017,548.900024,-4.070007000000032,-0.7414842087891824,-0.007442468678744049,445.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,0.007442468678744049,0.007442468678744049,4.070007000000032,4.070007000000032
597,AMZN.csv,2015-10-15,3.232198,1.0,562.440002,544.830017,17.60998500000005,3.232198015991482,0.03181061467764022,537.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,-0.03181061467764022,-0.03181061467764022,-17.60998500000005,-17.60998500000005
671,AMZN.csv,2015-10-16,1.47927,1.0,570.76001,562.440002,8.320007999999916,1.4792703169074939,0.014684358304323167,597.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,-0.014684358304323167,-0.014684358304323167,-8.320007999999916,-8.320007999999916
764,AMZN.csv,2015-10-20,-2.140804,0.0,560.880005,573.150024,-12.270019000000048,-2.1408040628469114,-0.021640516621597886,671.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,0.021640516621597886,0.021640516621597886,12.270019000000048,12.270019000000048
802,AMZN.csv,2015-10-21,-0.911066,0.0,555.77002,560.880005,-5.109984999999938,-0.9110656387189159,-0.009152412225982806,764.0,3,Adv-ALSTM,stocknet,0.75,std,0.12547414004802704,0.2,1.0,1,1,1,-0.009152412225982806,-0.009152412225982806,-5.109984999999938,-5.109984999999938
851,AMZN.csv,2015-10-22,1.464626,1.0,563.909973,555.77002,8.139952999999991,1.4646261415828061,0.014540040829339658,802.0,3,Adv-ALSTM,stocknet,0.75,std,0.36238256096839905,0.2,1.0,1,1,1,0.014540040829339658,0.014540040829339658,8.139952999999991,8.139952999999991
931,AMZN.csv,2015-10-23,6.227954,1.0,599.030029,563.909973,35.12005599999998,6.227954404346024,0.06041711232873403,851.0,3,Adv-ALSTM,stocknet,0.75,std,0.42147544026374817,0.2,1.0,1,1,1,0.06041711232873403,0.06041711232873403,35.12005599999998,35.12005599999998
998,AMZN.csv,2015-10-26,1.599245,1.0,608.609985,599.030029,9.579956000000038,1.5992447016374929,0.015865915089656592,931.0,3,Adv-ALSTM,stocknet,0.75,std,0.17058780789375305,0.2,1.0,1,1,1,0.015865915089656592,0.015865915089656592,9.579956000000038,9.579956000000038
1101,AMZN.csv,2015-10-28,0.996705,1.0,617.099976,611.01001,6.089966000000004,0.9967047839363555,0.009917704419311621,998.0,3,Adv-ALSTM,stocknet,0.75,std,0.38460323214530945,0.2,1.0,1,1,1,0.009917704419311621,0.009917704419311621,6.089966000000004,6.089966000000004
1164,AMZN.csv,2015-10-29,1.531358,1.0,626.549988,617.099976,9.450012000000015,1.5313583483270166,0.015197514023361463,1101.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,-0.015197514023361463,-0.015197514023361463,-9.450012000000015,-9.450012000000015
1388,AMZN.csv,2015-11-04,2.501162,1.0,640.950012,625.309998,15.640014000000065,2.5011616718145078,0.024703945909705403,1164.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,-0.024703945909705403,-0.024703945909705403,-15.640014000000065,-15.640014000000065
1427,AMZN.csv,2015-11-05,2.293472,1.0,655.650024,640.950012,14.700012000000015,2.293472458816338,0.02267567710197588,1388.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,-0.02267567710197588,-0.02267567710197588,-14.700012000000015,-14.700012000000015
1466,AMZN.csv,2015-11-06,0.567371,1.0,659.369995,655.650024,3.719970999999987,0.5673714426646596,0.005657679531967625,1427.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,-0.005657679531967625,-0.005657679531967625,-3.719970999999987,-3.719970999999987
1528,AMZN.csv,2015-11-09,-0.588441,0.0,655.48999,659.369995,-3.880004999999983,-0.5884412438269931,-0.005901793812801076,1466.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,0.005901793812801076,0.005901793812801076,3.880004999999983,3.880004999999983
1597,AMZN.csv,2015-11-10,0.639217,1.0,659.679993,655.48999,4.190002999999933,0.6392169314439009,0.006371826045889272,1528.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,-0.006371826045889272,-0.006371826045889272,-4.190002999999933,-4.190002999999933
1640,AMZN.csv,2015-11-11,2.057059,1.0,673.25,659.679993,13.570007000000032,2.057059050447818,0.020361873344323947,1597.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,-0.020361873344323947,-0.020361873344323947,-13.570007000000032,-13.570007000000032
1691,AMZN.csv,2015-11-12,-1.136283,0.0,665.599976,673.25,-7.65002400000003,-1.136282807278133,-0.011427878242402455,1640.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,0.011427878242402455,0.011427878242402455,7.65002400000003,7.65002400000003
1768,AMZN.csv,2015-11-13,-3.493089,0.0,642.349976,665.599976,-23.25,-3.4930890682604234,-0.03555556433449635,1691.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,0.03555556433449635,0.03555556433449635,23.25,23.25
1833,AMZN.csv,2015-11-16,0.850007,1.0,647.809998,642.349976,5.460021999999981,0.8500073486419778,0.008464151279176622,1768.0,3,Adv-ALSTM,stocknet,0.75,std,0.42859479784965515,0.2,0.0,-1,-1,1,-0.008464151279176622,-0.008464151279176622,-5.460021999999981,-5.460021999999981
1907,AMZN.csv,2015-11-17,-0.696193,0.0,643.299988,647.809998,-4.510009999999966,-0.6961933304400724,-0.006986280630847922,1833.0,3,Adv-ALSTM,stocknet,0.75,std,0.38789036870002747,0.2,0.0,-1,-1,1,0.006986280630847922,0.006986280630847922,4.510009999999966,4.510009999999966
1959,AMZN.csv,2015-11-18,3.146276,1.0,663.539978,643.299988,20.239990000000034,3.146275513376822,0.030977945396685656,1907.0,3,Adv-ALSTM,stocknet,0.75,std,0.4800029695034027,0.2,0.0,-1,-1,1,-0.030977945396685656,-0.030977945396685656,-20.239990000000034,-20.239990000000034
2085,AMZN.csv,2015-11-20,1.085788,1.0,668.450012,661.27002,7.17999199999997,1.0857882230922808,0.01079935867447078,1959.0,3,Adv-ALSTM,stocknet,0.75,std,0.43614035844802856,0.2,1.0,1,1,1,0.01079935867447078,0.01079935867447078,7.17999199999997,7.17999199999997
2130,AMZN.csv,2015-11-23,1.576779,1.0,678.98999,668.450012,10.53997800000002,1.576778788359124,0.015644767800876872,2085.0,3,Adv-ALSTM,stocknet,0.75,std,0.20285676419734955,0.2,0.0,-1,-1,1,-0.015644767800876872,-0.015644767800876872,-10.53997800000002,-10.53997800000002
2184,AMZN.csv,2015-11-24,-1.154651,0.0,671.150024,678.98999,-7.839966000000004,-1.1546511900713006,-0.011613690488824869,2130.0,3,Adv-ALSTM,stocknet,0.75,std,0.4090770483016968,0.2,0.0,-1,-1,1,0.011613690488824869,0.011613690488824869,7.839966000000004,7.839966000000004
2234,AMZN.csv,2015-11-25,0.624302,1.0,675.340027,671.150024,4.190002999999933,0.6243019965979966,0.0062236130468057505,2184.0,3,Adv-ALSTM,stocknet,0.75,std,0.1982898861169815,0.2,0.0,-1,-1,1,-0.0062236130468057505,-0.0062236130468057505,-4.190002999999933,-4.190002999999933
2296,AMZN.csv,2015-11-30,-1.256576,0.0,664.799988,673.26001,-8.46002199999998,-1.2565757470133985,-0.012645374267235823,2234.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,0.012645374267235823,0.012645374267235823,8.46002199999998,8.46002199999998
2354,AMZN.csv,2015-12-01,2.145008,1.0,679.059998,664.799988,14.260009999999966,2.145007559777508,0.02122326046177783,2296.0,3,Adv-ALSTM,stocknet,0.75,std,0.09949813038110733,0.2,0.0,-1,-1,1,-0.02122326046177783,-0.02122326046177783,-14.260009999999966,-14.260009999999966
2483,AMZN.csv,2015-12-03,-1.443767,0.0,666.25,676.01001,-9.760009999999966,-1.4437670826797322,-0.014542908145584689,2354.0,3,Adv-ALSTM,stocknet,0.75,std,0.1019311174750328,0.2,0.0,-1,-1,1,0.014542908145584689,0.014542908145584689,9.760009999999966,9.760009999999966
2558,AMZN.csv,2015-12-04,0.959102,1.0,672.640015,666.25,6.3900149999999485,0.9591016885553394,0.0095453150686672,2483.0,3,Adv-ALSTM,stocknet,0.75,std,0.20839668810367584,0.2,1.0,1,1,1,0.0095453150686672,0.0095453150686672,6.3900149999999485,6.3900149999999485
2686,AMZN.csv,2015-12-08,1.119687,1.0,677.330017,669.830017,7.5,1.1196870563655257,0.01113464963080075,2558.0,3,Adv-ALSTM,stocknet,0.75,std,0.11110302805900574,0.2,0.0,-1,-1,1,-0.01113464963080075,-0.01113464963080075,-7.5,-7.5
2745,AMZN.csv,2015-12-09,-1.851393,0.0,664.789978,677.330017,-12.540038999999979,-1.8513927753477932,-0.018687455639842573,2686.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,1.0,1,1,1,-0.018687455639842573,-0.018687455639842573,-12.540038999999979,-12.540038999999979
2859,AMZN.csv,2015-12-11,-3.347322,0.0,640.150024,662.320007,-22.169983000000002,-3.347321953993155,-0.03404627201605936,2745.0,3,Adv-ALSTM,stocknet,0.75,std,0.1530490517616272,0.2,0.0,-1,-1,1,0.03404627201605936,0.03404627201605936,22.169983000000002,22.169983000000002
2933,AMZN.csv,2015-12-14,2.774342,1.0,657.909973,640.150024,17.759949000000006,2.774341690878388,0.027365541432387078,2859.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,1.0,1,1,1,0.027365541432387078,0.027365541432387078,17.759949000000006,17.759949000000006
3063,AMZN.csv,2015-12-16,2.600814,1.0,675.77002,658.640015,17.130005000000097,2.600814498038067,0.02567568529443648,2933.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,1.0,1,1,1,0.02567568529443648,0.02567568529443648,17.130005000000097,17.130005000000097
3145,AMZN.csv,2015-12-17,-0.757654,0.0,670.650024,675.77002,-5.119996000000015,-0.7576536171285039,-0.0076053839245318585,3063.0,3,Adv-ALSTM,stocknet,0.75,std,0.0669303610920906,0.2,1.0,1,1,1,-0.0076053839245318585,-0.0076053839245318585,-5.119996000000015,-5.119996000000015
3221,AMZN.csv,2015-12-18,-0.970701,0.0,664.140015,670.650024,-6.510009000000082,-0.970701374343063,-0.00975443392308964,3145.0,3,Adv-ALSTM,stocknet,0.75,std,0.32496219873428345,0.2,0.0,-1,-1,1,0.00975443392308964,0.00975443392308964,6.510009000000082,6.510009000000082
3490,AMZN.csv,2015-12-28,1.872393,1.0,675.200012,662.789978,12.410033999999996,1.8723931278272883,0.018550796316230585,3221.0,3,Adv-ALSTM,stocknet,0.75,std,0.08908381313085556,0.2,1.0,1,1,1,0.018550796316230585,0.018550796316230585,12.410033999999996,12.410033999999996
3528,AMZN.csv,2015-12-29,2.779911,1.0,693.969971,675.200012,18.76995899999997,2.7799109399304887,0.027419729063946054,3490.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,-0.027419729063946054,-0.027419729063946054,-18.76995899999997,-18.76995899999997
3599,AMZN.csv,2015-12-30,-0.706077,0.0,689.070007,693.969971,-4.8999639999999545,-0.7060772374544078,-0.007085817589812694,3528.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,0.007085817589812694,0.007085817589812694,4.8999639999999545,4.8999639999999545
3656,AMZN.csv,2015-12-31,-1.912722,0.0,675.890015,689.070007,-13.179992000000084,-1.9127217650034916,-0.019312509426603064,3599.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.2,0.0,-1,-1,1,0.019312509426603064,0.019312509426603064,13.179992000000084,13.179992000000084
