ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
12,C.csv,2015-10-01,0.564397,1.0,48.888908,48.614529,0.27437900000000326,0.5643971167549587,0.005628103638201869,,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,1.0,1,1,1,0.005628103638201869,0.005628103638201869,0.27437900000000326,0.27437900000000326
139,C.csv,2015-10-05,2.566158,1.0,50.133423,48.879108,1.2543149999999983,2.566157713025365,0.025337845485535207,12.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,1.0,1,1,1,0.025337845485535207,0.025337845485535207,1.2543149999999983,1.2543149999999983
336,C.csv,2015-10-08,0.643034,1.0,50.613594,50.290211,0.32338299999999975,0.6430336909900811,0.00640975049809334,139.0,5,Adv-ALSTM,stocknet,0.75,std,0.18377971649169922,0.3,0.0,-1,-1,1,-0.00640975049809334,-0.00640975049809334,-0.32338299999999975,-0.32338299999999975
404,C.csv,2015-10-09,-0.522759,0.0,50.349007,50.613594,-0.2645869999999988,-0.5227587671406989,-0.005241299314591305,336.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,0.0,-1,-1,1,0.005241299314591305,0.005241299314591305,0.2645869999999988,0.2645869999999988
547,C.csv,2015-10-14,-0.956837,0.0,49.702251,50.182415,-0.48016400000000203,-0.95683717094923,-0.009614442696498615,404.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,0.0,-1,-1,1,0.009614442696498615,0.009614442696498615,0.48016400000000203,0.48016400000000203
604,C.csv,2015-10-15,4.436123,1.0,51.907104,49.702251,2.204853,4.4361230238847735,0.04340543559009137,547.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,0.0,-1,-1,1,-0.04340543559009137,-0.04340543559009137,-2.204853,-2.204853
674,C.csv,2015-10-16,-0.528596,0.0,51.632725,51.907104,-0.27437899999999615,-0.5285962399289241,-0.005299982526935986,604.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,0.0,-1,-1,1,0.005299982526935986,0.005299982526935986,0.27437899999999615,0.27437899999999615
811,C.csv,2015-10-21,-1.949277,0.0,50.770386,51.779716,-1.0093299999999985,-1.9492768171999988,-0.0196852577196979,674.0,5,Adv-ALSTM,stocknet,0.75,std,0.3013313114643097,0.3,1.0,1,1,1,-0.0196852577196979,-0.0196852577196979,-1.0093299999999985,-1.0093299999999985
862,C.csv,2015-10-22,1.351085,1.0,51.456337,50.770386,0.6859509999999958,1.3510848627386753,0.013420390974372157,811.0,5,Adv-ALSTM,stocknet,0.75,std,0.04993709549307823,0.3,0.0,-1,-1,1,-0.013420390974372157,-0.013420390974372157,-0.6859509999999958,-0.6859509999999958
939,C.csv,2015-10-23,2.151966,1.0,52.56366,51.456337,1.107323000000001,2.1519662388716108,0.021291383635287525,862.0,5,Adv-ALSTM,stocknet,0.75,std,0.21164056658744812,0.3,1.0,1,1,1,0.021291383635287525,0.021291383635287525,1.107323000000001,1.107323000000001
