ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
96,NVS.csv,2015-10-02,1.49075,1.0,86.618645,85.346344,1.2723009999999988,1.4907504415186184,0.014797479686293623,,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,1.0,1,1,1,0.014797479686293623,0.014797479686293623,1.2723009999999988,1.2723009999999988
173,NVS.csv,2015-10-05,0.997104,1.0,87.482323,86.618645,0.8636779999999931,0.997104029969521,0.009921657471491901,96.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,1.0,1,1,1,0.009921657471491901,0.009921657471491901,0.8636779999999931,0.8636779999999931
240,NVS.csv,2015-10-06,-0.881099,0.0,86.711517,87.482323,-0.7708059999999932,-0.881099145023839,-0.008850037762423357,173.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,1.0,1,1,1,-0.008850037762423357,-0.008850037762423357,-0.7708059999999932,-0.7708059999999932
298,NVS.csv,2015-10-07,-1.895692,0.0,85.067734,86.711517,-1.643782999999999,-1.8956916645801494,-0.019138902588880655,240.0,3,Adv-ALSTM,stocknet,0.75,std,0.34542298316955566,0.3,1.0,1,1,1,-0.019138902588880655,-0.019138902588880655,-1.643782999999999,-1.643782999999999
364,NVS.csv,2015-10-08,1.102627,1.0,86.005714,85.067734,0.937979999999996,1.1026272311426517,0.010965926161054664,298.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,1.0,1,1,1,0.010965926161054664,0.010965926161054664,0.937979999999996,0.937979999999996
425,NVS.csv,2015-10-09,-0.766658,0.0,85.346344,86.005714,-0.6593699999999956,-0.7666583641175231,-0.007696122967535897,364.0,3,Adv-ALSTM,stocknet,0.75,std,0.2230318933725357,0.3,1.0,1,1,1,-0.007696122967535897,-0.007696122967535897,-0.6593699999999956,-0.6593699999999956
519,NVS.csv,2015-10-13,-1.440182,0.0,84.529091,85.764252,-1.235161000000005,-1.4401816271889192,-0.014506529012908824,425.0,3,Adv-ALSTM,stocknet,0.75,std,0.08337250351905823,0.3,0.0,-1,-1,1,0.014506529012908824,0.014506529012908824,1.235161000000005,1.235161000000005
571,NVS.csv,2015-10-14,1.186563,1.0,85.532082,84.529091,1.0029910000000086,1.1865630969579557,0.01179578632803793,519.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,0.0,-1,-1,1,-0.01179578632803793,-0.01179578632803793,-1.0029910000000086,-1.0029910000000086
636,NVS.csv,2015-10-15,1.910959,1.0,87.166565,85.532082,1.634483000000003,1.9109589779423386,0.018929294855752444,571.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,0.0,-1,-1,1,-0.018929294855752444,-0.018929294855752444,-1.634483000000003,-1.634483000000003
695,NVS.csv,2015-10-16,1.246536,1.0,88.253128,87.166565,1.0865629999999982,1.2465364443350475,0.012388311456267008,636.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,0.0,-1,-1,1,-0.012388311456267008,-0.012388311456267008,-1.0865629999999982,-1.0865629999999982
743,NVS.csv,2015-10-19,-0.957586,0.0,87.408028,88.253128,-0.8451000000000022,-0.9575864551792456,-0.009622007954340574,695.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,0.0,-1,-1,1,0.009622007954340574,0.009622007954340574,0.8451000000000022,0.8451000000000022
