ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
36,PCLN.csv,2015-10-01,0.826284,1.0,1247.079956,1236.859985,10.219970999999987,0.8262835829392594,0.008228885490594709,,3,Adv-ALSTM,stocknet,0.75,std,0.46685612201690674,0.3,1.0,1,1,1,0.008228885490594709,0.008228885490594709,10.219970999999987,10.219970999999987
99,PCLN.csv,2015-10-02,1.491492,1.0,1265.680054,1247.079956,18.60009799999989,1.4914920178542175,0.014804786496254944,36.0,3,Adv-ALSTM,stocknet,0.75,std,0.2438632994890213,0.3,1.0,1,1,1,0.014804786496254944,0.014804786496254944,18.60009799999989,18.60009799999989
176,PCLN.csv,2015-10-05,0.725296,1.0,1274.859985,1265.680054,9.179931000000124,0.7252963314850599,0.007226787070447999,99.0,3,Adv-ALSTM,stocknet,0.75,std,0.4549131989479065,0.3,0.0,-1,-1,1,-0.007226787070447999,-0.007226787070447999,-9.179931000000124,-9.179931000000124
300,PCLN.csv,2015-10-07,1.264652,1.0,1291.579956,1275.449951,16.130004999999983,1.2646521321635131,0.01256722194515524,176.0,3,Adv-ALSTM,stocknet,0.75,std,0.2289542406797409,0.3,1.0,1,1,1,0.01256722194515524,0.01256722194515524,16.130004999999983,16.130004999999983
367,PCLN.csv,2015-10-08,0.986388,1.0,1304.319946,1291.579956,12.739990000000034,0.9863880235069268,0.009815549726114129,300.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,1.0,1,1,1,0.009815549726114129,0.009815549726114129,12.739990000000034,12.739990000000034
428,PCLN.csv,2015-10-09,0.687722,1.0,1313.290039,1304.319946,8.970092999999906,0.6877218298707138,0.006853678098711717,367.0,3,Adv-ALSTM,stocknet,0.75,std,0.07053308933973312,0.3,1.0,1,1,1,0.006853678098711717,0.006853678098711717,8.970092999999906,8.970092999999906
470,PCLN.csv,2015-10-12,2.581296,1.0,1347.189941,1313.290039,33.89990200000011,2.5812959051919004,0.02548542901072162,428.0,3,Adv-ALSTM,stocknet,0.75,std,0.0803598165512085,0.3,1.0,1,1,1,0.02548542901072162,0.02548542901072162,33.89990200000011,33.89990200000011
573,PCLN.csv,2015-10-14,-2.521936,0.0,1311.079956,1345.0,-33.92004399999996,-2.5219363568773208,-0.025542821573613702,470.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,0.0,-1,-1,1,0.025542821573613702,0.025542821573613702,33.92004399999996,33.92004399999996
639,PCLN.csv,2015-10-15,1.236392,1.0,1327.290039,1311.079956,16.21008299999994,1.2363916423110919,0.012288107432862945,573.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,0.0,-1,-1,1,-0.012288107432862945,-0.012288107432862945,-16.21008299999994,-16.21008299999994
696,PCLN.csv,2015-10-16,0.699162,1.0,1336.569946,1327.290039,9.279907000000094,0.6991619561156138,0.006967291518236719,639.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.3,0.0,-1,-1,1,-0.006967291518236719,-0.006967291518236719,-9.279907000000094,-9.279907000000094
