ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
103,PM.csv,2015-10-02,0.616667,1.0,74.414635,73.958557,0.4560780000000051,0.6166669801305144,0.006147733701660837,,5,Adv-ALSTM,stocknet,0.75,std,0.02235499396920204,0.4,1.0,1,1,1,0.006147733701660837,0.006147733701660837,0.4560780000000051,0.4560780000000051
181,PM.csv,2015-10-05,2.201365,1.0,76.052773,74.414635,1.6381379999999979,2.2013653631439536,0.02177485140992361,103.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.4,1.0,1,1,1,0.02177485140992361,0.02177485140992361,1.6381379999999979,1.6381379999999979
304,PM.csv,2015-10-07,1.448023,1.0,76.946312,75.848015,1.0982970000000023,1.4480233925699997,0.014376396531283584,181.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.4,0.0,-1,-1,1,-0.014376396531283584,-0.014376396531283584,-1.0982970000000023,-1.0982970000000023
371,PM.csv,2015-10-08,1.790252,1.0,78.323845,76.946312,1.3775329999999997,1.7902521435985128,0.01774415856905643,304.0,5,Adv-ALSTM,stocknet,0.75,std,0.22101692855358124,0.4,1.0,1,1,1,0.01774415856905643,0.01774415856905643,1.3775329999999997,1.3775329999999997
472,PM.csv,2015-10-12,0.701802,1.0,78.798538,78.249382,0.5491559999999964,0.7018023477808379,0.00699351176672955,371.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.4,0.0,-1,-1,1,-0.00699351176672955,-0.00699351176672955,-0.5491559999999964,-0.5491559999999964
643,PM.csv,2015-10-15,1.882088,1.0,80.110909,78.631004,1.4799050000000022,1.8820883935298627,0.01864596247539906,472.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.4,0.0,-1,-1,1,-0.01864596247539906,-0.01864596247539906,-1.4799050000000022,-1.4799050000000022
701,PM.csv,2015-10-16,1.986772,1.0,81.70253,80.110909,1.5916209999999893,1.9867718639916931,0.01967293127809023,643.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.4,0.0,-1,-1,1,-0.01967293127809023,-0.01967293127809023,-1.5916209999999893,-1.5916209999999893
747,PM.csv,2015-10-19,0.729102,1.0,82.298225,81.70253,0.5956950000000063,0.7291022689260741,0.007264571675479413,701.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.4,0.0,-1,-1,1,-0.007264571675479413,-0.007264571675479413,-0.5956950000000063,-0.5956950000000063
904,PM.csv,2015-10-22,0.640608,1.0,83.349991,82.819443,0.530547999999996,0.6406080272720452,0.006385648552227768,747.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.4,0.0,-1,-1,1,-0.006385648552227768,-0.006385648552227768,-0.530547999999996,-0.530547999999996
1082,PM.csv,2015-10-27,-0.981053,0.0,82.670517,83.489594,-0.819076999999993,-0.9810528004244373,-0.009858968311139098,904.0,5,Adv-ALSTM,stocknet,0.75,std,0.49921128153800964,0.4,1.0,1,0,1,-0.0,-0.009858968311139098,-0.0,-0.819076999999993
1142,PM.csv,2015-10-28,0.653012,1.0,83.210365,82.670517,0.5398479999999921,0.6530115204190534,0.0065088863696070405,1082.0,5,Adv-ALSTM,stocknet,0.75,std,0.49972712993621826,0.4,1.0,1,0,1,0.0,0.0065088863696070405,0.0,0.5398479999999921
