ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
15,CHTR.csv,2015-10-01,3.366504,1.0,181.770004,175.850006,5.9199979999999925,3.366504292300105,0.03311078059085907,,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.03311078059085907,0.03311078059085907,5.9199979999999925,5.9199979999999925
68,CHTR.csv,2015-10-02,0.753697,1.0,183.139999,181.770004,1.3699949999999887,0.7536969631138858,0.007508708588443799,15.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.007508708588443799,0.007508708588443799,1.3699949999999887,1.3699949999999887
142,CHTR.csv,2015-10-05,2.391616,1.0,187.520004,183.139999,4.380005000000011,2.3916157168920873,0.02363464550042312,68.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.02363464550042312,0.02363464550042312,4.380005000000011,4.380005000000011
220,CHTR.csv,2015-10-06,-1.066553,0.0,185.520004,187.520004,-2.0,-1.0665528782731895,-0.010722813211411891,142.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.010722813211411891,-0.010722813211411891,-2.0,-2.0
339,CHTR.csv,2015-10-08,1.491889,1.0,187.759995,185.0,2.7599950000000035,1.491889189189191,0.014808699834702798,220.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.014808699834702798,0.014808699834702798,2.7599950000000035,2.7599950000000035
408,CHTR.csv,2015-10-09,-0.601827,0.0,186.630005,187.759995,-1.1299899999999923,-0.6018268161969179,-0.006036450927013018,339.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.006036450927013018,-0.006036450927013018,-1.1299899999999923,-1.1299899999999923
550,CHTR.csv,2015-10-14,-2.209977,0.0,182.75,186.880005,-4.130005000000011,-2.209976931453962,-0.022347627765111025,408.0,3,Adv-ALSTM,stocknet,0.75,std,0.48863980174064636,0.5,1.0,1,1,1,-0.022347627765111025,-0.022347627765111025,-4.130005000000011,-4.130005000000011
607,CHTR.csv,2015-10-15,1.685364,1.0,185.830002,182.75,3.0800020000000075,1.6853636114911121,0.0167131894181964,550.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.0167131894181964,-0.0167131894181964,-3.0800020000000075,-3.0800020000000075
677,CHTR.csv,2015-10-16,0.774903,1.0,187.270004,185.830002,1.4400019999999927,0.7749028598729674,0.007719159083866896,607.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.007719159083866896,-0.007719159083866896,-1.4400019999999927,-1.4400019999999927
733,CHTR.csv,2015-10-19,-0.512632,0.0,186.309998,187.270004,-0.9600059999999928,-0.512632017672191,-0.005139504834485541,677.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,0.005139504834485541,0.005139504834485541,0.9600059999999928,0.9600059999999928
814,CHTR.csv,2015-10-21,-5.512445,0.0,175.350006,185.580002,-10.229996,-5.512445247198563,-0.056702055898590294,733.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,0.056702055898590294,0.056702055898590294,10.229996,10.229996
865,CHTR.csv,2015-10-22,1.727972,1.0,178.380005,175.350006,3.0299990000000037,1.7279719967617242,0.017132123464643004,814.0,3,Adv-ALSTM,stocknet,0.75,std,0.1678047776222229,0.5,0.0,-1,-1,1,-0.017132123464643004,-0.017132123464643004,-3.0299990000000037,-3.0299990000000037
943,CHTR.csv,2015-10-23,2.589974,1.0,183.0,178.380005,4.619994999999989,2.5899735791575904,0.025570018573311846,865.0,3,Adv-ALSTM,stocknet,0.75,std,0.11540428549051285,0.5,0.0,-1,-1,1,-0.025570018573311846,-0.025570018573311846,-4.619994999999989,-4.619994999999989
1009,CHTR.csv,2015-10-26,0.557379,1.0,184.020004,183.0,1.0200040000000001,0.5573792349726776,0.005558316249561727,943.0,3,Adv-ALSTM,stocknet,0.75,std,0.41856393218040466,0.5,0.0,-1,-1,1,-0.005558316249561727,-0.005558316249561727,-1.0200040000000001,-1.0200040000000001
1062,CHTR.csv,2015-10-27,-1.592223,0.0,181.089996,184.020004,-2.9300079999999866,-1.5922225498919058,-0.016050345926196103,1009.0,3,Adv-ALSTM,stocknet,0.75,std,0.3052625358104706,0.5,1.0,1,1,1,-0.016050345926196103,-0.016050345926196103,-2.9300079999999866,-2.9300079999999866
1113,CHTR.csv,2015-10-28,1.662162,1.0,184.100006,181.089996,3.010009999999994,1.6621624973695366,0.016484997665228335,1062.0,3,Adv-ALSTM,stocknet,0.75,std,0.49999624490737915,0.5,0.0,-1,-1,1,-0.016484997665228335,-0.016484997665228335,-3.010009999999994,-3.010009999999994
1174,CHTR.csv,2015-10-29,5.013577,1.0,193.330002,184.100006,9.229996,5.013577240187597,0.04891946285940187,1113.0,3,Adv-ALSTM,stocknet,0.75,std,0.34225571155548096,0.5,0.0,-1,-1,1,-0.04891946285940187,-0.04891946285940187,-9.229996,-9.229996
1226,CHTR.csv,2015-10-30,-1.236228,0.0,190.940002,193.330002,-2.390000000000015,-1.2362281980424408,-0.012439330645035024,1174.0,3,Adv-ALSTM,stocknet,0.75,std,0.12155267596244812,0.5,1.0,1,1,1,-0.012439330645035024,-0.012439330645035024,-2.390000000000015,-2.390000000000015
1286,CHTR.csv,2015-11-02,-1.885412,0.0,187.339996,190.940002,-3.600005999999979,-1.8854121516139817,-0.01903412661495065,1226.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.01903412661495065,-0.01903412661495065,-3.600005999999979,-3.600005999999979
1346,CHTR.csv,2015-11-03,1.035552,1.0,189.279999,187.339996,1.9400029999999902,1.0355519597641019,0.010302268517467274,1286.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.010302268517467274,0.010302268517467274,1.9400029999999902,1.9400029999999902
1780,CHTR.csv,2015-11-13,-2.875002,0.0,186.479996,192.0,-5.520004,-2.8750020833333334,-0.029171398750301537,1346.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,0.029171398750301537,0.029171398750301537,5.520004,5.520004
1916,CHTR.csv,2015-11-17,-0.56546,0.0,184.639999,185.690002,-1.0500030000000038,-0.5654601694710542,-0.005670649479353249,1780.0,3,Adv-ALSTM,stocknet,0.75,std,0.22403165698051453,0.5,1.0,1,1,1,-0.005670649479353249,-0.005670649479353249,-1.0500030000000038,-1.0500030000000038
1973,CHTR.csv,2015-11-18,1.716854,1.0,187.809998,184.639999,3.1699990000000184,1.7168538871146868,0.017022824939995733,1916.0,3,Adv-ALSTM,stocknet,0.75,std,0.05905726179480553,0.5,1.0,1,1,1,0.017022824939995733,0.017022824939995733,3.1699990000000184,3.1699990000000184
2042,CHTR.csv,2015-11-19,-0.894517,0.0,186.130005,187.809998,-1.679992999999996,-0.8945173408712757,-0.008985421670599082,1973.0,3,Adv-ALSTM,stocknet,0.75,std,0.0833713561296463,0.5,1.0,1,1,1,-0.008985421670599082,-0.008985421670599082,-1.679992999999996,-1.679992999999996
2276,CHTR.csv,2015-11-27,0.617985,1.0,187.240005,186.089996,1.150008999999983,0.6179853967001981,0.0061608369774050495,2042.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.0061608369774050495,0.0061608369774050495,1.150008999999983,1.150008999999983
2366,CHTR.csv,2015-12-01,0.811275,1.0,188.880005,187.360001,1.5200040000000001,0.8112745473352128,0.008080014062365299,2276.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.008080014062365299,0.008080014062365299,1.5200040000000001,1.5200040000000001
2426,CHTR.csv,2015-12-02,-1.117112,0.0,186.770004,188.880005,-2.110001000000011,-1.1171118933420248,-0.011233984506860013,2366.0,3,Adv-ALSTM,stocknet,0.75,std,0.22502650320529938,0.5,1.0,1,1,1,-0.011233984506860013,-0.011233984506860013,-2.110001000000011,-2.110001000000011
2497,CHTR.csv,2015-12-03,-3.201805,0.0,180.789993,186.770004,-5.98001099999999,-3.2018048251473994,-0.03254183676726451,2426.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,0.03254183676726451,0.03254183676726451,5.98001099999999,5.98001099999999
2571,CHTR.csv,2015-12-04,2.068702,1.0,184.529999,180.789993,3.740005999999994,2.068701888826332,0.020475948494246853,2497.0,3,Adv-ALSTM,stocknet,0.75,std,0.09949875622987747,0.5,0.0,-1,-1,1,-0.020475948494246853,-0.020475948494246853,-3.740005999999994,-3.740005999999994
2646,CHTR.csv,2015-12-07,1.777488,1.0,187.809998,184.529999,3.2799990000000037,1.7774882229311686,0.017618756374572365,2571.0,3,Adv-ALSTM,stocknet,0.75,std,0.0590573251247406,0.5,0.0,-1,-1,1,-0.017618756374572365,-0.017618756374572365,-3.2799990000000037,-3.2799990000000037
