ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
22,EXC.csv,2015-10-01,-1.683497,0.0,27.049374,27.512547,-0.46317300000000117,-1.683497351226701,-0.016978292469841137,,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.016978292469841137,-0.016978292469841137,-0.46317300000000117,-0.46317300000000117
73,EXC.csv,2015-10-02,2.123284,1.0,27.623709,27.049374,0.5743350000000014,2.1232838881964566,0.02101056301853813,22.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.02101056301853813,0.02101056301853813,0.5743350000000014,0.5743350000000014
151,EXC.csv,2015-10-05,1.609657,1.0,28.068356,27.623709,0.4446469999999998,1.6096571246098768,0.01596839507835697,73.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.01596839507835697,0.01596839507835697,0.4446469999999998,0.4446469999999998
346,EXC.csv,2015-10-08,2.489216,1.0,28.605637,27.910875,0.6947620000000008,2.48921612095644,0.024587398479526422,151.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.024587398479526422,0.024587398479526422,0.6947620000000008,0.6947620000000008
460,EXC.csv,2015-10-12,0.681382,1.0,28.744591,28.550056,0.19453499999999835,0.6813822011417362,0.006790712841339386,346.0,3,Adv-ALSTM,stocknet,0.75,std,0.4172562062740326,0.5,1.0,1,1,1,0.006790712841339386,0.006790712841339386,0.19453499999999835,0.19453499999999835
503,EXC.csv,2015-10-13,-1.417989,0.0,28.336996,28.744591,-0.4075950000000006,-1.4179885182572283,-0.014281380356818798,460.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.014281380356818798,-0.014281380356818798,-0.4075950000000006,-0.4075950000000006
555,EXC.csv,2015-10-14,-0.653795,0.0,28.15173,28.336996,-0.1852659999999986,-0.6537954834732609,-0.006559420875266334,503.0,3,Adv-ALSTM,stocknet,0.75,std,0.08908373862504959,0.5,1.0,1,1,1,-0.006559420875266334,-0.006559420875266334,-0.1852659999999986,-0.1852659999999986
616,EXC.csv,2015-10-15,1.875597,1.0,28.679743,28.15173,0.5280129999999978,1.8755969881779835,0.01858224556242071,555.0,3,Adv-ALSTM,stocknet,0.75,std,0.18122895061969757,0.5,0.0,-1,-1,1,-0.01858224556242071,-0.01858224556242071,-0.5280129999999978,-0.5280129999999978
680,EXC.csv,2015-10-16,-1.614983,0.0,28.21657,28.679743,-0.4631729999999976,-1.614983091026993,-0.016281660708942026,616.0,3,Adv-ALSTM,stocknet,0.75,std,0.15913332998752594,0.5,0.0,-1,-1,1,0.016281660708942026,0.016281660708942026,0.4631729999999976,0.4631729999999976
736,EXC.csv,2015-10-19,-0.919236,0.0,27.957193,28.21657,-0.25937700000000063,-0.9192364628301761,-0.009234875127249189,680.0,3,Adv-ALSTM,stocknet,0.75,std,0.39151009917259216,0.5,0.0,-1,-1,1,0.009234875127249189,0.009234875127249189,0.25937700000000063,0.25937700000000063
