ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
32,MDT.csv,2015-10-01,2.18106,1.0,65.953239,64.545464,1.4077750000000009,2.181059539675787,0.021576147205835255,,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.021576147205835255,0.021576147205835255,1.4077750000000009,1.4077750000000009
89,MDT.csv,2015-10-02,3.991234,1.0,68.585587,65.953239,2.6323480000000075,3.9912338497886473,0.03913641969480924,32.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.03913641969480924,0.03913641969480924,2.6323480000000075,2.6323480000000075
236,MDT.csv,2015-10-06,-1.340491,0.0,67.418869,68.334892,-0.9160229999999956,-1.340490887144441,-0.013495565738607633,89.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.013495565738607633,-0.013495565738607633,-0.9160229999999956,-0.9160229999999956
294,MDT.csv,2015-10-07,1.45881,1.0,68.402382,67.418869,0.9835130000000021,1.4588096991066435,0.014482714355897439,236.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.014482714355897439,0.014482714355897439,0.9835130000000021,0.9835130000000021
358,MDT.csv,2015-10-08,1.564719,1.0,69.472687,68.402382,1.0703049999999905,1.5647189011633988,0.015526033939533328,294.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.015526033939533328,0.015526033939533328,1.0703049999999905,1.0703049999999905
421,MDT.csv,2015-10-09,0.763337,1.0,70.002998,69.472687,0.5303110000000117,0.763337396177021,0.0076043871805899655,358.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.0076043871805899655,0.0076043871805899655,0.5303110000000117,0.5303110000000117
467,MDT.csv,2015-10-12,0.564747,1.0,70.398338,70.002998,0.39533999999999025,0.5647472412538536,0.0056315852271085634,421.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.0056315852271085634,0.0056315852271085634,0.39533999999999025,0.39533999999999025
568,MDT.csv,2015-10-14,-0.810538,0.0,69.617317,70.186203,-0.5688860000000062,-0.8105382193135682,-0.008138409389820063,467.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,0.008138409389820063,0.008138409389820063,0.5688860000000062,0.5688860000000062
629,MDT.csv,2015-10-15,1.703606,1.0,70.803322,69.617317,1.1860049999999944,1.7036063024376455,0.016892576638684948,568.0,3,Adv-ALSTM,stocknet,0.75,std,0.0669296607375145,0.5,0.0,-1,-1,1,-0.016892576638684948,-0.016892576638684948,-1.1860049999999944,-1.1860049999999944
691,MDT.csv,2015-10-16,0.926023,1.0,71.458977,70.803322,0.6556550000000101,0.9260229343476428,0.009217616288824086,629.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.009217616288824086,-0.009217616288824086,-0.6556550000000101,-0.6556550000000101
