ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
91,MO.csv,2015-10-02,1.180369,1.0,51.555328,50.953884,0.6014440000000008,1.1803692923585585,0.011734572724331132,,5,Adv-ALSTM,stocknet,0.75,std,0.4567149579524994,0.5,0.0,-1,0,1,0.0,-0.011734572724331132,0.0,-0.6014440000000008
169,MO.csv,2015-10-05,1.585855,1.0,52.372921,51.555328,0.8175929999999951,1.5858554910173301,0.015734121856522284,91.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.015734121856522284,0.015734121856522284,0.8175929999999951,0.8175929999999951
237,MO.csv,2015-10-06,-0.574197,0.0,52.072197,52.372921,-0.30072399999999533,-0.5741974941592342,-0.005758523457554721,169.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.005758523457554721,-0.005758523457554721,-0.30072399999999533,-0.30072399999999533
296,MO.csv,2015-10-07,0.884324,1.0,52.532684,52.072197,0.46048700000000053,0.8843241240618299,0.008804368787028059,237.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.008804368787028059,-0.008804368787028059,-0.46048700000000053,-0.46048700000000053
360,MO.csv,2015-10-08,0.840781,1.0,52.974369,52.532684,0.44168499999999966,0.8407813314849849,0.008372664531330426,296.0,5,Adv-ALSTM,stocknet,0.75,std,0.14170204102993011,0.5,1.0,1,1,1,0.008372664531330426,0.008372664531330426,0.44168499999999966,0.44168499999999966
422,MO.csv,2015-10-09,0.780562,1.0,53.387867,52.974369,0.41349799999999703,0.780562388577006,0.00777531760776055,360.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.00777531760776055,-0.00777531760776055,-0.41349799999999703,-0.41349799999999703
468,MO.csv,2015-10-12,1.144163,1.0,53.998711,53.387867,0.6108440000000002,1.1441625866041814,0.011376665496723845,422.0,5,Adv-ALSTM,stocknet,0.75,std,0.04993698000907898,0.5,0.0,-1,-1,1,-0.011376665496723845,-0.011376665496723845,-0.6108440000000002,-0.6108440000000002
631,MO.csv,2015-10-15,0.556024,1.0,54.38401,54.083294,0.3007160000000013,0.5560238250281155,0.005544837188256338,468.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.005544837188256338,-0.005544837188256338,-0.3007160000000013,-0.3007160000000013
692,MO.csv,2015-10-16,1.468818,1.0,55.182812,54.38401,0.7988019999999949,1.4688177646333818,0.014581351152276078,631.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.014581351152276078,-0.014581351152276078,-0.7988019999999949,-0.7988019999999949
742,MO.csv,2015-10-19,1.600812,1.0,56.066185,55.182812,0.8833729999999989,1.6008118614904925,0.015881339887065977,692.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.015881339887065977,-0.015881339887065977,-0.8833729999999989,-0.8833729999999989
892,MO.csv,2015-10-22,2.60694,1.0,57.70137,56.235348,1.4660219999999953,2.606940389165895,0.025735389579325862,742.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.025735389579325862,-0.025735389579325862,-1.4660219999999953,-1.4660219999999953
964,MO.csv,2015-10-23,-0.570035,0.0,57.372452,57.70137,-0.3289179999999945,-0.5700349922367433,-0.00571665892453018,892.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,0.00571665892453018,0.00571665892453018,0.3289179999999945,0.3289179999999945
1022,MO.csv,2015-10-26,0.573303,1.0,57.70137,57.372452,0.3289179999999945,0.5733030200626504,0.005716658924530088,964.0,5,Adv-ALSTM,stocknet,0.75,std,0.23374450206756592,0.5,0.0,-1,-1,1,-0.005716658924530088,-0.005716658924530088,-0.3289179999999945,-0.3289179999999945
1074,MO.csv,2015-10-27,-0.553739,0.0,57.381855,57.70137,-0.31951499999999555,-0.5537390186749388,-0.005552778364978793,1022.0,5,Adv-ALSTM,stocknet,0.75,std,0.4990384876728058,0.5,0.0,-1,0,1,-0.0,0.005552778364978793,-0.0,0.31951499999999555
1133,MO.csv,2015-10-28,0.622331,1.0,57.73896,57.381855,0.3571049999999971,0.6223308744549947,0.0062040239275748974,1074.0,5,Adv-ALSTM,stocknet,0.75,std,0.49839743971824646,0.5,0.0,-1,0,1,0.0,-0.0062040239275748974,0.0,-0.3571049999999971
1244,MO.csv,2015-10-30,-1.722743,0.0,56.827393,57.823544,-0.9961509999999976,-1.7227429020953775,-0.017377547781307474,1133.0,5,Adv-ALSTM,stocknet,0.75,std,0.08908378332853317,0.5,1.0,1,1,1,-0.017377547781307474,-0.017377547781307474,-0.9961509999999976,-0.9961509999999976
1362,MO.csv,2015-11-03,-4.380165,0.0,54.365211,56.855579,-2.4903679999999966,-4.380164697645585,-0.044789905209998336,1244.0,5,Adv-ALSTM,stocknet,0.75,std,0.47836029529571533,0.5,0.0,-1,0,1,-0.0,0.044789905209998336,-0.0,2.4903679999999966
1492,MO.csv,2015-11-06,-1.653741,0.0,53.651001,54.553169,-0.9021679999999961,-1.653740775352567,-0.01667567721296424,1362.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.01667567721296424,-0.01667567721296424,-0.9021679999999961,-0.9021679999999961
1615,MO.csv,2015-11-10,-0.508057,0.0,53.369072,53.641602,-0.27252999999999616,-0.5080571605598135,-0.005093521590355446,1492.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.005093521590355446,-0.005093521590355446,-0.27252999999999616,-0.27252999999999616
1666,MO.csv,2015-11-11,0.739565,1.0,53.763771,53.369072,0.3946989999999957,0.7395650424650361,0.007368436695166963,1615.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.007368436695166963,0.007368436695166963,0.3946989999999957,0.3946989999999957
1728,MO.csv,2015-11-12,-0.786571,0.0,53.340881,53.763771,-0.4228899999999953,-0.7865705699847493,-0.007896803541244373,1666.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.007896803541244373,-0.007896803541244373,-0.4228899999999953,-0.4228899999999953
1799,MO.csv,2015-11-13,-0.84567,0.0,52.889793,53.340881,-0.4510880000000057,-0.8456703217931584,-0.008492664015977881,1728.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.008492664015977881,-0.008492664015977881,-0.4510880000000057,-0.4510880000000057
1867,MO.csv,2015-11-16,0.870648,1.0,53.350277,52.889793,0.460484000000001,0.870648141882501,0.008668798574837612,1799.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.008668798574837612,0.008668798574837612,0.460484000000001,0.460484000000001
1997,MO.csv,2015-11-18,0.670424,1.0,53.622803,53.265697,0.3571059999999946,0.6704239691071621,0.006681866218566933,1867.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.006681866218566933,0.006681866218566933,0.3571059999999946,0.3571059999999946
2059,MO.csv,2015-11-19,0.701023,1.0,53.998711,53.622803,0.3759080000000026,0.7010226600798966,0.006985769197071857,1997.0,5,Adv-ALSTM,stocknet,0.75,std,0.4718136489391327,0.5,0.0,-1,0,1,0.0,-0.006985769197071857,0.0,-0.3759080000000026
2108,MO.csv,2015-11-20,-0.574295,0.0,53.688599,53.998711,-0.3101119999999966,-0.5742951901203653,-0.005759506059723051,2059.0,5,Adv-ALSTM,stocknet,0.75,std,0.21897493302822113,0.5,0.0,-1,-1,1,0.005759506059723051,0.005759506059723051,0.3101119999999966,0.3101119999999966
2155,MO.csv,2015-11-23,0.857679,1.0,54.149075,53.688599,0.4604759999999999,0.8576792998453915,0.008540221272686423,2108.0,5,Adv-ALSTM,stocknet,0.75,std,0.24740402400493622,0.5,0.0,-1,-1,1,-0.008540221272686423,-0.008540221272686423,-0.4604759999999999,-0.4604759999999999
2521,MO.csv,2015-12-03,-1.296683,0.0,53.651001,54.355824,-0.7048229999999975,-1.2966834979817388,-0.013051638269028184,2155.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,0.013051638269028184,0.013051638269028184,0.7048229999999975,0.7048229999999975
2598,MO.csv,2015-12-04,2.487299,1.0,54.985462,53.651001,1.3344609999999975,2.4872993516001642,0.0245686961481699,2521.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.0245686961481699,-0.0245686961481699,-1.3344609999999975,-1.3344609999999975
2780,MO.csv,2015-12-09,-1.545583,0.0,53.876545,54.722324,-0.8457790000000003,-1.5455831152200339,-0.015576517665751879,2598.0,5,Adv-ALSTM,stocknet,0.75,std,0.388703852891922,0.5,1.0,1,0,1,-0.0,-0.015576517665751879,-0.0,-0.8457790000000003
2899,MO.csv,2015-12-11,-1.259194,0.0,53.058945,53.73558,-0.6766349999999974,-1.2591936292489956,-0.012671886583965978,2780.0,5,Adv-ALSTM,stocknet,0.75,std,0.3374021649360657,0.5,1.0,1,0,1,-0.0,-0.012671886583965978,-0.0,-0.6766349999999974
2963,MO.csv,2015-12-14,1.877435,1.0,54.055092,53.058945,0.9961470000000006,1.87743461540745,0.018600283352730482,2899.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.018600283352730482,0.018600283352730482,0.9961470000000006,0.9961470000000006
3104,MO.csv,2015-12-16,2.807825,1.0,55.39896,53.885937,1.513023000000004,2.8078253515383875,0.02769128623251048,2963.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,0.02769128623251048,0.02769128623251048,1.513023000000004,1.513023000000004
3182,MO.csv,2015-12-17,-0.882107,0.0,54.910282,55.39896,-0.48867800000000017,-0.8821068121134406,-0.008860204059699067,3104.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,1.0,1,1,1,-0.008860204059699067,-0.008860204059699067,-0.48867800000000017,-0.48867800000000017
3262,MO.csv,2015-12-18,-2.224871,0.0,53.688599,54.910282,-1.2216829999999987,-2.2248711088389577,-0.022499947104876218,3182.0,5,Adv-ALSTM,stocknet,0.75,std,0.03870043158531189,0.5,1.0,1,1,1,-0.022499947104876218,-0.022499947104876218,-1.2216829999999987,-1.2216829999999987
3373,MO.csv,2015-12-22,1.573639,1.0,54.829365,53.979916,0.8494489999999999,1.573638980838725,0.015613856641006948,3262.0,5,Adv-ALSTM,stocknet,0.75,std,0.09949895739555359,0.5,1.0,1,1,1,0.015613856641006948,0.015613856641006948,0.8494489999999999,0.8494489999999999
3434,MO.csv,2015-12-23,1.142454,1.0,55.455765,54.829365,0.6263999999999967,1.1424535009661279,0.01135976783269492,3373.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.01135976783269492,-0.01135976783269492,-0.6263999999999967,-0.6263999999999967
3566,MO.csv,2015-12-29,1.115489,1.0,55.920818,55.303909,0.6169089999999997,1.1154889611871734,0.011093132667613591,3434.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,-0.011093132667613591,-0.011093132667613591,-0.6169089999999997,-0.6169089999999997
3690,MO.csv,2015-12-31,-1.003413,0.0,55.24696,55.806934,-0.5599739999999969,-1.0034129450652078,-0.010084810640327927,3566.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.5,0.0,-1,-1,1,0.010084810640327927,0.010084810640327927,0.5599739999999969,0.5599739999999969
