ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
71,DHR.csv,2015-10-02,1.558628,1.0,64.967117,63.970062,0.9970550000000031,1.5586275342362543,0.015466056915366727,,5,Adv-ALSTM,stocknet,0.75,std,0.0803593173623085,0.6,1.0,1,1,1,0.015466056915366727,0.015466056915366727,0.9970550000000031,0.9970550000000031
148,DHR.csv,2015-10-05,1.580906,1.0,65.994186,64.967117,1.0270689999999973,1.5809059219912702,0.015685397655844837,71.0,5,Adv-ALSTM,stocknet,0.75,std,0.4761759340763092,0.6,0.0,-1,0,1,0.0,-0.015685397655844837,0.0,-1.0270689999999973
226,DHR.csv,2015-10-06,-0.908763,0.0,65.394455,65.994186,-0.5997310000000056,-0.9087633871262623,-0.009129178301201813,148.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.6,0.0,-1,-1,1,0.009129178301201813,0.009129178301201813,0.5997310000000056,0.5997310000000056
282,DHR.csv,2015-10-07,1.387127,1.0,66.301559,65.394455,0.9071040000000039,1.3871267831500453,0.013775942308266948,226.0,5,Adv-ALSTM,stocknet,0.75,std,0.42678067088127136,0.6,1.0,1,0,1,0.0,0.013775942308266948,0.0,0.9071040000000039
457,DHR.csv,2015-10-12,1.095898,1.0,67.081223,66.35405,0.7271729999999934,1.095898441768051,0.010899369895575576,282.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.6,0.0,-1,-1,1,-0.010899369895575576,-0.010899369895575576,-0.7271729999999934,-0.7271729999999934
553,DHR.csv,2015-10-14,-1.065144,0.0,66.151619,66.863815,-0.7121960000000058,-1.065144129152675,-0.010708573951265312,457.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.6,0.0,-1,-1,1,0.010708573951265312,0.010708573951265312,0.7121960000000058,0.7121960000000058
613,DHR.csv,2015-10-15,0.929311,1.0,66.766373,66.151619,0.6147540000000049,0.9293105887552123,0.009250190651368458,553.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.6,0.0,-1,-1,1,-0.009250190651368458,-0.009250190651368458,-0.6147540000000049,-0.6147540000000049
871,DHR.csv,2015-10-22,5.453291,1.0,70.454765,66.811348,3.6434169999999995,5.453290659544842,0.05309792632504656,613.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.6,0.0,-1,-1,1,-0.05309792632504656,-0.05309792632504656,-3.6434169999999995,-3.6434169999999995
947,DHR.csv,2015-10-23,-1.234308,0.0,69.585136,70.454765,-0.8696289999999891,-1.234308282768368,-0.012419891365041765,871.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.6,0.0,-1,-1,1,0.012419891365041765,0.012419891365041765,0.8696289999999891,0.8696289999999891
1067,DHR.csv,2015-10-27,-0.779384,0.0,68.71553,69.255295,-0.5397650000000027,-0.7793844499543359,-0.007824375243627653,947.0,5,Adv-ALSTM,stocknet,0.75,std,0.36332693696022034,0.6,1.0,1,0,1,-0.0,-0.007824375243627653,-0.0,-0.5397650000000027
