ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
16,CMCSA.csv,2015-10-01,0.931778,1.0,27.752115,27.495914,0.2562010000000008,0.9317784453355534,0.009274641689379684,,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,1.0,1,1,1,0.009274641689379684,0.009274641689379684,0.2562010000000008,0.2562010000000008
69,CMCSA.csv,2015-10-02,2.281833,1.0,28.385372,27.752115,0.6332570000000004,2.281833294507465,0.02256188854593698,16.0,3,Adv-ALSTM,stocknet,0.75,std,0.08908380568027496,0.7,1.0,1,1,1,0.02256188854593698,0.02256188854593698,0.6332570000000004,0.6332570000000004
143,CMCSA.csv,2015-10-05,1.966819,1.0,28.943661,28.385372,0.5582889999999985,1.9668193885216598,0.01947727426208809,69.0,3,Adv-ALSTM,stocknet,0.75,std,0.3284341096878052,0.7,1.0,1,0,1,0.0,0.01947727426208809,0.0,0.5582889999999985
221,CMCSA.csv,2015-10-06,-1.090235,0.0,28.628107,28.943661,-0.3155539999999988,-1.0902352677499878,-0.010962218843457437,143.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,0.010962218843457437,0.010962218843457437,0.3155539999999988,0.3155539999999988
278,CMCSA.csv,2015-10-07,1.237913,1.0,28.982498,28.628107,0.3543909999999997,1.2379127966791506,0.012303133086338435,221.0,3,Adv-ALSTM,stocknet,0.75,std,0.4429222047328949,0.7,0.0,-1,0,1,0.0,-0.012303133086338435,0.0,-0.3543909999999997
340,CMCSA.csv,2015-10-08,2.144063,1.0,29.603901,28.982498,0.6214030000000008,2.144062944470835,0.02121401263168725,278.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,1.0,1,1,1,0.02121401263168725,0.02121401263168725,0.6214030000000008,0.6214030000000008
409,CMCSA.csv,2015-10-09,-0.803546,0.0,29.36602,29.603901,-0.23788100000000156,-0.8035461272485729,-0.00806791958670214,340.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,1.0,1,1,1,-0.00806791958670214,-0.00806791958670214,-0.23788100000000156,-0.23788100000000156
608,CMCSA.csv,2015-10-15,1.785126,1.0,29.618464,29.09901,0.5194539999999996,1.7851260231877293,0.01769379766138639,409.0,3,Adv-ALSTM,stocknet,0.75,std,0.09180358797311783,0.7,0.0,-1,-1,1,-0.01769379766138639,-0.01769379766138639,-0.5194539999999996,-0.5194539999999996
815,CMCSA.csv,2015-10-21,-0.714865,0.0,29.667009,29.880615,-0.21360599999999863,-0.7148648044894613,-0.0071743220588251656,608.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,0.0071743220588251656,0.0071743220588251656,0.21360599999999863,0.21360599999999863
866,CMCSA.csv,2015-10-22,0.96548,1.0,29.953438,29.667009,0.28642899999999827,0.9654798702491317,0.009608488969008443,815.0,3,Adv-ALSTM,stocknet,0.75,std,0.2039795219898224,0.7,0.0,-1,-1,1,-0.009608488969008443,-0.009608488969008443,-0.28642899999999827,-0.28642899999999827
