ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
33,MMM.csv,2015-10-01,-0.684207,0.0,133.776688,134.698303,-0.9216150000000027,-0.6842068381514819,-0.006865582650252634,,5,Adv-ALSTM,stocknet,0.75,std,0.07395780086517334,0.7,1.0,1,1,1,-0.006865582650252634,-0.006865582650252634,-0.9216150000000027,-0.9216150000000027
90,MMM.csv,2015-10-02,1.704548,1.0,136.056976,133.776688,2.2802879999999845,1.7045481048237527,0.016901836861205055,33.0,5,Adv-ALSTM,stocknet,0.75,std,0.4294947683811188,0.7,1.0,1,0,1,0.0,0.016901836861205055,0.0,2.2802879999999845
168,MMM.csv,2015-10-05,2.178772,1.0,139.021347,136.056976,2.964371,2.1787717816100804,0.021553757697574224,90.0,5,Adv-ALSTM,stocknet,0.75,std,0.09700395911931992,0.7,1.0,1,1,1,0.021553757697574224,0.021553757697574224,2.964371,2.964371
295,MMM.csv,2015-10-07,1.200355,1.0,140.180481,138.517776,1.6627049999999883,1.2003549638278832,0.01193207840682877,168.0,5,Adv-ALSTM,stocknet,0.75,std,0.022354833781719208,0.7,1.0,1,1,1,0.01193207840682877,0.01193207840682877,1.6627049999999883,1.6627049999999883
359,MMM.csv,2015-10-08,1.314898,1.0,142.023712,140.180481,1.843231000000003,1.3148984700658883,0.013063287207254968,295.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,-0.013063287207254968,-0.013063287207254968,-1.843231000000003,-1.843231000000003
516,MMM.csv,2015-10-13,-0.633063,0.0,141.672195,142.574783,-0.9025880000000086,-0.6330628607725173,-0.006350752011161777,359.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,0.006350752011161777,0.006350752011161777,0.9025880000000086,0.9025880000000086
569,MMM.csv,2015-10-14,-0.529811,0.0,140.9216,141.672195,-0.7505949999999757,-0.5298110896072272,-0.005312195656045964,516.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,0.005312195656045964,0.005312195656045964,0.7505949999999757,0.7505949999999757
630,MMM.csv,2015-10-15,0.586556,1.0,141.748184,140.9216,0.8265839999999969,0.5865559289704323,0.005848423870043626,569.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,-0.005848423870043626,-0.005848423870043626,-0.8265839999999969,-0.8265839999999969
784,MMM.csv,2015-10-20,0.750018,1.0,141.672195,140.617538,1.0546569999999917,0.75001810940538,0.007472194584643962,630.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,-0.007472194584643962,-0.007472194584643962,-1.0546569999999917,-1.0546569999999917
891,MMM.csv,2015-10-22,4.12493,1.0,148.218491,142.346786,5.8717049999999915,4.124929803473042,0.04042124034236673,784.0,5,Adv-ALSTM,stocknet,0.75,std,0.091803640127182,0.7,0.0,-1,-1,1,-0.04042124034236673,-0.04042124034236673,-5.8717049999999915,-5.8717049999999915
1132,MMM.csv,2015-10-28,0.86135,1.0,150.194748,148.912094,1.282654000000008,0.8613497839873289,0.008576613319178153,891.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,-0.008576613319178153,-0.008576613319178153,-1.282654000000008,-1.282654000000008
1305,MMM.csv,2015-11-02,1.723794,1.0,151.942963,149.368164,2.5747989999999845,1.723793699439182,0.017091049381959628,1132.0,5,Adv-ALSTM,stocknet,0.75,std,0.48373258113861084,0.7,0.0,-1,0,1,0.0,-0.017091049381959628,0.0,-2.5747989999999845
1361,MMM.csv,2015-11-03,-0.731623,0.0,150.831314,151.942963,-1.1116489999999999,-0.7316225628691998,-0.007343120466844701,1305.0,5,Adv-ALSTM,stocknet,0.75,std,0.37910813093185425,0.7,0.0,-1,0,1,-0.0,0.007343120466844701,-0.0,1.1116489999999999
1561,MMM.csv,2015-11-09,-1.123949,0.0,149.615173,151.315887,-1.700714000000005,-1.1239493973293133,-0.011303134392419055,1361.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,0.011303134392419055,0.011303134392419055,1.700714000000005,1.700714000000005
1665,MMM.csv,2015-11-11,0.926447,1.0,151.116348,149.729187,1.3871609999999919,0.9264466252661826,0.009221814314436081,1561.0,5,Adv-ALSTM,stocknet,0.75,std,0.4227433204650879,0.7,0.0,-1,0,1,0.0,-0.009221814314436081,0.0,-1.3871609999999919
1727,MMM.csv,2015-11-12,-1.729004,0.0,148.50354,151.116348,-2.612808000000001,-1.729004197481004,-0.017441260333267053,1665.0,5,Adv-ALSTM,stocknet,0.75,std,0.3103788197040558,0.7,0.0,-1,0,1,-0.0,0.017441260333267053,-0.0,2.612808000000001
1866,MMM.csv,2015-11-16,1.644711,1.0,150.318253,147.885956,2.4322970000000055,1.6447112800893722,0.016313324007581655,1727.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,1.0,1,1,1,0.016313324007581655,0.016313324007581655,2.4322970000000055,2.4322970000000055
1928,MMM.csv,2015-11-17,-0.745834,0.0,149.197128,150.318253,-1.1211250000000064,-0.745834240103899,-0.0074862949097075585,1866.0,5,Adv-ALSTM,stocknet,0.75,std,0.22403183579444885,0.7,1.0,1,0,1,-0.0,-0.0074862949097075585,-0.0,-1.1211250000000064
1996,MMM.csv,2015-11-18,0.887768,1.0,150.521652,149.197128,1.3245239999999967,0.8877677591756302,0.008838502696053744,1928.0,5,Adv-ALSTM,stocknet,0.75,std,0.0387004092335701,0.7,1.0,1,1,1,0.008838502696053744,0.008838502696053744,1.3245239999999967,1.3245239999999967
2058,MMM.csv,2015-11-19,0.629028,1.0,151.468475,150.521652,0.9468230000000233,0.6290277760172492,0.006270576537302675,1996.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,1.0,1,1,1,0.006270576537302675,0.006270576537302675,0.9468230000000233,0.9468230000000233
2207,MMM.csv,2015-11-24,-0.567282,0.0,150.865967,151.726685,-0.8607179999999914,-0.5672818858462448,-0.0056889704075349205,2058.0,5,Adv-ALSTM,stocknet,0.75,std,0.17993681132793427,0.7,1.0,1,0,1,-0.0,-0.0056889704075349205,-0.0,-0.8607179999999914
2326,MMM.csv,2015-11-30,-0.892459,0.0,149.747025,151.09549,-1.3484650000000045,-0.8924588020463115,-0.00896465069616993,2207.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,0.00896465069616993,0.00896465069616993,1.3484650000000045,1.3484650000000045
2448,MMM.csv,2015-12-02,-0.764816,0.0,148.905411,150.05304,-1.1476290000000233,-0.764815561217569,-0.007677552739435208,2326.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,0.007677552739435208,0.007677552739435208,1.1476290000000233,1.1476290000000233
2520,MMM.csv,2015-12-03,-0.84777,0.0,147.643036,148.905411,-1.2623749999999916,-0.8477697294693955,-0.008513837371784752,2448.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,0.008513837371784752,0.008513837371784752,1.2623749999999916,1.2623749999999916
2597,MMM.csv,2015-12-04,2.487357,1.0,151.315445,147.643036,3.672409000000016,2.487356735200173,0.02456925605739088,2520.0,5,Adv-ALSTM,stocknet,0.75,std,0.4842521548271179,0.7,0.0,-1,0,1,0.0,-0.02456925605739088,0.0,-3.672409000000016
2715,MMM.csv,2015-12-08,-0.608557,0.0,149.947861,150.865967,-0.918106000000023,-0.6085573958505982,-0.0061041665330779865,2597.0,5,Adv-ALSTM,stocknet,0.75,std,0.499006450176239,0.7,0.0,-1,0,1,-0.0,0.0061041665330779865,-0.0,0.918106000000023
2830,MMM.csv,2015-12-10,0.942017,1.0,150.646011,149.240143,1.4058679999999981,0.9420173230469219,0.00937608009233014,2715.0,5,Adv-ALSTM,stocknet,0.75,std,0.03870062530040741,0.7,1.0,1,1,1,0.00937608009233014,0.00937608009233014,1.4058679999999981,1.4058679999999981
2898,MMM.csv,2015-12-11,-1.707723,0.0,148.073395,150.646011,-2.5726159999999823,-1.7077226160339438,-0.01722472363050248,2830.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,0.01722472363050248,0.01722472363050248,2.5726159999999823,2.5726159999999823
2962,MMM.csv,2015-12-14,1.808445,1.0,150.751221,148.073395,2.677825999999982,1.8084450619910362,0.017922872074502515,2898.0,5,Adv-ALSTM,stocknet,0.75,std,0.44370126724243164,0.7,0.0,-1,0,1,0.0,-0.017922872074502515,0.0,-2.677825999999982
3027,MMM.csv,2015-12-15,-6.026773,0.0,141.665787,150.751221,-9.085433999999992,-6.026773076683733,-0.0621602642517176,2962.0,5,Adv-ALSTM,stocknet,0.75,std,0.4405278265476227,0.7,0.0,-1,0,1,-0.0,0.0621602642517176,-0.0,9.085433999999992
3103,MMM.csv,2015-12-16,1.228635,1.0,143.406342,141.665787,1.7405550000000005,1.2286346879222154,0.01221148230374061,3027.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,1.0,1,1,1,0.01221148230374061,0.01221148230374061,1.7405550000000005,1.7405550000000005
3181,MMM.csv,2015-12-17,-0.73356,0.0,142.35437,143.406342,-1.0519720000000063,-0.7335603051641931,-0.007362640894778124,3103.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.7,0.0,-1,-1,1,0.007362640894778124,0.007362640894778124,1.0519720000000063,1.0519720000000063
3261,MMM.csv,2015-12-18,-1.29662,0.0,140.508575,142.35437,-1.8457949999999812,-1.2966198368198891,-0.013050993294334533,3181.0,5,Adv-ALSTM,stocknet,0.75,std,0.22797729074954987,0.7,0.0,-1,0,1,-0.0,0.013050993294334533,-0.0,1.8457949999999812
3372,MMM.csv,2015-12-22,1.010292,1.0,142.469101,141.044144,1.4249570000000062,1.0102915013614506,0.010052221715201547,3261.0,5,Adv-ALSTM,stocknet,0.75,std,0.0446770079433918,0.7,1.0,1,1,1,0.010052221715201547,0.010052221715201547,1.4249570000000062,1.4249570000000062
