ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
1,ABB.csv,2015-10-01,-0.735713,0.0,16.29324,16.414,-0.12076000000000064,-0.735713415377121,-0.007384331342935616,,5,Adv-ALSTM,stocknet,0.75,std,0.4624941349029541,0.9,1.0,1,0,1,-0.0,-0.007384331342935616,-0.0,-0.12076000000000064
51,ABB.csv,2015-10-02,1.881424,1.0,16.599785,16.29324,0.30654499999999985,1.8814244435115413,0.018639445606808816,1.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.018639445606808816,0.018639445606808816,0.30654499999999985,0.30654499999999985
123,ABB.csv,2015-10-05,1.902615,1.0,16.915615,16.599785,0.3158299999999983,1.9026150037485323,0.018847416362230574,51.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.018847416362230574,0.018847416362230574,0.3158299999999983,0.3158299999999983
261,ABB.csv,2015-10-07,0.874789,1.0,17.138557,16.989931,0.14862600000000015,0.8747887204486007,0.008709846130917008,123.0,5,Adv-ALSTM,stocknet,0.75,std,0.03870074450969696,0.9,1.0,1,1,1,0.008709846130917008,0.008709846130917008,0.14862600000000015,0.14862600000000015
324,ABB.csv,2015-10-08,1.409203,1.0,17.380074,17.138557,0.24151700000000176,1.4092026534089293,0.013993657001697742,261.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,-0.013993657001697742,-0.013993657001697742,-0.24151700000000176,-0.24151700000000176
395,ABB.csv,2015-10-09,1.336191,1.0,17.612305,17.380074,0.23223099999999874,1.3361910887145747,0.013273427885732308,324.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,-0.013273427885732308,-0.013273427885732308,-0.23223099999999874,-0.23223099999999874
442,ABB.csv,2015-10-12,-1.160342,0.0,17.407942,17.612305,-0.20436300000000074,-1.1603421585079339,-0.011671266614952032,395.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.011671266614952032,0.011671266614952032,0.20436300000000074,0.20436300000000074
488,ABB.csv,2015-10-13,-1.334035,0.0,17.175714,17.407942,-0.2322279999999992,-1.3340347756213757,-0.01343012956979004,442.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.01343012956979004,0.01343012956979004,0.2322279999999992,0.2322279999999992
593,ABB.csv,2015-10-15,0.593003,1.0,17.33363,17.231447,0.10218300000000013,0.5930030136180678,0.005912516710128621,488.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,-0.005912516710128621,-0.005912516710128621,-0.10218300000000013,-0.10218300000000013
668,ABB.csv,2015-10-16,-2.143631,0.0,16.962061,17.33363,-0.3715690000000009,-2.143630618629802,-0.02166940094440055,593.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.02166940094440055,0.02166940094440055,0.3715690000000009,0.3715690000000009
719,ABB.csv,2015-10-19,-2.135802,0.0,16.599785,16.962061,-0.3622759999999978,-2.1358017755035656,-0.021589400735672615,668.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.021589400735672615,0.021589400735672615,0.3622759999999978,0.3622759999999978
761,ABB.csv,2015-10-20,1.510893,1.0,16.85059,16.599785,0.2508049999999997,1.5108930627715944,0.01499592755076758,719.0,5,Adv-ALSTM,stocknet,0.75,std,0.35950344800949097,0.9,0.0,-1,0,1,0.0,-0.01499592755076758,0.0,-0.2508049999999997
800,ABB.csv,2015-10-21,-0.606382,0.0,16.748411,16.85059,-0.10217899999999958,-0.6063823284525917,-0.006082282922759658,761.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.006082282922759658,0.006082282922759658,0.10217899999999958,0.10217899999999958
847,ABB.csv,2015-10-22,0.721012,1.0,16.869169,16.748411,0.12075799999999859,0.7210116828396352,0.007184248205493915,800.0,5,Adv-ALSTM,stocknet,0.75,std,0.49541810154914856,0.9,0.0,-1,0,1,0.0,-0.007184248205493915,0.0,-0.12075799999999859
926,ABB.csv,2015-10-23,2.422917,1.0,17.277895,16.869169,0.4087260000000015,2.4229172166097896,0.023940302521075724,847.0,5,Adv-ALSTM,stocknet,0.75,std,0.1382742077112198,0.9,1.0,1,0,1,0.0,0.023940302521075724,0.0,0.4087260000000015
993,ABB.csv,2015-10-26,-0.698939,0.0,17.157133,17.277895,-0.12076199999999915,-0.6989393094471239,-0.0070139333167434995,926.0,5,Adv-ALSTM,stocknet,0.75,std,0.1254740208387375,0.9,1.0,1,0,1,-0.0,-0.0070139333167434995,-0.0,-0.12076199999999915
1045,ABB.csv,2015-10-27,-0.757976,0.0,17.027086,17.157133,-0.13004700000000113,-0.7579762889289319,-0.007608635281807709,993.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,-0.007608635281807709,-0.007608635281807709,-0.13004700000000113,-0.13004700000000113
1097,ABB.csv,2015-10-28,2.34588,1.0,17.426521,17.027086,0.39943500000000043,2.3458799703014384,0.02318787098852541,1045.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.02318787098852541,0.02318787098852541,0.39943500000000043,0.39943500000000043
1210,ABB.csv,2015-10-30,0.854701,1.0,17.537991,17.389364,0.14862700000000117,0.8547006089469469,0.008510687231196148,1097.0,5,Adv-ALSTM,stocknet,0.75,std,0.11540365219116211,0.9,1.0,1,0,1,0.0,0.008510687231196148,0.0,0.14862700000000117
1274,ABB.csv,2015-11-02,1.165253,1.0,17.742353,17.537991,0.2043619999999997,1.1652531923411278,0.011585164006119851,1210.0,5,Adv-ALSTM,stocknet,0.75,std,0.0446770079433918,0.9,1.0,1,1,1,0.011585164006119851,0.011585164006119851,0.2043619999999997,0.2043619999999997
1523,ABB.csv,2015-11-09,-1.201031,0.0,17.57515,17.788799,-0.2136490000000002,-1.2010310533049489,-0.012083017050917993,1274.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.012083017050917993,0.012083017050917993,0.2136490000000002,0.2136490000000002
1592,ABB.csv,2015-11-10,-0.634259,0.0,17.463678,17.57515,-0.11147199999999913,-0.6342591670625806,-0.0063627913627398325,1523.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.0063627913627398325,0.0063627913627398325,0.11147199999999913,0.11147199999999913
1687,ABB.csv,2015-11-12,-1.700324,0.0,17.185001,17.482256,-0.2972549999999998,-1.7003240314064723,-0.017149455192453072,1592.0,5,Adv-ALSTM,stocknet,0.75,std,0.05469035357236862,0.9,0.0,-1,0,1,-0.0,0.017149455192453072,-0.0,0.2972549999999998
1765,ABB.csv,2015-11-13,-1.135118,0.0,16.989931,17.185001,-0.1950700000000012,-1.135117769268685,-0.011416094028961874,1687.0,5,Adv-ALSTM,stocknet,0.75,std,0.2758806049823761,0.9,0.0,-1,0,1,-0.0,0.011416094028961874,-0.0,0.1950700000000012
1829,ABB.csv,2015-11-16,1.148151,1.0,17.185001,16.989931,0.1950700000000012,1.1481506311002747,0.011416094028961831,1765.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.011416094028961831,0.011416094028961831,0.1950700000000012,0.1950700000000012
1954,ABB.csv,2015-11-18,1.241904,1.0,17.417233,17.203581,0.21365199999999973,1.2419042291253184,0.01234255857086629,1829.0,5,Adv-ALSTM,stocknet,0.75,std,0.14830350875854492,0.9,1.0,1,0,1,0.0,0.01234255857086629,0.0,0.21365199999999973
2127,ABB.csv,2015-11-23,-1.650699,0.0,17.157133,17.445099,-0.2879659999999973,-1.6506985715586786,-0.01664474409191126,1954.0,5,Adv-ALSTM,stocknet,0.75,std,0.0669303610920906,0.9,0.0,-1,0,1,-0.0,0.01664474409191126,-0.0,0.2879659999999973
2183,ABB.csv,2015-11-24,1.245278,1.0,17.370787,17.157133,0.21365399999999823,1.2452779843811794,0.012375881719712623,2127.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.012375881719712623,0.012375881719712623,0.21365399999999823,0.21365399999999823
2292,ABB.csv,2015-11-30,0.749455,1.0,17.482256,17.352209,0.13004700000000113,0.74945501175096,0.007466605511425109,2183.0,5,Adv-ALSTM,stocknet,0.75,std,0.35210180282592773,0.9,1.0,1,0,1,0.0,0.007466605511425109,0.0,0.13004700000000113
2350,ABB.csv,2015-12-01,-1.168962,0.0,17.277895,17.482256,-0.20436099999999868,-1.1689624039368758,-0.011758484858559974,2292.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.011758484858559974,0.011758484858559974,0.20436099999999868,0.20436099999999868
2553,ABB.csv,2015-12-04,0.698928,1.0,17.398655,17.277895,0.12076000000000064,0.6989277339629661,0.0069649655562277315,2350.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,-0.0069649655562277315,-0.0069649655562277315,-0.12076000000000064,-0.12076000000000064
2631,ABB.csv,2015-12-07,-1.281369,0.0,17.175714,17.398655,-0.22294100000000228,-1.2813691633060271,-0.012896495085477645,2553.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.012896495085477645,0.012896495085477645,0.22294100000000228,0.22294100000000228
