ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
83,INTC.csv,2015-10-02,1.699994,1.0,28.690685,28.211098,0.47958699999999865,1.6999940945226544,0.016857058998797428,,3,Adv-ALSTM,stocknet,0.75,std,0.18503810465335846,0.9,1.0,1,0,1,0.0,0.016857058998797428,0.0,0.47958699999999865
161,INTC.csv,2015-10-05,2.294323,1.0,29.348942,28.690685,0.6582570000000025,2.294323052935134,0.02268399230099996,83.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.02268399230099996,0.02268399230099996,0.6582570000000025,0.6582570000000025
232,INTC.csv,2015-10-06,1.698191,1.0,29.847343,29.348942,0.49840099999999765,1.6981906877597073,0.0168393262273381,161.0,3,Adv-ALSTM,stocknet,0.75,std,0.4917442500591278,0.9,1.0,1,0,1,0.0,0.0168393262273381,0.0,0.49840099999999765
289,INTC.csv,2015-10-07,1.827342,1.0,30.392756,29.847343,0.5454129999999999,1.827341884334562,0.018108466391504874,232.0,3,Adv-ALSTM,stocknet,0.75,std,0.4221092760562897,0.9,1.0,1,0,1,0.0,0.018108466391504874,0.0,0.5454129999999999
353,INTC.csv,2015-10-08,0.618819,1.0,30.580832,30.392756,0.18807600000000235,0.6188185105687762,0.006169116912808616,289.0,3,Adv-ALSTM,stocknet,0.75,std,0.05469035357236862,0.9,1.0,1,1,1,0.006169116912808616,0.006169116912808616,0.18807600000000235,0.18807600000000235
419,INTC.csv,2015-10-09,-1.168529,0.0,30.223486,30.580832,-0.3573459999999997,-1.168529358521049,-0.011754103193876183,353.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.011754103193876183,0.011754103193876183,0.3573459999999997,0.3573459999999997
511,INTC.csv,2015-10-13,-0.527783,0.0,30.129452,30.289314,-0.1598620000000004,-0.5277834948655502,-0.005291811919984195,419.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.005291811919984195,0.005291811919984195,0.1598620000000004,0.1598620000000004
562,INTC.csv,2015-10-14,2.372041,1.0,30.844135,30.129452,0.7146830000000008,2.3720411509641823,0.023443453701185484,511.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,-0.023443453701185484,-0.023443453701185484,-0.7146830000000008,-0.7146830000000008
687,INTC.csv,2015-10-16,0.885502,1.0,31.069824,30.797115,0.272708999999999,0.885501775085098,0.00881604199949223,562.0,3,Adv-ALSTM,stocknet,0.75,std,0.46471479535102844,0.9,1.0,1,0,1,0.0,0.00881604199949223,0.0,0.272708999999999
741,INTC.csv,2015-10-19,1.664657,1.0,31.58703,31.069824,0.5172059999999981,1.6646569996662937,0.016509534539439437,687.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,-0.016509534539439437,-0.016509534539439437,-0.5172059999999981,-0.5172059999999981
884,INTC.csv,2015-10-22,3.086641,1.0,32.348728,31.380136,0.968592000000001,3.08664054228446,0.030399618969507585,741.0,3,Adv-ALSTM,stocknet,0.75,std,0.18998456001281738,0.9,0.0,-1,0,1,0.0,-0.030399618969507585,0.0,-0.968592000000001
956,INTC.csv,2015-10-23,1.453488,1.0,32.818913,32.348728,0.47018500000000074,1.4534883720930254,0.014430264829028837,884.0,3,Adv-ALSTM,stocknet,0.75,std,0.059057485312223434,0.9,0.0,-1,-1,1,-0.014430264829028837,-0.014430264829028837,-0.47018500000000074,-0.47018500000000074
1019,INTC.csv,2015-10-26,-0.888268,0.0,32.527393,32.818913,-0.29152000000000555,-0.888268298221838,-0.008922369198878604,956.0,3,Adv-ALSTM,stocknet,0.75,std,0.10661853104829788,0.9,0.0,-1,0,1,-0.0,0.008922369198878604,-0.0,0.29152000000000555
1126,INTC.csv,2015-10-28,0.696224,1.0,32.640236,32.414558,0.22567800000000204,0.6962242088878771,0.006938117590433542,1019.0,3,Adv-ALSTM,stocknet,0.75,std,0.15148703753948212,0.9,0.0,-1,0,1,0.0,-0.006938117590433542,0.0,-0.22567800000000204
1186,INTC.csv,2015-10-29,-1.959064,0.0,32.000793,32.640236,-0.639443,-1.9590636538289734,-0.019785076719247525,1126.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.019785076719247525,0.019785076719247525,0.639443,0.639443
1301,INTC.csv,2015-11-02,0.738326,1.0,32.076019,31.840929,0.23509000000000313,0.7383264476988192,0.00735614160157558,1186.0,3,Adv-ALSTM,stocknet,0.75,std,0.49959778785705566,0.9,0.0,-1,0,1,0.0,-0.00735614160157558,0.0,-0.23509000000000313
1357,INTC.csv,2015-11-03,0.586345,1.0,32.264095,32.076019,0.18807599999999525,0.5863445834721424,0.005846322737159785,1301.0,3,Adv-ALSTM,stocknet,0.75,std,0.2904347777366638,0.9,0.0,-1,0,1,0.0,-0.005846322737159785,0.0,-0.18807599999999525
1555,INTC.csv,2015-11-09,-1.447999,0.0,31.582254,32.046284,-0.46403000000000105,-1.4479993998680192,-0.01458585223892268,1357.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.01458585223892268,0.01458585223892268,0.46403000000000105,0.46403000000000105
1662,INTC.csv,2015-11-11,-1.053903,0.0,31.118229,31.449678,-0.3314489999999992,-1.0539026822468556,-0.010594955669800926,1555.0,3,Adv-ALSTM,stocknet,0.75,std,0.3485335409641266,0.9,0.0,-1,0,1,-0.0,0.010594955669800926,-0.0,0.3314489999999992
1719,INTC.csv,2015-11-12,-1.39988,0.0,30.682611,31.118229,-0.43561799999999806,-1.3998804366405235,-0.014097711770100147,1662.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,-0.014097711770100147,-0.014097711770100147,-0.43561799999999806,-0.43561799999999806
1795,INTC.csv,2015-11-13,-0.895064,0.0,30.407982,30.682611,-0.2746290000000009,-0.8950639826578021,-0.008990937443081555,1719.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,-0.008990937443081555,-0.008990937443081555,-0.2746290000000009,-0.2746290000000009
1924,INTC.csv,2015-11-17,1.68225,1.0,30.909891,30.398512,0.511378999999998,1.6822501048735479,0.016682569925142263,1795.0,3,Adv-ALSTM,stocknet,0.75,std,0.2526015639305115,0.9,0.0,-1,0,1,0.0,-0.016682569925142263,0.0,-0.511378999999998
1989,INTC.csv,2015-11-18,1.593134,1.0,31.402327,30.909891,0.49243600000000143,1.5931340553740596,0.015805768677643918,1924.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.015805768677643918,0.015805768677643918,0.49243600000000143,0.49243600000000143
2054,INTC.csv,2015-11-19,3.437873,1.0,32.481899,31.402327,1.0795719999999989,3.4378726137078917,0.0338009818845524,1989.0,3,Adv-ALSTM,stocknet,0.75,std,0.04467719420790672,0.9,1.0,1,1,1,0.0338009818845524,0.0338009818845524,1.0795719999999989,1.0795719999999989
2103,INTC.csv,2015-11-20,1.049557,1.0,32.822815,32.481899,0.340916,1.0495568624235916,0.010440872522121815,2054.0,3,Adv-ALSTM,stocknet,0.75,std,0.49000129103660583,0.9,1.0,1,0,1,0.0,0.010440872522121815,0.0,0.340916
2151,INTC.csv,2015-11-23,-0.519322,0.0,32.652359,32.822815,-0.1704560000000015,-0.5193216974229709,-0.0052067485942571354,2103.0,3,Adv-ALSTM,stocknet,0.75,std,0.03160664066672325,0.9,1.0,1,1,1,-0.0052067485942571354,-0.0052067485942571354,-0.1704560000000015,-0.1704560000000015
2319,INTC.csv,2015-11-30,0.899581,1.0,32.926987,32.633423,0.2935639999999964,0.8995807764327891,0.00895558652074732,2151.0,3,Adv-ALSTM,stocknet,0.75,std,0.45235881209373474,0.9,1.0,1,0,1,0.0,0.00895558652074732,0.0,0.2935639999999964
