ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
117,UNH.csv,2015-10-02,1.903774,1.0,115.387878,113.232193,2.1556850000000054,1.9037739558749034,0.018858789431861093,,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.018858789431861093,0.018858789431861093,2.1556850000000054,2.1556850000000054
198,UNH.csv,2015-10-05,0.690064,1.0,116.184128,115.387878,0.7962500000000006,0.6900638210887288,0.006876937776640536,117.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.006876937776640536,0.006876937776640536,0.7962500000000006,0.7962500000000006
258,UNH.csv,2015-10-06,-3.008776,0.0,112.688408,116.184128,-3.4957200000000057,-3.008775863085193,-0.030549684392931795,198.0,3,Adv-ALSTM,stocknet,0.75,std,0.15763652324676514,0.9,0.0,-1,0,1,-0.0,0.030549684392931795,-0.0,3.4957200000000057
438,UNH.csv,2015-10-09,2.748104,1.0,115.815132,112.717537,3.0975950000000125,2.7481038731355643,0.02711021342854436,258.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.02711021342854436,0.02711021342854436,3.0975950000000125,3.0975950000000125
485,UNH.csv,2015-10-12,2.71654,1.0,118.961296,115.815132,3.146163999999999,2.716539665991141,0.026802966333871314,438.0,3,Adv-ALSTM,stocknet,0.75,std,0.03160683810710907,0.9,1.0,1,1,1,0.026802966333871314,0.026802966333871314,3.146163999999999,3.146163999999999
531,UNH.csv,2015-10-13,1.208056,1.0,120.398415,118.961296,1.4371189999999956,1.2080559377900486,0.012008171825393524,485.0,3,Adv-ALSTM,stocknet,0.75,std,0.3103790283203125,0.9,1.0,1,0,1,0.0,0.012008171825393524,0.0,1.4371189999999956
585,UNH.csv,2015-10-14,-1.548515,0.0,118.534027,120.398415,-1.8643880000000053,-1.548515401967713,-0.015606301300734933,531.0,3,Adv-ALSTM,stocknet,0.75,std,0.05469043180346489,0.9,0.0,-1,-1,1,0.015606301300734933,0.015606301300734933,1.8643880000000053,1.8643880000000053
659,UNH.csv,2015-10-15,-1.556477,0.0,116.689072,118.534027,-1.8449549999999988,-1.5564771118423226,-0.01568717394428851,585.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.01568717394428851,0.01568717394428851,1.8449549999999988,1.8449549999999988
755,UNH.csv,2015-10-19,0.625108,1.0,117.232857,116.504578,0.7282790000000006,0.6251076245261371,0.006231619310572363,659.0,3,Adv-ALSTM,stocknet,0.75,std,0.44343873858451843,0.9,1.0,1,0,1,0.0,0.006231619310572363,0.0,0.7282790000000006
840,UNH.csv,2015-10-21,-1.91828,0.0,114.688736,116.931816,-2.243079999999992,-1.918280307901822,-0.019369180388463053,755.0,3,Adv-ALSTM,stocknet,0.75,std,0.2308826595544815,0.9,0.0,-1,0,1,-0.0,0.019369180388463053,-0.0,2.243079999999992
918,UNH.csv,2015-10-22,-3.640677,0.0,110.51329,114.688736,-4.175446000000008,-3.64067662233195,-0.03708603008354945,840.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.03708603008354945,0.03708603008354945,4.175446000000008,4.175446000000008
986,UNH.csv,2015-10-23,1.853976,1.0,112.56218,110.51329,2.04889,1.8539761145469476,0.01836999484807486,918.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,-0.01836999484807486,-0.01836999484807486,-2.04889,-2.04889
1091,UNH.csv,2015-10-27,2.437142,1.0,115.912239,113.154503,2.757735999999994,2.437142072905392,0.024079176407647892,986.0,3,Adv-ALSTM,stocknet,0.75,std,0.20285649597644806,0.9,1.0,1,0,1,0.0,0.024079176407647892,0.0,2.757735999999994
1266,UNH.csv,2015-10-30,-1.612228,0.0,114.368301,116.242393,-1.8740920000000045,-1.6122276491675498,-0.01625365437869706,1091.0,3,Adv-ALSTM,stocknet,0.75,std,0.32958367466926575,0.9,0.0,-1,0,1,-0.0,0.01625365437869706,-0.0,1.8740920000000045
1324,UNH.csv,2015-11-02,0.772624,1.0,115.251938,114.368301,0.8836369999999931,0.7726240507848352,0.0076965459650343735,1266.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.0076965459650343735,0.0076965459650343735,0.8836369999999931,0.8836369999999931
1380,UNH.csv,2015-11-03,-0.867797,0.0,114.251785,115.251938,-1.0001529999999974,-0.8677971211208592,-0.008715844068946706,1324.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,-0.008715844068946706,-0.008715844068946706,-1.0001529999999974,-1.0001529999999974
1421,UNH.csv,2015-11-04,-2.566735,0.0,111.319244,114.251785,-2.9325410000000005,-2.5667353906111843,-0.026002507882504973,1380.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,-0.026002507882504973,-0.026002507882504973,-2.9325410000000005,-2.9325410000000005
1460,UNH.csv,2015-11-05,1.38696,1.0,112.863197,111.319244,1.543953000000002,1.3869596527263532,0.013774293868600537,1421.0,3,Adv-ALSTM,stocknet,0.75,std,0.08337166905403137,0.9,1.0,1,1,1,0.013774293868600537,0.013774293868600537,1.543953000000002,1.543953000000002
1518,UNH.csv,2015-11-06,-1.221716,0.0,111.484329,112.863197,-1.378867999999997,-1.2217162340350833,-0.012292405333442589,1460.0,3,Adv-ALSTM,stocknet,0.75,std,0.4696643650531769,0.9,1.0,1,0,1,-0.0,-0.012292405333442589,-0.0,-1.378867999999997
1632,UNH.csv,2015-11-10,1.426566,1.0,112.533035,110.950256,1.5827790000000022,1.4265663343760127,0.014164866262235369,1518.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,-0.014164866262235369,-0.014164866262235369,-1.5827790000000022,-1.5827790000000022
1684,UNH.csv,2015-11-11,-1.164893,0.0,111.222145,112.533035,-1.3108900000000006,-1.1648934910535387,-0.011717315310761742,1632.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.011717315310761742,0.011717315310761742,1.3108900000000006,1.3108900000000006
1756,UNH.csv,2015-11-12,-1.501649,0.0,109.551979,111.222145,-1.6701659999999947,-1.5016487948510566,-0.015130376984168192,1684.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,0.0,-1,-1,1,0.015130376984168192,0.015130376984168192,1.6701659999999947,1.6701659999999947
1821,UNH.csv,2015-11-13,-1.249784,0.0,108.182816,109.551979,-1.3691630000000004,-1.2497839039493757,-0.012576593894817767,1756.0,3,Adv-ALSTM,stocknet,0.75,std,0.482263445854187,0.9,1.0,1,0,1,-0.0,-0.012576593894817767,-0.0,-1.3691630000000004
1895,UNH.csv,2015-11-16,2.163171,1.0,110.522995,108.182816,2.340178999999992,2.16317072020014,0.021401062061531546,1821.0,3,Adv-ALSTM,stocknet,0.75,std,0.33464375138282776,0.9,1.0,1,0,1,0.0,0.021401062061531546,0.0,2.340178999999992
2025,UNH.csv,2015-11-18,2.50021,1.0,113.853638,111.076492,2.777146000000002,2.500210395553365,0.024694665227809918,1895.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.024694665227809918,0.024694665227809918,2.777146000000002,2.777146000000002
2079,UNH.csv,2015-11-19,-5.646041,0.0,107.425415,113.853638,-6.428223000000003,-5.646040928441832,-0.058116953511146166,2025.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,-0.058116953511146166,-0.058116953511146166,-6.428223000000003,-6.428223000000003
2122,UNH.csv,2015-11-20,2.11515,1.0,109.697624,107.425415,2.2722090000000037,2.11515031149752,0.020930915162490828,2079.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0.9,1.0,1,1,1,0.020930915162490828,0.020930915162490828,2.2722090000000037,2.2722090000000037
