ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
4,AGFS.csv,2015-10-01,3.652393,1.0,8.23,7.94,0.29000000000000004,3.6523929471032752,0.03587273942993401,,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.03587273942993401,0.03587273942993401,0.29000000000000004,0.29000000000000004
53,AGFS.csv,2015-10-02,1.701094,1.0,8.37,8.23,0.1399999999999988,1.7010935601457933,0.016867869812405265,4.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.016867869812405265,0.016867869812405265,0.1399999999999988,0.1399999999999988
126,AGFS.csv,2015-10-05,4.778973,1.0,8.77,8.37,0.40000000000000036,4.77897252090801,0.04668292188270787,53.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.04668292188270787,0.04668292188270787,0.40000000000000036,0.40000000000000036
208,AGFS.csv,2015-10-06,-3.078677,0.0,8.5,8.77,-0.2699999999999996,-3.078677309007977,-0.03127064288782091,126.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.03127064288782091,-0.03127064288782091,-0.2699999999999996,-0.2699999999999996
264,AGFS.csv,2015-10-07,-1.294118,0.0,8.39,8.5,-0.10999999999999943,-1.2941176470588167,-0.013025643017155848,208.0,5,Adv-ALSTM,stocknet,0.75,std,0.26738375425338745,0,1.0,1,1,1,-0.013025643017155848,-0.013025643017155848,-0.10999999999999943,-0.10999999999999943
490,AGFS.csv,2015-10-13,-1.807229,0.0,8.15,8.3,-0.15000000000000036,-1.8072289156626546,-0.0182375875497809,264.0,5,Adv-ALSTM,stocknet,0.75,std,0.12738822400569916,0,0.0,-1,-1,1,0.0182375875497809,0.0182375875497809,0.15000000000000036,0.15000000000000036
670,AGFS.csv,2015-10-16,-1.982652,0.0,7.91,8.07,-0.16000000000000014,-1.9826517967781925,-0.020025700502294914,490.0,5,Adv-ALSTM,stocknet,0.75,std,0.2526015341281891,0,0.0,-1,-1,1,0.020025700502294914,0.020025700502294914,0.16000000000000014,0.16000000000000014
721,AGFS.csv,2015-10-19,1.517067,1.0,8.03,7.91,0.11999999999999922,1.5170670037926577,0.01505674617910773,670.0,5,Adv-ALSTM,stocknet,0.75,std,0.3555922508239746,0,0.0,-1,-1,1,-0.01505674617910773,-0.01505674617910773,-0.11999999999999922,-0.11999999999999922
849,AGFS.csv,2015-10-22,-2.503129,0.0,7.79,7.99,-0.20000000000000018,-2.503128911138926,-0.025349899895526468,721.0,5,Adv-ALSTM,stocknet,0.75,std,0.43808308243751526,0,0.0,-1,-1,1,0.025349899895526468,0.025349899895526468,0.20000000000000018,0.20000000000000018
929,AGFS.csv,2015-10-23,2.053915,1.0,7.95,7.79,0.16000000000000014,2.0539152759948673,0.020331068783583758,849.0,5,Adv-ALSTM,stocknet,0.75,std,0.49449509382247925,0,1.0,1,1,1,0.020331068783583758,0.020331068783583758,0.16000000000000014,0.16000000000000014
996,AGFS.csv,2015-10-26,-2.012579,0.0,7.79,7.95,-0.16000000000000014,-2.012578616352203,-0.020331068783583633,929.0,5,Adv-ALSTM,stocknet,0.75,std,0.10430097579956055,0,1.0,1,1,1,-0.020331068783583633,-0.020331068783583633,-0.16000000000000014,-0.16000000000000014
1047,AGFS.csv,2015-10-27,-5.006418,0.0,7.4,7.79,-0.3899999999999997,-5.0064184852374805,-0.05136085967253284,996.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.05136085967253284,-0.05136085967253284,-0.3899999999999997,-0.3899999999999997
1100,AGFS.csv,2015-10-28,-5.810811,0.0,6.97,7.4,-0.4300000000000006,-5.8108108108108185,-0.05986477543769163,1047.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.05986477543769163,-0.05986477543769163,-0.4300000000000006,-0.4300000000000006
1162,AGFS.csv,2015-10-29,-2.15208,0.0,6.82,6.97,-0.14999999999999947,-2.152080344332848,-0.02175575291706175,1100.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.02175575291706175,-0.02175575291706175,-0.14999999999999947,-0.14999999999999947
1213,AGFS.csv,2015-10-30,3.665689,1.0,7.07,6.82,0.25,3.6656891495601167,0.03600100805311063,1162.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.03600100805311063,0.03600100805311063,0.25,0.25
1333,AGFS.csv,2015-11-03,1.41844,1.0,7.15,7.05,0.10000000000000053,1.4184397163120643,0.014084739881739023,1213.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.014084739881739023,0.014084739881739023,0.10000000000000053,0.10000000000000053
1387,AGFS.csv,2015-11-04,1.678322,1.0,7.27,7.15,0.11999999999999922,1.6783216783216672,0.016643934839511633,1333.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.016643934839511633,0.016643934839511633,0.11999999999999922,0.11999999999999922
1426,AGFS.csv,2015-11-05,-0.687758,0.0,7.22,7.27,-0.04999999999999982,-0.6877579092159536,-0.006901338640693157,1387.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.006901338640693157,-0.006901338640693157,-0.04999999999999982,-0.04999999999999982
1465,AGFS.csv,2015-11-06,-0.554017,0.0,7.18,7.22,-0.040000000000000036,-0.5540166204986154,-0.005555569844602105,1426.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.005555569844602105,-0.005555569844602105,-0.040000000000000036,-0.040000000000000036
1526,AGFS.csv,2015-11-09,1.949861,1.0,7.32,7.18,0.14000000000000057,1.9498607242339914,0.019310944913087522,1465.0,5,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.019310944913087522,0.019310944913087522,0.14000000000000057,0.14000000000000057
