ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
11,BSAC.csv,2015-10-01,-0.603719,0.0,16.432215,16.532022,-0.09980700000000198,-0.6037192546683157,-0.00605549007457523,,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.00605549007457523,-0.00605549007457523,-0.09980700000000198,-0.09980700000000198
63,BSAC.csv,2015-10-02,3.036986,1.0,16.931259,16.432215,0.4990440000000014,3.036985579850321,0.02991782108608348,11.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.02991782108608348,0.02991782108608348,0.4990440000000014,0.4990440000000014
137,BSAC.csv,2015-10-05,3.108251,1.0,17.457525,16.931259,0.5262659999999997,3.10825083946799,0.030609229373701755,63.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.030609229373701755,0.030609229373701755,0.5262659999999997,0.5262659999999997
215,BSAC.csv,2015-10-06,2.182955,1.0,17.838615,17.457525,0.3810900000000004,2.18295548767652,0.021594701822709,137.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.021594701822709,0.021594701822709,0.3810900000000004,0.3810900000000004
273,BSAC.csv,2015-10-07,2.085448,1.0,18.21063,17.838615,0.37201499999999754,2.0854477771956934,0.020639999907694245,215.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.020639999907694245,0.020639999907694245,0.37201499999999754,0.37201499999999754
335,BSAC.csv,2015-10-08,0.797216,1.0,18.355808,18.21063,0.14517800000000136,0.7972156921534366,0.00794054716602712,273.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.00794054716602712,0.00794054716602712,0.14517800000000136,0.14517800000000136
402,BSAC.csv,2015-10-09,-1.087498,0.0,18.156189,18.355808,-0.19961899999999844,-1.0874977554788023,-0.010934542360792577,335.0,3,Adv-ALSTM,stocknet,0.75,std,0.10193115472793579,0,1.0,1,1,1,-0.010934542360792577,-0.010934542360792577,-0.19961899999999844,-0.19961899999999844
498,BSAC.csv,2015-10-13,-1.994016,0.0,17.838615,18.201557,-0.3629420000000003,-1.9940162261942773,-0.020141650265154236,402.0,3,Adv-ALSTM,stocknet,0.75,std,0.14000093936920166,0,1.0,1,1,1,-0.020141650265154236,-0.020141650265154236,-0.3629420000000003,-0.3629420000000003
545,BSAC.csv,2015-10-14,-1.220751,0.0,17.62085,17.838615,-0.217765,-1.2207506019946053,-0.012282629628866544,498.0,3,Adv-ALSTM,stocknet,0.75,std,0.4492396116256714,0,1.0,1,1,1,-0.012282629628866544,-0.012282629628866544,-0.217765,-0.217765
729,BSAC.csv,2015-10-19,-1.5361,0.0,17.448452,17.720659,-0.27220700000000164,-1.5360997579153328,-0.015480199989972344,545.0,3,Adv-ALSTM,stocknet,0.75,std,0.46331503987312317,0,0.0,-1,-1,1,0.015480199989972344,0.015480199989972344,0.27220700000000164,0.27220700000000164
809,BSAC.csv,2015-10-21,-0.782074,0.0,17.266981,17.403086,-0.13610499999999703,-0.7820739379211081,-0.00785148175171921,729.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.00785148175171921,-0.00785148175171921,-0.13610499999999703,-0.13610499999999703
860,BSAC.csv,2015-10-22,3.5733,1.0,17.883982,17.266981,0.6170009999999984,3.5732998142524064,0.03510938682015292,809.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.03510938682015292,0.03510938682015292,0.6170009999999984,0.6170009999999984
1004,BSAC.csv,2015-10-26,-1.163374,0.0,17.729734,17.938425,-0.20869099999999818,-1.1633741535279614,-0.0117019429810158,860.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.0117019429810158,-0.0117019429810158,-0.20869099999999818,-0.20869099999999818
1057,BSAC.csv,2015-10-27,-1.177085,0.0,17.52104,17.729734,-0.20869400000000127,-1.1770847774704418,-0.011840672676433628,1004.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.011840672676433628,-0.011840672676433628,-0.20869400000000127,-0.20869400000000127
1107,BSAC.csv,2015-10-28,0.880376,1.0,17.675291,17.52104,0.15425100000000214,0.8803758224397761,0.008765231102154556,1057.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.008765231102154556,0.008765231102154556,0.15425100000000214,0.15425100000000214
1169,BSAC.csv,2015-10-29,-1.180699,0.0,17.466599,17.675291,-0.20869200000000276,-1.1806990900461143,-0.011877246973633905,1107.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.011877246973633905,-0.011877246973633905,-0.20869200000000276,-0.20869200000000276
1221,BSAC.csv,2015-10-30,-1.350652,0.0,17.230686,17.466599,-0.23591300000000004,-1.3506521790532895,-0.0135985645808871,1169.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.0135985645808871,-0.0135985645808871,-0.23591300000000004,-0.23591300000000004
1282,BSAC.csv,2015-11-02,0.842543,1.0,17.375862,17.230686,0.14517600000000286,0.8425433554996177,0.008390137706343089,1221.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,0.008390137706343089,0.008390137706343089,0.14517600000000286,0.14517600000000286
1341,BSAC.csv,2015-11-03,0.626645,1.0,17.484747,17.375862,0.10888499999999723,0.6266451701791671,0.006246899134292626,1282.0,3,Adv-ALSTM,stocknet,0.75,std,0.1292722374200821,0,1.0,1,1,1,0.006246899134292626,0.006246899134292626,0.10888499999999723,0.10888499999999723
1395,BSAC.csv,2015-11-04,-2.023878,0.0,17.130877,17.484747,-0.353869999999997,-2.0238782980388397,-0.02044639310892741,1341.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,0.0,-1,-1,1,0.02044639310892741,0.02044639310892741,0.353869999999997,0.353869999999997
1433,BSAC.csv,2015-11-05,-0.688564,0.0,17.01292,17.130877,-0.11795700000000053,-0.6885636970016218,-0.006909452353944097,1395.0,3,Adv-ALSTM,stocknet,0.75,std,0.33352982997894287,0,1.0,1,1,1,-0.006909452353944097,-0.006909452353944097,-0.11795700000000053,-0.11795700000000053
1537,BSAC.csv,2015-11-09,-1.177752,0.0,16.749786,16.949408,-0.19962199999999797,-1.1777520489211066,-0.011847424892778917,1433.0,3,Adv-ALSTM,stocknet,0.75,std,0.4033347964286804,0,0.0,-1,-1,1,0.011847424892778917,0.011847424892778917,0.19962199999999797,0.19962199999999797
