ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
20,D.csv,2015-10-01,-1.733459,0.0,64.070381,65.200607,-1.1302260000000075,-1.733459321935465,-0.01748659645108966,,3,Adv-ALSTM,stocknet,0.75,std,0.08035925030708313,0,0.0,-1,-1,1,0.01748659645108966,0.01748659645108966,1.1302260000000075,1.1302260000000075
147,D.csv,2015-10-05,1.39871,1.0,65.14502,64.246399,0.8986210000000057,1.3987102997010086,0.013890186150245088,20.0,3,Adv-ALSTM,stocknet,0.75,std,0.03870048001408577,0,1.0,1,1,1,0.013890186150245088,0.013890186150245088,0.8986210000000057,0.8986210000000057
225,D.csv,2015-10-06,-0.767928,0.0,64.644753,65.14502,-0.500267000000008,-0.7679282315056591,-0.007708919830892251,147.0,3,Adv-ALSTM,stocknet,0.75,std,0.2657966911792755,0,0.0,-1,-1,1,0.007708919830892251,0.007708919830892251,0.500267000000008,0.500267000000008
344,D.csv,2015-10-08,1.332756,1.0,65.50631,64.644753,0.8615570000000048,1.3327562718044648,0.013239532047665748,225.0,3,Adv-ALSTM,stocknet,0.75,std,0.21586892008781433,0,1.0,1,1,1,0.013239532047665748,0.013239532047665748,0.8615570000000048,0.8615570000000048
456,D.csv,2015-10-12,1.379896,1.0,66.701385,65.793503,0.9078820000000007,1.379896127433739,0.0137046224692164,344.0,3,Adv-ALSTM,stocknet,0.75,std,0.038700077682733536,0,0.0,-1,-1,1,-0.0137046224692164,-0.0137046224692164,-0.9078820000000007,-0.9078820000000007
612,D.csv,2015-10-15,0.984895,1.0,67.44252,66.78476,0.6577599999999961,0.9848953563657279,0.009800768742241084,456.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,0.0,-1,-1,1,-0.009800768742241084,-0.009800768742241084,-0.6577599999999961,-0.6577599999999961
870,D.csv,2015-10-22,0.771105,1.0,69.008133,68.48008,0.5280529999999999,0.7711045314199397,0.007681467159301939,612.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,0.0,-1,-1,1,-0.007681467159301939,-0.007681467159301939,-0.5280529999999999,-0.5280529999999999
946,D.csv,2015-10-23,-1.892862,0.0,67.701904,69.008133,-1.3062290000000019,-1.8928623963787021,-0.019110063616841092,870.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,0.0,-1,-1,1,0.019110063616841092,0.019110063616841092,1.3062290000000019,1.3062290000000019
1066,D.csv,2015-10-27,-0.658973,0.0,67.034889,67.479561,-0.44467199999999707,-0.6589728703184614,-0.006611536824574963,946.0,3,Adv-ALSTM,stocknet,0.75,std,0.038700539618730545,0,1.0,1,1,1,-0.006611536824574963,-0.006611536824574963,-0.44467199999999707,-0.44467199999999707
1117,D.csv,2015-10-28,-1.160885,0.0,66.256691,67.034889,-0.7781980000000033,-1.1608850430109658,-0.011676759207761525,1066.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,0,1.0,1,1,1,-0.011676759207761525,-0.011676759207761525,-0.7781980000000033,-0.7781980000000033
