ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
14,CELG.csv,2015-10-01,4.335771,1.0,112.860001,108.169998,4.69000299999999,4.33577062652806,0.04244407624874582,,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,1.0,1,1,1,0.04244407624874582,0.04244407624874582,4.69000299999999,4.69000299999999
66,CELG.csv,2015-10-02,3.172072,1.0,116.440002,112.860001,3.58000100000001,3.172072451071492,0.03122801465212139,14.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,1.0,1,1,1,0.03122801465212139,0.03122801465212139,3.58000100000001,3.58000100000001
218,CELG.csv,2015-10-06,-3.798663,0.0,112.190002,116.620003,-4.43000099999999,-3.798663081838533,-0.03872693113481116,66.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,1.0,1,1,1,-0.03872693113481116,-0.03872693113481116,-4.43000099999999,-4.43000099999999
276,CELG.csv,2015-10-07,4.269544,1.0,116.980003,112.190002,4.7900009999999895,4.269543555226953,0.041809125276514814,218.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,1.0,1,1,1,0.041809125276514814,0.041809125276514814,4.7900009999999895,4.7900009999999895
338,CELG.csv,2015-10-08,0.846297,1.0,117.970001,116.980003,0.9899979999999999,0.8462967811686583,0.008427357670193529,276.0,3,Adv-ALSTM,stocknet,0.75,std,0.03160640597343445,1,1.0,1,0,1,0.0,0.008427357670193529,0.0,0.9899979999999999
406,CELG.csv,2015-10-09,-0.500131,0.0,117.379997,117.970001,-0.5900039999999933,-0.5001305374236568,-0.005013853758310996,338.0,3,Adv-ALSTM,stocknet,0.75,std,0.054689887911081314,1,1.0,1,0,1,-0.0,-0.005013853758310996,-0.0,-0.5900039999999933
500,CELG.csv,2015-10-13,-3.256804,0.0,113.769997,117.599998,-3.8300009999999958,-3.2568036268163847,-0.03311017827508891,406.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.03311017827508891,0.03311017827508891,3.8300009999999958,3.8300009999999958
605,CELG.csv,2015-10-15,3.341243,1.0,117.529999,113.730003,3.7999960000000073,3.341243207388298,0.03286636706167965,500.0,3,Adv-ALSTM,stocknet,0.75,std,0.21376635134220123,1,0.0,-1,0,1,0.0,-0.03286636706167965,0.0,-3.7999960000000073
732,CELG.csv,2015-10-19,1.297936,1.0,119.410004,117.879997,1.5300069999999977,1.2979360696794027,0.01289585062344083,605.0,3,Adv-ALSTM,stocknet,0.75,std,0.39886775612831116,1,0.0,-1,0,1,0.0,-0.01289585062344083,0.0,-1.5300069999999977
770,CELG.csv,2015-10-20,-2.654724,0.0,116.239998,119.410004,-3.1700060000000008,-2.6547239710334494,-0.026905980987078488,732.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.026905980987078488,0.026905980987078488,3.1700060000000008,3.1700060000000008
