ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
34,MSFT.csv,2015-10-01,0.790778,1.0,42.397797,42.065155,0.3326419999999999,0.7907780204304486,0.007876677571349185,,3,Adv-ALSTM,stocknet,0.75,std,0.47216159105300903,1,0.0,-1,0,1,0.0,-0.007876677571349185,0.0,-0.3326419999999999
93,MSFT.csv,2015-10-02,2.151987,1.0,43.310192,42.397797,0.9123950000000036,2.1519868119562995,0.021291585032121734,34.0,3,Adv-ALSTM,stocknet,0.75,std,0.12353064119815826,1,1.0,1,0,1,0.0,0.021291585032121734,0.0,0.9123950000000036
171,MSFT.csv,2015-10-05,2.326092,1.0,44.317627,43.310192,1.007435000000001,2.3260922048094383,0.02299451021378552,93.0,3,Adv-ALSTM,stocknet,0.75,std,0.33241260051727295,1,1.0,1,0,1,0.0,0.02299451021378552,0.0,1.007435000000001
361,MSFT.csv,2015-10-08,1.388883,1.0,45.096962,44.479198,0.6177640000000011,1.3888829560281215,0.013793263616447126,171.0,3,Adv-ALSTM,stocknet,0.75,std,0.09180357307195663,1,0.0,-1,0,1,0.0,-0.013793263616447126,0.0,-0.6177640000000011
423,MSFT.csv,2015-10-09,-0.716534,0.0,44.773827,45.096962,-0.3231350000000006,-0.7165338543203879,-0.007191132872012129,361.0,3,Adv-ALSTM,stocknet,0.75,std,0.4841229319572449,1,1.0,1,0,1,-0.0,-0.007191132872012129,-0.0,-0.3231350000000006
633,MSFT.csv,2015-10-15,0.706945,1.0,44.67878,44.365143,0.31363699999999994,0.7069446389477432,0.007044575002512058,423.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,-0.007044575002512058,-0.007044575002512058,-0.31363699999999994,-0.31363699999999994
694,MSFT.csv,2015-10-16,1.063601,1.0,45.153984,44.67878,0.47520399999999796,1.0636011099676355,0.01057984662660418,633.0,3,Adv-ALSTM,stocknet,0.75,std,0.4847657382488251,1,0.0,-1,0,1,0.0,-0.01057984662660418,0.0,-0.47520399999999796
827,MSFT.csv,2015-10-21,-1.193207,0.0,44.85936,45.401089,-0.5417289999999966,-1.193207061619153,-0.012003829160694078,694.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.012003829160694078,0.012003829160694078,0.5417289999999966,0.5417289999999966
894,MSFT.csv,2015-10-22,1.758476,1.0,45.648201,44.85936,0.7888409999999979,1.7584758231058084,0.01743193533810554,827.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,-0.01743193533810554,-0.01743193533810554,-0.7888409999999979,-0.7888409999999979
966,MSFT.csv,2015-10-23,10.07703,1.0,50.248184,45.648201,4.599983000000002,10.077030198846176,0.09601020926148582,894.0,3,Adv-ALSTM,stocknet,0.75,std,0.10430223494768143,1,0.0,-1,0,1,0.0,-0.09601020926148582,0.0,-4.599983000000002
1023,MSFT.csv,2015-10-26,2.610176,1.0,51.55975,50.248184,1.3115659999999991,2.6101759219795864,0.025766922356631406,966.0,3,Adv-ALSTM,stocknet,0.75,std,0.05905694514513016,1,0.0,-1,0,1,0.0,-0.025766922356631406,0.0,-1.3115659999999991
1076,MSFT.csv,2015-10-27,-1.032253,0.0,51.027523,51.55975,-0.5322269999999989,-1.032252871668305,-0.010376175515987046,1023.0,3,Adv-ALSTM,stocknet,0.75,std,0.3570757508277893,1,0.0,-1,0,1,-0.0,0.010376175515987046,-0.0,0.5322269999999989
1189,MSFT.csv,2015-10-29,-1.148556,0.0,50.71389,51.303135,-0.5892449999999982,-1.1485555414888355,-0.011552023847868128,1076.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.011552023847868128,0.011552023847868128,0.5892449999999982,0.5892449999999982
1245,MSFT.csv,2015-10-30,-1.349333,0.0,50.029591,50.71389,-0.6842989999999958,-1.3493325004254175,-0.013585187201004472,1189.0,3,Adv-ALSTM,stocknet,0.75,std,0.044676896184682846,1,0.0,-1,0,1,-0.0,0.013585187201004472,-0.0,0.6842989999999958
1307,MSFT.csv,2015-11-02,1.139811,1.0,50.599834,50.029591,0.5702429999999978,1.1398114367954713,0.011333645283873064,1245.0,3,Adv-ALSTM,stocknet,0.75,std,0.4986248016357422,1,0.0,-1,0,1,0.0,-0.011333645283873064,0.0,-0.5702429999999978
1363,MSFT.csv,2015-11-03,1.709247,1.0,51.46471,50.599834,0.8648759999999953,1.7092467141295271,0.016948034409515915,1307.0,3,Adv-ALSTM,stocknet,0.75,std,0.2559850811958313,1,1.0,1,0,1,0.0,0.016948034409515915,0.0,0.8648759999999953
1494,MSFT.csv,2015-11-06,0.993005,1.0,52.196522,51.683304,0.513218000000002,0.9930054007383158,0.009881074997000229,1363.0,3,Adv-ALSTM,stocknet,0.75,std,0.2883184552192688,1,0.0,-1,0,1,0.0,-0.009881074997000229,0.0,-0.513218000000002
1563,MSFT.csv,2015-11-09,-1.383834,0.0,51.474209,52.196522,-0.7223129999999998,-1.3838335818620247,-0.013934978203406636,1494.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.013934978203406636,0.013934978203406636,0.7223129999999998,0.7223129999999998
1616,MSFT.csv,2015-11-10,-1.200151,0.0,50.856441,51.474209,-0.6177680000000052,-1.200150545295422,-0.012074104973238018,1563.0,3,Adv-ALSTM,stocknet,0.75,std,0.19478267431259155,1,0.0,-1,0,1,-0.0,0.012074104973238018,-0.0,0.6177680000000052
1730,MSFT.csv,2015-11-12,-0.615093,0.0,50.675869,50.989502,-0.31363300000000294,-0.6150932793970079,-0.00616992771212135,1616.0,3,Adv-ALSTM,stocknet,0.75,std,0.3521018922328949,1,1.0,1,0,1,-0.0,-0.00616992771212135,-0.0,-0.31363300000000294
1800,MSFT.csv,2015-11-13,-0.900223,0.0,50.219673,50.675869,-0.4561959999999985,-0.9002233390413068,-0.009042998328162919,1730.0,3,Adv-ALSTM,stocknet,0.75,std,0.09180361777544022,1,1.0,1,0,1,-0.0,-0.009042998328162919,-0.0,-0.4561959999999985
1869,MSFT.csv,2015-11-16,1.760029,1.0,51.103554,50.219673,0.8838810000000024,1.7600293813143753,0.017447202335148747,1800.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,1.0,1,1,1,0.017447202335148747,0.017447202335148747,0.8838810000000024,0.8838810000000024
1929,MSFT.csv,2015-11-17,-0.823814,0.0,50.682556,51.103554,-0.4209980000000044,-0.8238135453358183,-0.008272256415856672,1869.0,3,Adv-ALSTM,stocknet,0.75,std,0.475043386220932,1,1.0,1,0,1,-0.0,-0.008272256415856672,-0.0,-0.4209980000000044
1999,MSFT.csv,2015-11-18,1.661311,1.0,51.524551,50.682556,0.8419950000000043,1.6613112408932262,0.01647662424468163,1929.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,1.0,1,1,1,0.01647662424468163,0.01647662424468163,0.8419950000000043,0.8419950000000043
2249,MSFT.csv,2015-11-25,-1.032271,0.0,51.37146,51.907284,-0.5358239999999981,-1.0322713089746673,-0.010376361812114945,1999.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.010376361812114945,0.010376361812114945,0.5358239999999981,0.5358239999999981
2328,MSFT.csv,2015-11-30,0.778796,1.0,52.00296,51.601093,0.40186700000000286,0.7787955189243818,0.007757785604573036,2249.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,-0.007757785604573036,-0.007757785604573036,-0.40186700000000286,-0.40186700000000286
2386,MSFT.csv,2015-12-01,1.600747,1.0,52.835396,52.00296,0.8324360000000013,1.6007473420743767,0.015880704858315473,2328.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,-0.015880704858315473,-0.015880704858315473,-0.8324360000000013,-0.8324360000000013
2523,MSFT.csv,2015-12-03,-1.829372,0.0,51.85944,52.825821,-0.9663809999999984,-1.8293724199762051,-0.01846312351583196,2386.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.01846312351583196,0.01846312351583196,0.9663809999999984,0.9663809999999984
2600,MSFT.csv,2015-12-04,3.154978,1.0,53.495594,51.85944,1.6361539999999977,3.154978148626359,0.031062313621310646,2523.0,3,Adv-ALSTM,stocknet,0.75,std,0.23468922078609467,1,0.0,-1,0,1,0.0,-0.031062313621310646,0.0,-1.6361539999999977
2782,MSFT.csv,2015-12-09,-1.451871,0.0,52.605755,53.380775,-0.7750199999999978,-1.4518710153608632,-0.014625138012113185,2600.0,3,Adv-ALSTM,stocknet,0.75,std,0.07395794987678528,1,1.0,1,0,1,-0.0,-0.014625138012113185,-0.0,-0.7750199999999978
2901,MSFT.csv,2015-12-11,-2.189263,0.0,51.725483,52.883236,-1.1577529999999996,-2.1892627750692104,-0.022135827397555142,2782.0,3,Adv-ALSTM,stocknet,0.75,std,0.07395756989717484,1,0.0,-1,0,1,-0.0,0.022135827397555142,-0.0,1.1577529999999996
2964,MSFT.csv,2015-12-14,1.997775,1.0,52.758842,51.725483,1.0333590000000044,1.9977754485153951,0.019780817730072505,2901.0,3,Adv-ALSTM,stocknet,0.75,std,0.031606804579496384,1,0.0,-1,0,1,0.0,-0.019780817730072505,0.0,-1.0333590000000044
3106,MSFT.csv,2015-12-16,1.684777,1.0,53.706093,52.816257,0.8898360000000025,1.6847767156237567,0.01670741771674181,2964.0,3,Adv-ALSTM,stocknet,0.75,std,0.09700392186641693,1,0.0,-1,0,1,0.0,-0.01670741771674181,0.0,-0.8898360000000025
