ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
192,T.csv,2015-10-05,2.42034,1.0,30.2453,29.53056,0.714739999999999,2.4203401493232737,0.023915141162876304,,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,1.0,1,1,1,0.023915141162876304,0.023915141162876304,0.714739999999999,0.714739999999999
312,T.csv,2015-10-07,0.852604,1.0,30.393681,30.136734,0.25694700000000026,0.852604001482046,0.008489898619013439,192.0,3,Adv-ALSTM,stocknet,0.75,std,0.49322623014450073,1,1.0,1,0,1,0.0,0.008489898619013439,0.0,0.25694700000000026
381,T.csv,2015-10-08,0.845426,1.0,30.650637,30.393681,0.25695599999999885,0.8454257317499609,0.008418720236710038,312.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,-0.008418720236710038,-0.008418720236710038,-0.25695599999999885,-0.25695599999999885
434,T.csv,2015-10-09,-0.778476,0.0,30.412029,30.650637,-0.23860799999999927,-0.7784764799504795,-0.007815224263819528,381.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.007815224263819528,0.007815224263819528,0.23860799999999927,0.23860799999999927
654,T.csv,2015-10-15,0.661258,1.0,30.733225,30.531334,0.20189099999999982,0.6612583649309257,0.006590816423757408,434.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,-0.006590816423757408,-0.006590816423757408,-0.20189099999999982,-0.20189099999999982
710,T.csv,2015-10-16,1.01523,1.0,31.045238,30.733225,0.3120130000000003,1.0152302597595935,0.01010111413588271,654.0,3,Adv-ALSTM,stocknet,0.75,std,0.3443741798400879,1,1.0,1,0,1,0.0,0.01010111413588271,0.0,0.3120130000000003
753,T.csv,2015-10-19,-0.591189,0.0,30.861702,31.045238,-0.18353600000000014,-0.5911888966675023,-0.005929433363442928,710.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.005929433363442928,0.005929433363442928,0.18353600000000014,0.18353600000000014
912,T.csv,2015-10-22,1.071432,1.0,31.164536,30.834169,0.33036699999999897,1.0714315018510763,0.01065732346756711,753.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,-0.01065732346756711,-0.01065732346756711,-0.33036699999999897,-0.33036699999999897
983,T.csv,2015-10-23,-0.64782,0.0,30.962646,31.164536,-0.2018899999999988,-0.6478196883791204,-0.006499271467397644,912.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.006499271467397644,0.006499271467397644,0.2018899999999988,0.2018899999999988
1087,T.csv,2015-10-27,-1.33689,0.0,30.476274,30.889229,-0.4129550000000002,-1.3368899560426069,-0.013459067833627256,983.0,3,Adv-ALSTM,stocknet,0.75,std,0.09700390696525574,1,0.0,-1,0,1,-0.0,0.013459067833627256,-0.0,0.4129550000000002
1151,T.csv,2015-10-28,0.632331,1.0,30.668985,30.476274,0.1927109999999992,0.6323312357672043,0.006303404098106848,1087.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,1.0,1,1,1,0.006303404098106848,0.006303404098106848,0.1927109999999992,0.1927109999999992
1513,T.csv,2015-11-06,-0.539885,0.0,30.430391,30.595572,-0.16518100000000047,-0.5398853141232347,-0.005413479616734708,1151.0,3,Adv-ALSTM,stocknet,0.75,std,0.02235492318868637,1,0.0,-1,0,1,-0.0,0.005413479616734708,-0.0,0.16518100000000047
1579,T.csv,2015-11-09,-0.965025,0.0,30.13673,30.430391,-0.29366100000000017,-0.9650253918853694,-0.00969711937194338,1513.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.00969711937194338,0.00969711937194338,0.29366100000000017,0.29366100000000017
1750,T.csv,2015-11-12,-0.698676,0.0,29.999073,30.210144,-0.21107100000000045,-0.698675914950953,-0.007011280836044769,1579.0,3,Adv-ALSTM,stocknet,0.75,std,0.05468988046050072,1,1.0,1,0,1,-0.0,-0.007011280836044769,-0.0,-0.21107100000000045
1817,T.csv,2015-11-13,-1.162413,0.0,29.65036,29.999073,-0.34871300000000005,-1.16241258521555,-0.011692214162101576,1750.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,0.011692214162101576,0.011692214162101576,0.34871300000000005,0.34871300000000005
1889,T.csv,2015-11-16,2.259355,1.0,30.320267,29.65036,0.669907000000002,2.259355367017473,0.022342099781360297,1817.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,-0.022342099781360297,-0.022342099781360297,-0.669907000000002,-0.669907000000002
1945,T.csv,2015-11-17,0.665848,1.0,30.522154,30.320267,0.20188699999999926,0.6658483581295614,0.006636413792876141,1889.0,3,Adv-ALSTM,stocknet,0.75,std,0.0,1,0.0,-1,-1,1,-0.006636413792876141,-0.006636413792876141,-0.20188699999999926,-0.20188699999999926
2020,T.csv,2015-11-18,0.841861,1.0,30.779108,30.522154,0.25695400000000035,0.8418606367034265,0.008383367536883317,1945.0,3,Adv-ALSTM,stocknet,0.75,std,0.1862911731004715,1,0.0,-1,0,1,0.0,-0.008383367536883317,0.0,-0.25695400000000035
