ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
79,HON.csv,2015-10-02,1.932204,1.0,91.992142,90.24836,1.743781999999996,1.9322035325628033,0.019137735054930508,,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.019137735054930508,0.019137735054930508,1.743781999999996,1.743781999999996
157,HON.csv,2015-10-05,1.905968,1.0,93.745483,91.992142,1.7533409999999918,1.9059682293298397,0.018880321998768785,79.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.018880321998768785,0.018880321998768785,1.7533409999999918,1.7533409999999918
286,HON.csv,2015-10-07,1.303349,1.0,94.803185,93.583466,1.2197189999999978,1.3033488201858199,0.012949283162238758,157.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.012949283162238758,0.012949283162238758,1.2197189999999978,1.2197189999999978
350,HON.csv,2015-10-08,1.588091,1.0,96.308746,94.803185,1.5055610000000001,1.588091159595535,0.015756129290203078,286.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.015756129290203078,0.015756129290203078,1.5055610000000001,1.5055610000000001
507,HON.csv,2015-10-13,-1.655183,0.0,95.11763,96.718498,-1.6008679999999913,-1.6551828586088995,-0.016690340646435653,350.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,0.016690340646435653,0.016690340646435653,1.6008679999999913,1.6008679999999913
559,HON.csv,2015-10-14,-1.562806,0.0,93.631126,95.11763,-1.4865040000000107,-1.5628059698291583,-0.015751465237901004,507.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,0.015751465237901004,0.015751465237901004,1.4865040000000107,1.4865040000000107
684,HON.csv,2015-10-16,-1.4924,0.0,92.459061,93.859825,-1.4007639999999952,-1.4923999698486494,-0.015036483120036604,559.0,3,Adv-ALSTM,stocknet,0.75,var,0.16502413153648376,0.1,0.0,-1,-1,1,0.015036483120036604,0.015036483120036604,1.4007639999999952,1.4007639999999952
777,HON.csv,2015-10-20,1.131919,1.0,93.650185,92.602005,1.048179999999988,1.1319193358718183,0.011255610643070783,684.0,3,Adv-ALSTM,stocknet,0.75,var,0.17132309079170227,0.1,1.0,1,1,1,0.011255610643070783,0.011255610643070783,1.048179999999988,1.048179999999988
880,HON.csv,2015-10-22,3.857437,1.0,97.747612,94.117104,3.630508000000006,3.857437007411539,0.0378489747445369,777.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,-0.0378489747445369,-0.0378489747445369,-3.630508000000006,-3.630508000000006
1123,HON.csv,2015-10-28,1.102984,1.0,98.7005,97.623726,1.0767740000000003,1.1029839201179437,0.010969454144014769,880.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.010969454144014769,0.010969454144014769,1.0767740000000003,1.0767740000000003
1182,HON.csv,2015-10-29,-0.617877,0.0,98.090652,98.7005,-0.6098479999999995,-0.6178773157177517,-0.006197940771724485,1123.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.006197940771724485,-0.006197940771724485,-0.6098479999999995,-0.6098479999999995
1298,HON.csv,2015-11-02,0.871412,1.0,99.272232,98.414635,0.8575969999999984,0.8714120618340945,0.008676371809202717,1182.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.008676371809202717,0.008676371809202717,0.8575969999999984,0.8575969999999984
1354,HON.csv,2015-11-03,-0.508722,0.0,98.767212,99.272232,-0.5050200000000018,-0.5087223182410181,-0.005100207155896715,1298.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,0.005100207155896715,0.005100207155896715,0.5050200000000018,0.5050200000000018
1552,HON.csv,2015-11-09,-1.240403,0.0,97.871475,99.100723,-1.2292479999999983,-1.2404026557909151,-0.012481598633548384,1354.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,0.012481598633548384,0.012481598633548384,1.2292479999999983,1.2292479999999983
1659,HON.csv,2015-11-11,0.839853,1.0,98.395584,97.576088,0.8194960000000009,0.8398533050433431,0.008363461600733686,1552.0,3,Adv-ALSTM,stocknet,0.75,var,0.2349979281425476,0.1,0.0,-1,-1,1,-0.008363461600733686,-0.008363461600733686,-0.8194960000000009,-0.8194960000000009
1716,HON.csv,2015-11-12,-1.249277,0.0,97.166351,98.395584,-1.2292329999999936,-1.2492765935511838,-0.012571456598767744,1659.0,3,Adv-ALSTM,stocknet,0.75,var,0.2244008183479309,0.1,0.0,-1,-1,1,0.012571456598767744,0.012571456598767744,1.2292329999999936,1.2292329999999936
1792,HON.csv,2015-11-13,-0.8728,0.0,96.318283,97.166351,-0.848068000000012,-0.8728000910521092,-0.00876631299866159,1716.0,3,Adv-ALSTM,stocknet,0.75,var,0.2163236439228058,0.1,1.0,1,1,1,-0.00876631299866159,-0.00876631299866159,-0.848068000000012,-0.848068000000012
1856,HON.csv,2015-11-16,1.859896,1.0,98.109703,96.318283,1.7914200000000022,1.859896111312535,0.01842811555141808,1792.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.01842811555141808,0.01842811555141808,1.7914200000000022,1.7914200000000022
1985,HON.csv,2015-11-18,1.73038,1.0,99.734261,98.037834,1.696427,1.7303799265903812,0.017155793466940673,1856.0,3,Adv-ALSTM,stocknet,0.75,var,0.037018101662397385,0.1,1.0,1,1,1,0.017155793466940673,0.017155793466940673,1.696427,1.696427
2050,HON.csv,2015-11-19,0.941765,1.0,100.673523,99.734261,0.9392619999999994,0.9417646359258622,0.00937357679940963,1985.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.00937357679940963,0.00937357679940963,0.9392619999999994,0.9392619999999994
2102,HON.csv,2015-11-20,0.561685,1.0,101.238991,100.673523,0.5654679999999956,0.5616849228570213,0.005601133551869992,2050.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.005601133551869992,0.005601133551869992,0.5654679999999956,0.5654679999999956
2149,HON.csv,2015-11-23,-0.984566,0.0,100.242226,101.238991,-0.9967649999999963,-0.9845663120052198,-0.009894452165663738,2102.0,3,Adv-ALSTM,stocknet,0.75,var,0.0004997433279640973,0.1,0.0,-1,-1,1,0.009894452165663738,0.009894452165663738,0.9967649999999963,0.9967649999999963
2201,HON.csv,2015-11-24,-1.357681,0.0,98.881256,100.242226,-1.360970000000009,-1.357681342790621,-0.013669821151078614,2149.0,3,Adv-ALSTM,stocknet,0.75,var,0.0004997473442927003,0.1,1.0,1,1,1,-0.013669821151078614,-0.013669821151078614,-1.360970000000009,-1.360970000000009
2439,HON.csv,2015-12-02,-1.008158,0.0,98.814163,99.820511,-1.0063480000000027,-1.0081575318723852,-0.010132738560353549,2201.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,0.010132738560353549,0.010132738560353549,1.0063480000000027,1.0063480000000027
2509,HON.csv,2015-12-03,-0.678949,0.0,98.143265,98.814163,-0.670897999999994,-0.6789492311947165,-0.006812645774555708,2439.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,0.006812645774555708,0.006812645774555708,0.670897999999994,0.670897999999994
2586,HON.csv,2015-12-04,2.099607,1.0,100.203888,98.143265,2.0606230000000068,2.099607140642821,0.020778691385143485,2509.0,3,Adv-ALSTM,stocknet,0.75,var,0.19501224160194397,0.1,0.0,-1,-1,1,-0.020778691385143485,-0.020778691385143485,-2.0606230000000068,-2.0606230000000068
2709,HON.csv,2015-12-08,-1.459017,0.0,98.392448,99.849266,-1.4568179999999984,-1.4590172350390622,-0.014697655662813353,2586.0,3,Adv-ALSTM,stocknet,0.75,var,0.2356014847755432,0.1,1.0,1,1,1,-0.014697655662813353,-0.014697655662813353,-1.4568179999999984,-1.4568179999999984
2772,HON.csv,2015-12-09,-0.750057,0.0,97.654449,98.392448,-0.7379990000000021,-0.7500565490554744,-0.007528836184737041,2709.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.007528836184737041,-0.007528836184737041,-0.7379990000000021,-0.7379990000000021
2887,HON.csv,2015-12-11,-3.468951,0.0,94.146606,97.529869,-3.3832629999999995,-3.4689506247568107,-0.0353054742113823,2772.0,3,Adv-ALSTM,stocknet,0.75,var,0.1569744497537613,0.1,1.0,1,1,1,-0.0353054742113823,-0.0353054742113823,-3.3832629999999995,-3.3832629999999995
2957,HON.csv,2015-12-14,0.763519,1.0,94.865433,94.146606,0.7188269999999903,0.7635187613667032,0.007606187091461864,2887.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.007606187091461864,0.007606187091461864,0.7188269999999903,0.7188269999999903
