ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
102,PICO.csv,2015-10-02,0.92688,1.0,9.8,9.71,0.08999999999999986,0.9268795056642621,0.009226103373292632,,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.009226103373292632,0.009226103373292632,0.08999999999999986,0.08999999999999986
180,PICO.csv,2015-10-05,6.938776,1.0,10.48,9.8,0.6799999999999997,6.938775510204079,0.06708629321636982,102.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.06708629321636982,0.06708629321636982,0.6799999999999997,0.6799999999999997
244,PICO.csv,2015-10-06,2.671756,1.0,10.76,10.48,0.27999999999999936,2.6717557251908333,0.026366875840742134,180.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.026366875840742134,0.026366875840742134,0.27999999999999936,0.27999999999999936
303,PICO.csv,2015-10-07,3.531599,1.0,11.14,10.76,0.3800000000000008,3.5315985130111596,0.03470667976549977,244.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.03470667976549977,0.03470667976549977,0.3800000000000008,0.3800000000000008
370,PICO.csv,2015-10-08,-1.436266,0.0,10.98,11.14,-0.16000000000000014,-1.4362657091561952,-0.014466798417753376,303.0,5,Adv-ALSTM,stocknet,0.75,var,0.0319102481007576,0.1,1.0,1,1,1,-0.014466798417753376,-0.014466798417753376,-0.16000000000000014,-0.16000000000000014
429,PICO.csv,2015-10-09,-3.096539,0.0,10.64,10.98,-0.33999999999999986,-3.0965391621129315,-0.03145495216788625,370.0,5,Adv-ALSTM,stocknet,0.75,var,0.17817595601081848,0.1,0.0,-1,-1,1,0.03145495216788625,0.03145495216788625,0.33999999999999986,0.33999999999999986
471,PICO.csv,2015-10-12,-0.845865,0.0,10.55,10.64,-0.08999999999999986,-0.8458646616541339,-0.008494623991422857,429.0,5,Adv-ALSTM,stocknet,0.75,var,0.04659924656152725,0.1,1.0,1,1,1,-0.008494623991422857,-0.008494623991422857,-0.08999999999999986,-0.08999999999999986
523,PICO.csv,2015-10-13,3.791469,1.0,10.95,10.55,0.3999999999999986,3.7914691943127825,0.03721359634043427,471.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,-0.03721359634043427,-0.03721359634043427,-0.3999999999999986,-0.3999999999999986
574,PICO.csv,2015-10-14,-3.196347,0.0,10.6,10.95,-0.34999999999999964,-3.1963470319634673,-0.03248545514448831,523.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,0.03248545514448831,0.03248545514448831,0.34999999999999964,0.34999999999999964
642,PICO.csv,2015-10-15,3.490566,1.0,10.97,10.6,0.370000000000001,3.4905660377358587,0.034310273169117465,574.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,-0.034310273169117465,-0.034310273169117465,-0.370000000000001,-0.370000000000001
700,PICO.csv,2015-10-16,-2.096627,0.0,10.74,10.97,-0.23000000000000043,-2.096627164995446,-0.02118918520642029,642.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,0.02118918520642029,0.02118918520642029,0.23000000000000043,0.23000000000000043
746,PICO.csv,2015-10-19,1.862197,1.0,10.94,10.74,0.1999999999999993,1.862197392923643,0.01845070791311639,700.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,-0.01845070791311639,-0.01845070791311639,-0.1999999999999993,-0.1999999999999993
789,PICO.csv,2015-10-20,-1.371115,0.0,10.79,10.94,-0.15000000000000036,-1.371115173674592,-0.013806017723791945,746.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,0.013806017723791945,0.013806017723791945,0.15000000000000036,0.15000000000000036
833,PICO.csv,2015-10-21,-0.55607,0.0,10.73,10.79,-0.05999999999999872,-0.5560704355884961,-0.005576222627436069,789.0,5,Adv-ALSTM,stocknet,0.75,var,0.11604617536067963,0.1,0.0,-1,-1,1,0.005576222627436069,0.005576222627436069,0.05999999999999872,0.05999999999999872
903,PICO.csv,2015-10-22,3.355079,1.0,11.09,10.73,0.35999999999999943,3.3550792171481767,0.033000244719668455,833.0,5,Adv-ALSTM,stocknet,0.75,var,0.04569604992866516,0.1,1.0,1,1,1,0.033000244719668455,0.033000244719668455,0.35999999999999943,0.35999999999999943
1030,PICO.csv,2015-10-26,-0.724638,0.0,10.96,11.04,-0.0799999999999983,-0.7246376811594049,-0.007272759329079585,903.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.007272759329079585,-0.007272759329079585,-0.0799999999999983,-0.0799999999999983
1081,PICO.csv,2015-10-27,-7.116788,0.0,10.18,10.96,-0.7800000000000011,-7.116788321167893,-0.07382727039749284,1030.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.07382727039749284,-0.07382727039749284,-0.7800000000000011,-0.7800000000000011
1141,PICO.csv,2015-10-28,-0.785855,0.0,10.1,10.18,-0.08000000000000007,-0.7858546168958749,-0.007889587275162932,1081.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.007889587275162932,-0.007889587275162932,-0.08000000000000007,-0.08000000000000007
1195,PICO.csv,2015-10-29,-3.861386,0.0,9.71,10.1,-0.3899999999999988,-3.8613861386138497,-0.039379141543980145,1141.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.039379141543980145,-0.039379141543980145,-0.3899999999999988,-0.3899999999999988
1253,PICO.csv,2015-10-30,-0.514933,0.0,9.66,9.71,-0.05000000000000071,-0.514933058702376,-0.005162634078806943,1195.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.005162634078806943,-0.005162634078806943,-0.05000000000000071,-0.05000000000000071
1313,PICO.csv,2015-11-02,5.486542,1.0,10.19,9.66,0.5299999999999994,5.486542443064176,0.053413199010206684,1253.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.053413199010206684,0.053413199010206684,0.5299999999999994,0.5299999999999994
1368,PICO.csv,2015-11-03,-2.060844,0.0,9.98,10.19,-0.20999999999999908,-2.0608439646712373,-0.0208237569112607,1313.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.0208237569112607,-0.0208237569112607,-0.20999999999999908,-0.20999999999999908
1412,PICO.csv,2015-11-04,1.302605,1.0,10.11,9.98,0.129999999999999,1.3026052104208317,0.01294194270900729,1368.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.01294194270900729,0.01294194270900729,0.129999999999999,0.129999999999999
1570,PICO.csv,2015-11-09,-3.369673,0.0,9.75,10.09,-0.33999999999999986,-3.369672943508423,-0.03427754935576182,1412.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.03427754935576182,-0.03427754935576182,-0.33999999999999986,-0.33999999999999986
1620,PICO.csv,2015-11-10,-4.307692,0.0,9.33,9.75,-0.41999999999999993,-4.307692307692307,-0.0440322701505034,1570.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.0440322701505034,-0.0440322701505034,-0.41999999999999993,-0.41999999999999993
1672,PICO.csv,2015-11-11,4.394427,1.0,9.74,9.33,0.41000000000000014,4.394426580921759,0.04300610279519121,1620.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.04300610279519121,0.04300610279519121,0.41000000000000014,0.41000000000000014
1739,PICO.csv,2015-11-12,-3.49076,0.0,9.4,9.74,-0.33999999999999986,-3.4907597535934274,-0.03553142837848554,1672.0,5,Adv-ALSTM,stocknet,0.75,var,0.060775965452194214,0.1,1.0,1,1,1,-0.03553142837848554,-0.03553142837848554,-0.33999999999999986,-0.33999999999999986
1807,PICO.csv,2015-11-13,-2.021277,0.0,9.21,9.4,-0.1899999999999995,-2.021276595744675,-0.020419839008742738,1739.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.020419839008742738,-0.020419839008742738,-0.1899999999999995,-0.1899999999999995
1878,PICO.csv,2015-11-16,0.977199,1.0,9.3,9.21,0.08999999999999986,0.9771986970684022,0.00972454989199478,1807.0,5,Adv-ALSTM,stocknet,0.75,var,0.04069330543279648,0.1,0.0,-1,-1,1,-0.00972454989199478,-0.00972454989199478,-0.08999999999999986,-0.08999999999999986
1935,PICO.csv,2015-11-17,5.591398,1.0,9.82,9.3,0.5199999999999996,5.591397849462361,0.05440672220716426,1878.0,5,Adv-ALSTM,stocknet,0.75,var,0.09397681057453156,0.1,0.0,-1,-1,1,-0.05440672220716426,-0.05440672220716426,-0.5199999999999996,-0.5199999999999996
2009,PICO.csv,2015-11-18,6.924644,1.0,10.5,9.82,0.6799999999999997,6.924643584521382,0.06695413479710316,1935.0,5,Adv-ALSTM,stocknet,0.75,var,0.00099900271743536,0.1,0.0,-1,-1,1,-0.06695413479710316,-0.06695413479710316,-0.6799999999999997,-0.6799999999999997
2114,PICO.csv,2015-11-20,1.233397,1.0,10.67,10.54,0.13000000000000078,1.2333965844402353,0.012258522200445836,2009.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,-0.012258522200445836,-0.012258522200445836,-0.13000000000000078,-0.13000000000000078
2164,PICO.csv,2015-11-23,1.218369,1.0,10.8,10.67,0.13000000000000078,1.2183692596063804,0.012110068816512167,2114.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,-0.012110068816512167,-0.012110068816512167,-0.13000000000000078,-0.13000000000000078
2213,PICO.csv,2015-11-24,-0.648148,0.0,10.73,10.8,-0.07000000000000028,-0.6481481481481507,-0.006502577487566957,2164.0,5,Adv-ALSTM,stocknet,0.75,var,0.007935917936265469,0.1,0.0,-1,-1,1,0.006502577487566957,0.006502577487566957,0.07000000000000028,0.07000000000000028
2255,PICO.csv,2015-11-25,-0.83877,0.0,10.64,10.73,-0.08999999999999986,-0.8387698042870442,-0.00842307272910875,2213.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,0.00842307272910875,0.00842307272910875,0.08999999999999986,0.08999999999999986
2284,PICO.csv,2015-11-27,0.93985,1.0,10.74,10.64,0.09999999999999964,0.939849624060147,0.009354605167220318,2255.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,-0.009354605167220318,-0.009354605167220318,-0.09999999999999964,-0.09999999999999964
2334,PICO.csv,2015-11-30,0.837989,1.0,10.83,10.74,0.08999999999999986,0.837988826815641,0.008344971932180688,2284.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,-0.008344971932180688,-0.008344971932180688,-0.08999999999999986,-0.08999999999999986
2394,PICO.csv,2015-12-01,1.292705,1.0,10.97,10.83,0.14000000000000057,1.2927054478301068,0.012844213274239732,2334.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,-0.012844213274239732,-0.012844213274239732,-0.14000000000000057,-0.14000000000000057
2458,PICO.csv,2015-12-02,-4.102097,0.0,10.52,10.97,-0.45000000000000107,-4.102096627165005,-0.04188606697757521,2394.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,0.04188606697757521,0.04188606697757521,0.45000000000000107,0.45000000000000107
2661,PICO.csv,2015-12-07,-2.664129,0.0,10.23,10.51,-0.27999999999999936,-2.6641294005708787,-0.027002604925324598,2458.0,5,Adv-ALSTM,stocknet,0.75,var,0.059469129890203476,0.1,1.0,1,1,1,-0.027002604925324598,-0.027002604925324598,-0.27999999999999936,-0.27999999999999936
2720,PICO.csv,2015-12-08,1.661779,1.0,10.4,10.23,0.16999999999999993,1.661779081133919,0.01648122618379185,2661.0,5,Adv-ALSTM,stocknet,0.75,var,0.009900008328258991,0.1,1.0,1,1,1,0.01648122618379185,0.01648122618379185,0.16999999999999993,0.16999999999999993
2837,PICO.csv,2015-12-10,-3.643337,0.0,10.05,10.43,-0.379999999999999,-3.64333652924256,-0.0371136345075962,2720.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.0371136345075962,-0.0371136345075962,-0.379999999999999,-0.379999999999999
2907,PICO.csv,2015-12-11,-6.069652,0.0,9.44,10.05,-0.6100000000000012,-6.069651741293544,-0.06261665434767559,2837.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.06261665434767559,-0.06261665434767559,-0.6100000000000012,-0.6100000000000012
2970,PICO.csv,2015-12-14,-1.90678,0.0,9.26,9.44,-0.17999999999999972,-1.906779661016946,-0.019251931499321254,2907.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.019251931499321254,-0.019251931499321254,-0.17999999999999972,-0.17999999999999972
3036,PICO.csv,2015-12-15,2.37581,1.0,9.48,9.26,0.22000000000000064,2.3758099352051905,0.023480267608842448,2970.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.023480267608842448,0.023480267608842448,0.22000000000000064,0.22000000000000064
3116,PICO.csv,2015-12-16,3.059072,1.0,9.77,9.48,0.28999999999999915,3.0590717299577967,0.03013214978776095,3036.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.03013214978776095,0.03013214978776095,0.28999999999999915,0.28999999999999915
3193,PICO.csv,2015-12-17,-4.708291,0.0,9.31,9.77,-0.4599999999999991,-4.708290685772765,-0.04822737476571558,3116.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.04822737476571558,-0.04822737476571558,-0.4599999999999991,-0.4599999999999991
3274,PICO.csv,2015-12-18,5.263158,1.0,9.8,9.31,0.4900000000000002,5.263157894736844,0.05129329438755048,3193.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.05129329438755048,0.05129329438755048,0.4900000000000002,0.4900000000000002
3329,PICO.csv,2015-12-21,-0.510204,0.0,9.75,9.8,-0.05000000000000071,-0.5102040816326603,-0.005115100666770489,3274.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,-0.005115100666770489,-0.005115100666770489,-0.05000000000000071,-0.05000000000000071
3378,PICO.csv,2015-12-22,2.564103,1.0,10.0,9.75,0.25,2.564102564102564,0.025317807984289786,3329.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.025317807984289786,0.025317807984289786,0.25,0.25
3443,PICO.csv,2015-12-23,3.0,1.0,10.3,10.0,0.3000000000000007,3.000000000000007,0.02955880224154443,3378.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,1.0,1,1,1,0.02955880224154443,0.02955880224154443,0.3000000000000007,0.3000000000000007
3515,PICO.csv,2015-12-28,-3.203883,0.0,9.97,10.3,-0.33000000000000007,-3.203883495145632,-0.032563311261843135,3443.0,5,Adv-ALSTM,stocknet,0.75,var,0.24252057075500488,0.1,1.0,1,0,1,-0.0,-0.032563311261843135,-0.0,-0.33000000000000007
3577,PICO.csv,2015-12-29,1.303912,1.0,10.1,9.97,0.129999999999999,1.3039117352056069,0.012954839873466732,3515.0,5,Adv-ALSTM,stocknet,0.75,var,0.21741893887519836,0.1,0.0,-1,-1,1,-0.012954839873466732,-0.012954839873466732,-0.129999999999999,-0.129999999999999
3702,PICO.csv,2015-12-31,1.674877,1.0,10.32,10.15,0.16999999999999993,1.6748768472906395,0.016610054565620338,3577.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.1,0.0,-1,-1,1,-0.016610054565620338,-0.016610054565620338,-0.16999999999999993,-0.16999999999999993
