ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
42,SLB.csv,2015-10-01,-1.913881,0.0,64.117035,65.368103,-1.2510680000000036,-1.9138814537726503,-0.019324332525842824,,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.2,1.0,1,1,1,-0.019324332525842824,-0.019324332525842824,-1.2510680000000036,-1.2510680000000036
108,SLB.csv,2015-10-02,3.946764,1.0,66.647583,64.117035,2.530547999999996,3.9467639138335016,0.03870869665129247,42.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.2,1.0,1,1,1,0.03870869665129247,0.03870869665129247,2.530547999999996,2.530547999999996
186,SLB.csv,2015-10-05,2.517071,1.0,68.32515,66.647583,1.6775669999999963,2.517071024166017,0.024859145300259324,108.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.2,1.0,1,1,1,0.024859145300259324,0.024859145300259324,1.6775669999999963,1.6775669999999963
249,SLB.csv,2015-10-06,2.566251,1.0,70.078545,68.32515,1.7533950000000118,2.566251226671309,0.025338757224898298,186.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.2,1.0,1,1,1,0.025338757224898298,0.025338757224898298,1.7533950000000118,1.7533950000000118
309,SLB.csv,2015-10-07,1.906942,1.0,71.414902,70.078545,1.3363569999999925,1.9069417037696663,0.01888987462661891,249.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.2,1.0,1,1,1,0.01888987462661891,0.01888987462661891,1.3363569999999925,1.3363569999999925
376,SLB.csv,2015-10-08,1.712025,1.0,72.637543,71.414902,1.2226409999999959,1.712025033654735,0.016975350328854145,309.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.2,1.0,1,1,1,0.016975350328854145,0.016975350328854145,1.2226409999999959,1.2226409999999959
476,SLB.csv,2015-10-12,-1.859601,0.0,71.026321,72.372154,-1.345832999999999,-1.859600586159145,-0.01877108549723195,376.0,5,Adv-ALSTM,stocknet,0.75,var,0.12468395382165909,0.2,1.0,1,1,1,-0.01877108549723195,-0.01877108549723195,-1.345832999999999,-1.345832999999999
648,SLB.csv,2015-10-15,1.533141,1.0,72.18261,71.092659,1.0899509999999992,1.5331414175969973,0.015215075628389111,476.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.2,0.0,-1,-1,1,-0.015215075628389111,-0.015215075628389111,-1.0899509999999992,-1.0899509999999992
706,SLB.csv,2015-10-16,-2.166489,0.0,70.618782,72.18261,-1.5638280000000009,-2.1664885766807283,-0.021903015049134934,648.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.2,0.0,-1,-1,1,0.021903015049134934,0.021903015049134934,1.5638280000000009,1.5638280000000009
792,SLB.csv,2015-10-20,1.901807,1.0,71.604469,70.268105,1.336363999999989,1.9018073704990177,0.018839490790840928,706.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.2,0.0,-1,-1,1,-0.018839490790840928,-0.018839490790840928,-1.336363999999989,-1.336363999999989
907,SLB.csv,2015-10-22,3.47747,1.0,74.172935,71.680275,2.4926600000000008,3.4774699176307577,0.034183721065918334,792.0,5,Adv-ALSTM,stocknet,0.75,var,0.001996024278923869,0.2,0.0,-1,-1,1,-0.034183721065918334,-0.034183721065918334,-2.4926600000000008,-2.4926600000000008
