ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
13,CAT.csv,2015-10-01,-1.48409,0.0,59.715721,60.615307,-0.8995859999999993,-1.484090478994026,-0.014952132872916597,,3,Adv-ALSTM,stocknet,0.75,var,0.01960032433271408,0.3,0.0,-1,-1,1,0.014952132872916597,0.014952132872916597,0.8995859999999993,0.8995859999999993
65,CAT.csv,2015-10-02,2.034474,1.0,60.930622,59.715721,1.2149009999999976,2.034474305350843,0.020140553578454075,13.0,3,Adv-ALSTM,stocknet,0.75,var,0.11012197285890579,0.3,0.0,-1,-1,1,-0.020140553578454075,-0.020140553578454075,-1.2149009999999976,-1.2149009999999976
140,CAT.csv,2015-10-05,5.296816,1.0,64.158005,60.930622,3.227383000000003,5.296816106686066,0.0516129962909681,65.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,1.0,1,1,1,0.0516129962909681,0.0516129962909681,3.227383000000003,3.227383000000003
217,CAT.csv,2015-10-06,2.370608,1.0,65.67894,64.158005,1.5209349999999944,2.37060831302344,0.023429457223709836,140.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,1.0,1,1,1,0.023429457223709836,0.023429457223709836,1.5209349999999944,1.5209349999999944
275,CAT.csv,2015-10-07,-0.621281,0.0,65.270889,65.67894,-0.4080510000000004,-0.6212813422384716,-0.006232193258261203,217.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,1.0,1,1,1,-0.006232193258261203,-0.006232193258261203,-0.4080510000000004,-0.4080510000000004
337,CAT.csv,2015-10-08,2.074461,1.0,66.624908,65.270889,1.354019000000008,2.0744607906290478,0.020532368721391976,275.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,1.0,1,1,1,0.020532368721391976,0.020532368721391976,1.354019000000008,1.354019000000008
405,CAT.csv,2015-10-09,-0.751683,0.0,66.1241,66.624908,-0.5008080000000064,-0.7516828390967629,-0.00754522212218872,337.0,3,Adv-ALSTM,stocknet,0.75,var,0.001996029634028673,0.3,1.0,1,1,1,-0.00754522212218872,-0.00754522212218872,-0.5008080000000064,-0.5008080000000064
452,CAT.csv,2015-10-12,-1.122024,0.0,65.382172,66.1241,-0.7419280000000015,-1.122023588978907,-0.011283657587020407,405.0,3,Adv-ALSTM,stocknet,0.75,var,0.024375304579734802,0.3,1.0,1,1,1,-0.011283657587020407,-0.011283657587020407,-0.7419280000000015,-0.7419280000000015
548,CAT.csv,2015-10-14,0.769562,1.0,65.576935,65.076134,0.5008010000000098,0.7695616952291755,0.007666156738634231,452.0,3,Adv-ALSTM,stocknet,0.75,var,0.15544506907463074,0.3,0.0,-1,-1,1,-0.007666156738634231,-0.007666156738634231,-0.5008010000000098,-0.5008010000000098
675,CAT.csv,2015-10-16,-1.623598,0.0,64.621712,65.688225,-1.0665130000000005,-1.623598445535711,-0.01636923229265502,548.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,0.0,-1,-1,1,0.01636923229265502,0.01636923229265502,1.0665130000000005,1.0665130000000005
731,CAT.csv,2015-10-19,-0.588423,0.0,64.241463,64.621712,-0.3802490000000063,-0.5884229746188189,-0.005901610039337211,675.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,0.0,-1,-1,1,0.005901610039337211,0.005901610039337211,0.3802490000000063,0.3802490000000063
769,CAT.csv,2015-10-20,1.443613,1.0,65.168861,64.241463,0.9273980000000108,1.4436128268125072,0.014332919472885671,731.0,3,Adv-ALSTM,stocknet,0.75,var,0.24815623462200165,0.3,0.0,-1,-1,1,-0.014332919472885671,-0.014332919472885671,-0.9273980000000108,-0.9273980000000108
812,CAT.csv,2015-10-21,-0.853834,0.0,64.612427,65.168861,-0.5564340000000101,-0.8538341647554805,-0.008575002115494997,769.0,3,Adv-ALSTM,stocknet,0.75,var,0.2481987178325653,0.3,0.0,-1,-1,1,0.008575002115494997,0.008575002115494997,0.5564340000000101,0.5564340000000101
863,CAT.csv,2015-10-22,2.873732,1.0,66.469215,64.612427,1.8567880000000088,2.8737320144312317,0.028332147435552235,812.0,3,Adv-ALSTM,stocknet,0.75,var,0.20959338545799255,0.3,1.0,1,1,1,0.028332147435552235,0.028332147435552235,1.8567880000000088,1.8567880000000088
940,CAT.csv,2015-10-23,1.227433,1.0,67.28508,66.469215,0.8158649999999881,1.227432880018198,0.012199610020351253,863.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,1.0,1,1,1,0.012199610020351253,0.012199610020351253,0.8158649999999881,0.8158649999999881
1060,CAT.csv,2015-10-27,-1.579961,0.0,66.009712,67.069382,-1.0596700000000112,-1.579960882895881,-0.015925753099574953,940.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,1.0,1,1,1,-0.015925753099574953,-0.015925753099574953,-1.0596700000000112,-1.0596700000000112
1110,CAT.csv,2015-10-28,2.24463,1.0,67.491386,66.009712,1.4816740000000124,2.2446303053102437,0.02219809220435127,1060.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,1.0,1,1,1,0.02219809220435127,0.02219809220435127,1.4816740000000124,1.4816740000000124
1224,CAT.csv,2015-10-30,1.417259,1.0,68.447914,67.491386,0.9565279999999916,1.4172593818120605,0.014073101550762102,1110.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,1.0,1,1,1,0.014073101550762102,0.014073101550762102,0.9565279999999916,0.9565279999999916
1284,CAT.csv,2015-11-02,1.849568,1.0,69.713905,68.447914,1.2659909999999996,1.8495684178191314,0.01832671924638015,1224.0,3,Adv-ALSTM,stocknet,0.75,var,0.0004997468204237521,0.3,1.0,1,1,1,0.01832671924638015,0.01832671924638015,1.2659909999999996,1.2659909999999996
1344,CAT.csv,2015-11-03,0.551517,1.0,70.098389,69.713905,0.3844840000000005,0.551516946296439,0.005500016604054202,1284.0,3,Adv-ALSTM,stocknet,0.75,var,0.036093808710575104,0.3,1.0,1,1,1,0.005500016604054202,0.005500016604054202,0.3844840000000005,0.3844840000000005
1474,CAT.csv,2015-11-06,-0.512026,0.0,69.24501,69.601387,-0.35637700000000905,-0.5120257158093833,-0.005133410593300679,1344.0,3,Adv-ALSTM,stocknet,0.75,var,0.004479651805013418,0.3,0.0,-1,-1,1,0.005133410593300679,0.005133410593300679,0.35637700000000905,0.35637700000000905
1539,CAT.csv,2015-11-09,-2.64082,0.0,67.416374,69.24501,-1.8286359999999888,-2.6408198944588053,-0.02676315861028939,1474.0,3,Adv-ALSTM,stocknet,0.75,var,0.0014976852107793093,0.3,0.0,-1,-1,1,0.02676315861028939,0.02676315861028939,1.8286359999999888,1.8286359999999888
1600,CAT.csv,2015-11-10,0.751132,1.0,67.92276,67.416374,0.506385999999992,0.751132061774773,0.007483251120732779,1539.0,3,Adv-ALSTM,stocknet,0.75,var,0.06337546557188034,0.3,0.0,-1,-1,1,-0.007483251120732779,-0.007483251120732779,-0.506385999999992,-0.506385999999992
1648,CAT.csv,2015-11-11,-0.717933,0.0,67.43512,67.92276,-0.48763999999999896,-0.717933134637048,-0.007205226761273425,1600.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,1.0,1,1,1,-0.007205226761273425,-0.007205226761273425,-0.48763999999999896,-0.48763999999999896
1702,CAT.csv,2015-11-12,-4.51951,0.0,64.387383,67.43512,-3.047736999999998,-4.519510011993747,-0.046248252691435725,1648.0,3,Adv-ALSTM,stocknet,0.75,var,0.02199365571141243,0.3,1.0,1,1,1,-0.046248252691435725,-0.046248252691435725,-3.047736999999998,-3.047736999999998
1777,CAT.csv,2015-11-13,1.412733,1.0,65.297005,64.387383,0.9096219999999988,1.4127332990067305,0.014028472226013307,1702.0,3,Adv-ALSTM,stocknet,0.75,var,0.24692049622535706,0.3,1.0,1,1,1,0.014028472226013307,0.014028472226013307,0.9096219999999988,0.9096219999999988
1842,CAT.csv,2015-11-16,1.091485,1.0,66.009712,65.297005,0.7127069999999947,1.0914849769908967,0.010855712722677569,1777.0,3,Adv-ALSTM,stocknet,0.75,var,0.20694641768932343,0.3,0.0,-1,-1,1,-0.010855712722677569,-0.010855712722677569,-0.7127069999999947,-0.7127069999999947
1914,CAT.csv,2015-11-17,-1.420638,0.0,65.071953,66.009712,-0.9377589999999998,-1.4206379206744606,-0.014308255828109536,1842.0,3,Adv-ALSTM,stocknet,0.75,var,0.09358055889606476,0.3,0.0,-1,-1,1,0.014308255828109536,0.014308255828109536,0.9377589999999998,0.9377589999999998
1971,CAT.csv,2015-11-18,1.340221,1.0,65.944061,65.071953,0.8721080000000114,1.3402210319398458,0.013313195150049311,1914.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.3,1.0,1,1,1,0.013313195150049311,0.013313195150049311,0.8721080000000114,0.8721080000000114
