ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
38,PPL.csv,2015-10-01,-0.881739,0.0,30.251495,30.520607,-0.2691119999999998,-0.8817386888799421,-0.008856490072869299,,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,0.008856490072869299,0.008856490072869299,0.2691119999999998,0.2691119999999998
104,PPL.csv,2015-10-02,1.349705,1.0,30.659801,30.251495,0.40830600000000317,1.3497051963878255,0.013406778137930104,38.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,-0.013406778137930104,-0.013406778137930104,-0.40830600000000317,-0.40830600000000317
182,PPL.csv,2015-10-05,1.331714,1.0,31.068102,30.659801,0.408300999999998,1.3317144491577033,0.013229250791725053,104.0,5,Adv-ALSTM,stocknet,0.75,var,0.0009989935206249356,0.4,0.0,-1,-1,1,-0.013229250791725053,-0.013229250791725053,-0.408300999999998,-0.408300999999998
245,PPL.csv,2015-10-06,-1.25447,0.0,30.678362,31.068102,-0.38973999999999975,-1.25446993833096,-0.012624048429648324,182.0,5,Adv-ALSTM,stocknet,0.75,var,0.07860399037599564,0.4,0.0,-1,-1,1,0.012624048429648324,0.012624048429648324,0.38973999999999975,0.38973999999999975
305,PPL.csv,2015-10-07,-1.300679,0.0,30.279335,30.678362,-0.39902700000000024,-1.3006789606302978,-0.013092118606057742,245.0,5,Adv-ALSTM,stocknet,0.75,var,0.07485826313495636,0.4,0.0,-1,-1,1,0.013092118606057742,0.013092118606057742,0.39902700000000024,0.39902700000000024
372,PPL.csv,2015-10-08,1.409757,1.0,30.7062,30.279335,0.4268649999999994,1.4097568523218869,0.013999121963300078,305.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,1.0,1,1,1,0.013999121963300078,0.013999121963300078,0.4268649999999994,0.4268649999999994
473,PPL.csv,2015-10-12,1.180743,1.0,31.012424,30.65052,0.3619039999999991,1.1807434262126681,0.011738270409613364,372.0,5,Adv-ALSTM,stocknet,0.75,var,0.0044796280562877655,0.4,1.0,1,1,1,0.011738270409613364,0.011738270409613364,0.3619039999999991,0.3619039999999991
575,PPL.csv,2015-10-14,0.747825,1.0,31.253696,31.021708,0.2319880000000012,0.7478247168079887,0.007450423705445298,473.0,5,Adv-ALSTM,stocknet,0.75,var,0.000998985255137086,0.4,1.0,1,1,1,0.007450423705445298,0.007450423705445298,0.2319880000000012,0.2319880000000012
644,PPL.csv,2015-10-15,1.514256,1.0,31.726957,31.253696,0.47326099999999727,1.514256105901834,0.01502905687631491,575.0,5,Adv-ALSTM,stocknet,0.75,var,0.061644233763217926,0.4,0.0,-1,-1,1,-0.01502905687631491,-0.01502905687631491,-0.47326099999999727,-0.47326099999999727
702,PPL.csv,2015-10-16,0.789694,1.0,31.977503,31.726957,0.25054599999999994,0.7896943914287146,0.007865926242227119,644.0,5,Adv-ALSTM,stocknet,0.75,var,0.053306903690099716,0.4,0.0,-1,-1,1,-0.007865926242227119,-0.007865926242227119,-0.25054599999999994,-0.25054599999999994
905,PPL.csv,2015-10-22,1.459841,1.0,32.246609,31.782633,0.46397599999999883,1.4598412913115124,0.014492881900377503,702.0,5,Adv-ALSTM,stocknet,0.75,var,0.05419260635972023,0.4,0.0,-1,-1,1,-0.014492881900377503,-0.014492881900377503,-0.46397599999999883,-0.46397599999999883
