ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
44,SO.csv,2015-10-01,-1.140939,0.0,40.307789,40.772984,-0.46519500000000136,-1.140939304319746,-0.011474979513102787,,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,0.011474979513102787,0.011474979513102787,0.46519500000000136,0.46519500000000136
111,SO.csv,2015-10-02,1.131479,1.0,40.763863,40.307789,0.456074000000001,1.1314785834569119,0.01125125244065299,44.0,3,Adv-ALSTM,stocknet,0.75,var,0.03144412487745285,0.4,0.0,-1,-1,1,-0.01125125244065299,-0.01125125244065299,-0.456074000000001,-0.456074000000001
189,SO.csv,2015-10-05,1.141212,1.0,41.229065,40.763863,0.4652019999999979,1.1412117639586756,0.011347490647526737,111.0,3,Adv-ALSTM,stocknet,0.75,var,0.0004997418145649135,0.4,1.0,1,1,1,0.011347490647526737,0.011347490647526737,0.4652019999999979,0.4652019999999979
252,SO.csv,2015-10-06,-0.907074,0.0,40.855087,41.229065,-0.37397800000000103,-0.9070736869730154,-0.009112126483050997,189.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,0.009112126483050997,0.009112126483050997,0.37397800000000103,0.37397800000000103
379,SO.csv,2015-10-08,0.87131,1.0,41.183453,40.827717,0.3557360000000003,0.8713100465548937,0.008675360468836773,252.0,3,Adv-ALSTM,stocknet,0.75,var,0.00891895778477192,0.4,1.0,1,1,1,0.008675360468836773,0.008675360468836773,0.3557360000000003,0.3557360000000003
479,SO.csv,2015-10-12,1.445747,1.0,41.60305,41.010147,0.5929029999999997,1.4457470732792048,0.014353957998196405,379.0,3,Adv-ALSTM,stocknet,0.75,var,0.001497755409218371,0.4,0.0,-1,-1,1,-0.014353957998196405,-0.014353957998196405,-0.5929029999999997,-0.5929029999999997
651,SO.csv,2015-10-15,0.65905,1.0,41.794594,41.52095,0.27364399999999733,0.6590504311678739,0.006568881887929054,479.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,-0.006568881887929054,-0.006568881887929054,-0.27364399999999733,-0.27364399999999733
707,SO.csv,2015-10-16,0.872984,1.0,42.159454,41.794594,0.3648600000000002,0.8729837165064942,0.008691952461803983,651.0,3,Adv-ALSTM,stocknet,0.75,var,0.010389973409473896,0.4,0.0,-1,-1,1,-0.008691952461803983,-0.008691952461803983,-0.3648600000000002,-0.3648600000000002
751,SO.csv,2015-10-19,-0.562529,0.0,41.922295,42.159454,-0.23715899999999834,-0.562528632367958,-0.005641167833488133,707.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,0.005641167833488133,0.005641167833488133,0.23715899999999834,0.23715899999999834
910,SO.csv,2015-10-22,0.911449,1.0,42.414852,42.031754,0.38309800000000394,0.9114489963944973,0.009073203679618664,751.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,-0.009073203679618664,-0.009073203679618664,-0.38309800000000394,-0.38309800000000394
981,SO.csv,2015-10-23,-1.483874,0.0,41.785469,42.414852,-0.6293830000000042,-1.4838740920279627,-0.014949936408107241,910.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,0.014949936408107241,0.014949936408107241,0.6293830000000042,0.6293830000000042
1149,SO.csv,2015-10-28,-0.722698,0.0,41.347649,41.648643,-0.30099400000000287,-0.7226982161219584,-0.007253223302743453,981.0,3,Adv-ALSTM,stocknet,0.75,var,0.0019960389472544193,0.4,1.0,1,1,1,-0.007253223302743453,-0.007253223302743453,-0.30099400000000287,-0.30099400000000287
1203,SO.csv,2015-10-29,-0.838314,0.0,41.001026,41.347649,-0.3466229999999939,-0.8383136850174817,-0.008418472965474865,1149.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,1.0,1,1,1,-0.008418472965474865,-0.008418472965474865,-0.3466229999999939,-0.3466229999999939
1416,SO.csv,2015-11-04,0.792253,1.0,41.776352,41.447979,0.32837300000000624,0.7922533448494709,0.007891314958326309,1203.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,1.0,1,1,1,0.007891314958326309,0.007891314958326309,0.32837300000000624,0.32837300000000624
1510,SO.csv,2015-11-06,-4.470746,0.0,39.760506,41.621288,-1.8607820000000004,-4.470745835640647,-0.04573765908136705,1416.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,0.04573765908136705,0.04573765908136705,1.8607820000000004,1.8607820000000004
1577,SO.csv,2015-11-09,0.986454,1.0,40.152725,39.760506,0.3922189999999972,0.986453743823072,0.009816200509809298,1510.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,-0.009816200509809298,-0.009816200509809298,-0.3922189999999972,-0.3922189999999972
1628,SO.csv,2015-11-10,0.954115,1.0,40.535828,40.152725,0.3831030000000055,0.9541145713024597,0.009495916447355849,1577.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,-0.009495916447355849,-0.009495916447355849,-0.3831030000000055,-0.3831030000000055
1679,SO.csv,2015-11-11,1.32763,1.0,41.073994,40.535828,0.5381659999999968,1.327630460638418,0.01318894681737196,1628.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.4,0.0,-1,-1,1,-0.01318894681737196,-0.01318894681737196,-0.5381659999999968,-0.5381659999999968
1747,SO.csv,2015-11-12,-1.341961,0.0,40.522797,41.073994,-0.5511970000000019,-1.3419610471774475,-0.013510467201224017,1679.0,3,Adv-ALSTM,stocknet,0.75,var,0.06681443005800247,0.4,1.0,1,1,1,-0.013510467201224017,-0.013510467201224017,-0.5511970000000019,-0.5511970000000019
1886,SO.csv,2015-11-16,1.797483,1.0,41.307583,40.578197,0.7293859999999981,1.797482524913559,0.017815188204804,1747.0,3,Adv-ALSTM,stocknet,0.75,var,0.22868268191814423,0.4,1.0,1,1,1,0.017815188204804,0.017815188204804,0.7293859999999981,0.7293859999999981
1943,SO.csv,2015-11-17,-1.430481,0.0,40.716686,41.307583,-0.5908969999999982,-1.4304806940652959,-0.014408106999770784,1886.0,3,Adv-ALSTM,stocknet,0.75,var,0.2384399026632309,0.4,1.0,1,1,1,-0.014408106999770784,-0.014408106999770784,-0.5908969999999982,-0.5908969999999982
2018,SO.csv,2015-11-18,0.793657,1.0,41.039837,40.716686,0.32315099999999575,0.7936574209403873,0.00790524525817332,1943.0,3,Adv-ALSTM,stocknet,0.75,var,0.24551619589328766,0.4,0.0,-1,-1,1,-0.00790524525817332,-0.00790524525817332,-0.32315099999999575,-0.32315099999999575
2073,SO.csv,2015-11-19,1.642297,1.0,41.713833,41.039837,0.6739960000000025,1.6422969711112705,0.016289571294617097,2018.0,3,Adv-ALSTM,stocknet,0.75,var,0.04929525405168533,0.4,1.0,1,1,1,0.016289571294617097,0.016289571294617097,0.6739960000000025,0.6739960000000025
2171,SO.csv,2015-11-23,-0.707353,0.0,41.473774,41.76923,-0.2954560000000015,-0.7073532358628625,-0.007098668392477902,2073.0,3,Adv-ALSTM,stocknet,0.75,var,0.0004997425712645054,0.4,0.0,-1,-1,1,0.007098668392477902,0.007098668392477902,0.2954560000000015,0.2954560000000015
