ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
29,KO.csv,2015-10-01,-0.797607,0.0,37.610397,37.912792,-0.3023950000000042,-0.7976067813734324,-0.008008046800504057,,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.008008046800504057,0.008008046800504057,0.3023950000000042,0.3023950000000042
85,KO.csv,2015-10-02,1.482412,1.0,38.167938,37.610397,0.5575410000000005,1.4824118979653431,0.01471531568528119,29.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.01471531568528119,-0.01471531568528119,-0.5575410000000005,-0.5575410000000005
164,KO.csv,2015-10-05,1.535027,1.0,38.753826,38.167938,0.5858879999999971,1.5350265974546413,0.015233642594114196,85.0,3,Adv-ALSTM,stocknet,0.75,var,0.04794950410723686,0.5,1.0,1,1,1,0.015233642594114196,0.015233642594114196,0.5858879999999971,0.5858879999999971
291,KO.csv,2015-10-07,1.367194,1.0,39.235775,38.706581,0.5291939999999968,1.3671938629764195,0.013579320897938096,164.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.013579320897938096,-0.013579320897938096,-0.5291939999999968,-0.5291939999999968
354,KO.csv,2015-10-08,1.107889,1.0,39.670464,39.235775,0.4346890000000059,1.107889419796107,0.011017972797815273,291.0,3,Adv-ALSTM,stocknet,0.75,var,0.01671135239303112,0.5,1.0,1,1,1,0.011017972797815273,0.011017972797815273,0.4346890000000059,0.4346890000000059
513,KO.csv,2015-10-13,-0.833309,0.0,39.358627,39.689362,-0.3307350000000042,-0.8333089355278732,-0.008368003642256554,354.0,3,Adv-ALSTM,stocknet,0.75,var,0.23399749398231506,0.5,1.0,1,1,1,-0.008368003642256554,-0.008368003642256554,-0.3307350000000042,-0.3307350000000042
626,KO.csv,2015-10-15,0.575812,1.0,39.613762,39.386967,0.22679500000000274,0.5758122985199717,0.005741608360211034,513.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.005741608360211034,-0.005741608360211034,-0.22679500000000274,-0.22679500000000274
780,KO.csv,2015-10-20,0.71445,1.0,39.963409,39.679916,0.283493,0.7144495971211229,0.007119094972998062,626.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.007119094972998062,-0.007119094972998062,-0.283493,-0.283493
887,KO.csv,2015-10-22,2.488728,1.0,40.861145,39.868916,0.9922290000000018,2.4887283115497842,0.024582638851284273,780.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.024582638851284273,-0.024582638851284273,-0.9922290000000018,-0.9922290000000018
959,KO.csv,2015-10-23,-1.040703,0.0,40.435902,40.861145,-0.4252430000000018,-1.040702603904031,-0.010461557806832271,887.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.010461557806832271,0.010461557806832271,0.4252430000000018,0.4252430000000018
1241,KO.csv,2015-10-30,-1.028262,0.0,40.020115,40.435902,-0.4157870000000017,-1.028261963836003,-0.010335850991251413,959.0,3,Adv-ALSTM,stocknet,0.75,var,0.001996023580431938,0.5,1.0,1,1,1,-0.010335850991251413,-0.010335850991251413,-0.4157870000000017,-0.4157870000000017
1446,KO.csv,2015-11-05,0.857764,1.0,40.001213,39.661015,0.3401980000000009,0.85776423018927,0.008541063353415418,1241.0,3,Adv-ALSTM,stocknet,0.75,var,0.21274994313716888,0.5,0.0,-1,-1,1,-0.008541063353415418,-0.008541063353415418,-0.3401980000000009,-0.3401980000000009
1489,KO.csv,2015-11-06,-0.874091,0.0,39.651566,40.001213,-0.3496469999999974,-0.874090993190625,-0.00877933576683502,1446.0,3,Adv-ALSTM,stocknet,0.75,var,0.0004997490905225277,0.5,1.0,1,1,1,-0.00877933576683502,-0.00877933576683502,-0.3496469999999974,-0.3496469999999974
1558,KO.csv,2015-11-09,-1.000952,0.0,39.254673,39.651566,-0.3968930000000057,-1.0009516395897344,-0.010059948420810413,1489.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.010059948420810413,0.010059948420810413,0.3968930000000057,0.3968930000000057
1613,KO.csv,2015-11-10,0.553682,1.0,39.472019,39.254673,0.21734600000000626,0.5536818508206813,0.005521546674258845,1558.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.005521546674258845,-0.005521546674258845,-0.21734600000000626,-0.21734600000000626
1663,KO.csv,2015-11-11,0.646397,1.0,39.727165,39.472019,0.2551459999999963,0.6463971351452691,0.006443169482306269,1613.0,3,Adv-ALSTM,stocknet,0.75,var,0.106735460460186,0.5,1.0,1,1,1,0.006443169482306269,0.006443169482306269,0.2551459999999963,0.2551459999999963
1722,KO.csv,2015-11-12,-1.094193,0.0,39.292473,39.727165,-0.4346919999999983,-1.0941933561078376,-0.01100223680898817,1663.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.01100223680898817,0.01100223680898817,0.4346919999999983,0.4346919999999983
1861,KO.csv,2015-11-16,1.401645,1.0,39.651566,39.103474,0.548092000000004,1.401645286042882,0.013919130737976225,1722.0,3,Adv-ALSTM,stocknet,0.75,var,0.16589942574501038,0.5,0.0,-1,-1,1,-0.013919130737976225,-0.013919130737976225,-0.548092000000004,-0.548092000000004
1926,KO.csv,2015-11-17,-0.691151,0.0,39.377514,39.651566,-0.2740520000000046,-0.6911505084061613,-0.006935500160635488,1861.0,3,Adv-ALSTM,stocknet,0.75,var,0.009900017641484737,0.5,0.0,-1,-1,1,0.006935500160635488,0.006935500160635488,0.2740520000000046,0.2740520000000046
1992,KO.csv,2015-11-18,1.463889,1.0,39.953957,39.377514,0.5764430000000047,1.4638887564105867,0.014532773391615735,1926.0,3,Adv-ALSTM,stocknet,0.75,var,0.11012192070484161,0.5,0.0,-1,-1,1,-0.014532773391615735,-0.014532773391615735,-0.5764430000000047,-0.5764430000000047
2055,KO.csv,2015-11-19,1.963127,1.0,40.738304,39.953957,0.7843469999999968,1.9631272066493857,0.01944106396601035,1992.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,1.0,1,1,1,0.01944106396601035,0.01944106396601035,0.7843469999999968,0.7843469999999968
2105,KO.csv,2015-11-20,-1.577388,0.0,40.095703,40.738304,-0.6426009999999991,-1.5773877086292034,-0.01589960862073962,2055.0,3,Adv-ALSTM,stocknet,0.75,var,0.013317933306097984,0.5,1.0,1,1,1,-0.01589960862073962,-0.01589960862073962,-0.6426009999999991,-0.6426009999999991
2153,KO.csv,2015-11-23,1.249129,1.0,40.59655,40.095703,0.5008470000000003,1.249128865504616,0.01241391616405896,2105.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.01241391616405896,-0.01241391616405896,-0.5008470000000003,-0.5008470000000003
2205,KO.csv,2015-11-24,0.931091,1.0,40.974541,40.59655,0.3779910000000015,0.9310914351096374,0.009267834987123445,2153.0,3,Adv-ALSTM,stocknet,0.75,var,0.0014977233950048685,0.5,1.0,1,1,1,0.009267834987123445,0.009267834987123445,0.3779910000000015,0.3779910000000015
2322,KO.csv,2015-11-30,-1.228278,0.0,40.584129,41.088814,-0.504685000000002,-1.2282783338550536,-0.012358840156443705,2205.0,3,Adv-ALSTM,stocknet,0.75,var,0.10254551470279694,0.5,1.0,1,1,1,-0.012358840156443705,-0.012358840156443705,-0.504685000000002,-0.504685000000002
2383,KO.csv,2015-12-01,0.633506,1.0,40.841232,40.584129,0.25710300000000075,0.633506265466485,0.006315080493007002,2322.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.006315080493007002,-0.006315080493007002,-0.25710300000000075,-0.25710300000000075
2516,KO.csv,2015-12-03,-0.72481,0.0,40.43177,40.726963,-0.2951929999999976,-0.7248097531848805,-0.007274492610838416,2383.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.007274492610838416,0.007274492610838416,0.2951929999999976,0.2951929999999976
2592,KO.csv,2015-12-04,1.95478,1.0,41.222122,40.43177,0.7903519999999986,1.9547796200858847,0.01935919193526934,2516.0,3,Adv-ALSTM,stocknet,0.75,var,0.0004997405922040343,0.5,0.0,-1,-1,1,-0.01935919193526934,-0.01935919193526934,-0.7903519999999986,-0.7903519999999986
2777,KO.csv,2015-12-09,-0.813759,0.0,40.622219,40.955498,-0.33327899999999744,-0.813758875548278,-0.008170879658989334,2592.0,3,Adv-ALSTM,stocknet,0.75,var,0.03977774456143379,0.5,0.0,-1,-1,1,0.008170879658989334,0.008170879658989334,0.33327899999999744,0.33327899999999744
2893,KO.csv,2015-12-11,-1.145924,0.0,40.250851,40.717442,-0.4665910000000011,-1.145924147199623,-0.011525404517409153,2777.0,3,Adv-ALSTM,stocknet,0.75,var,0.11087080091238022,0.5,0.0,-1,-1,1,0.011525404517409153,0.011525404517409153,0.4665910000000011,0.4665910000000011
