ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
116,UN.csv,2015-10-02,2.16149,1.0,38.6408,37.823254,0.8175460000000001,2.161490388954901,0.02138461440184963,,3,Adv-ALSTM,stocknet,0.75,var,0.020558951422572136,0.5,1.0,1,1,1,0.02138461440184963,0.02138461440184963,0.8175460000000001,0.8175460000000001
197,UN.csv,2015-10-05,1.969851,1.0,39.401966,38.6408,0.7611660000000029,1.969850520693161,0.019507000472416793,116.0,3,Adv-ALSTM,stocknet,0.75,var,0.0009989800164476037,0.5,1.0,1,1,1,0.019507000472416793,0.019507000472416793,0.7611660000000029,0.7611660000000029
316,UN.csv,2015-10-07,-0.618448,0.0,39.261009,39.505329,-0.24432000000000187,-0.6184482098605022,-0.006203685223212008,197.0,3,Adv-ALSTM,stocknet,0.75,var,0.12040252983570099,0.5,1.0,1,1,1,-0.006203685223212008,-0.006203685223212008,-0.24432000000000187,-0.24432000000000187
386,UN.csv,2015-10-08,0.694101,1.0,39.53352,39.261009,0.2725110000000015,0.6941008571634047,0.006917030661616556,316.0,3,Adv-ALSTM,stocknet,0.75,var,0.021516330540180206,0.5,1.0,1,1,1,0.006917030661616556,0.006917030661616556,0.2725110000000015,0.2725110000000015
484,UN.csv,2015-10-12,1.443448,1.0,40.28529,39.712067,0.5732230000000058,1.4434479071562956,0.014331293744210577,386.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.014331293744210577,-0.014331293744210577,-0.5732230000000058,-0.5732230000000058
658,UN.csv,2015-10-15,4.754122,1.0,42.239883,40.322884,1.916998999999997,4.754121753791214,0.04644572052490479,484.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.04644572052490479,-0.04644572052490479,-1.916998999999997,-1.916998999999997
714,UN.csv,2015-10-16,0.823134,1.0,42.587574,42.239883,0.34769099999999753,0.8231343822614223,0.008197651076829808,658.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.008197651076829808,-0.008197651076829808,-0.34769099999999753,-0.34769099999999753
917,UN.csv,2015-10-22,1.499124,1.0,43.264168,42.625164,0.6390039999999999,1.4991238508783213,0.014879980445443544,714.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.014879980445443544,-0.014879980445443544,-0.6390039999999999,-0.6390039999999999
1039,UN.csv,2015-10-26,-0.61067,0.0,42.822506,43.085617,-0.2631110000000021,-0.6106701454455256,-0.006125423615127485,917.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.006125423615127485,0.006125423615127485,0.2631110000000021,0.2631110000000021
1090,UN.csv,2015-10-27,-0.57056,0.0,42.578178,42.822506,-0.24432799999999588,-0.570559789284625,-0.005721936995711271,1039.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.005721936995711271,0.005721936995711271,0.24432799999999588,0.24432799999999588
1265,UN.csv,2015-10-30,-0.990522,0.0,42.591438,43.017536,-0.4260980000000032,-0.9905216328522471,-0.009954599354085826,1090.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.009954599354085826,0.009954599354085826,0.4260980000000032,0.4260980000000032
1323,UN.csv,2015-11-02,0.933732,1.0,42.989128,42.591438,0.3976900000000043,0.9337322679736814,0.009293999356088378,1265.0,3,Adv-ALSTM,stocknet,0.75,var,0.0360940620303154,0.5,0.0,-1,-1,1,-0.009293999356088378,-0.009293999356088378,-0.3976900000000043,-0.3976900000000043
1517,UN.csv,2015-11-06,-1.898463,0.0,42.080101,42.894436,-0.8143349999999998,-1.8984630081160172,-0.01916715193620697,1323.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.01916715193620697,0.01916715193620697,0.8143349999999998,0.8143349999999998
1584,UN.csv,2015-11-09,-1.282606,0.0,41.540379,42.080101,-0.5397219999999976,-1.2826062370905373,-0.0129090264741848,1517.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.0129090264741848,0.0129090264741848,0.5397219999999976,0.5397219999999976
1683,UN.csv,2015-11-11,1.208394,1.0,42.032764,41.530907,0.5018570000000011,1.2083940280909375,0.012011512367142438,1584.0,3,Adv-ALSTM,stocknet,0.75,var,0.003984044771641493,0.5,0.0,-1,-1,1,-0.012011512367142438,-0.012011512367142438,-0.5018570000000011,-0.5018570000000011
1755,UN.csv,2015-11-12,-1.667038,0.0,41.332062,42.032764,-0.7007019999999997,-1.6670376471078603,-0.01681089100595064,1683.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.01681089100595064,0.01681089100595064,0.7007019999999997,0.7007019999999997
1820,UN.csv,2015-11-13,-2.245134,0.0,40.404102,41.332062,-0.9279599999999988,-2.245133572092287,-0.02270720393309632,1755.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.02270720393309632,0.02270720393309632,0.9279599999999988,0.9279599999999988
1894,UN.csv,2015-11-16,1.523318,1.0,41.019585,40.404102,0.6154829999999976,1.5233181027015463,0.0151183211106917,1820.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.0151183211106917,-0.0151183211106917,-0.6154829999999976,-0.6154829999999976
1949,UN.csv,2015-11-17,0.554028,1.0,41.246845,41.019585,0.22726000000000113,0.5540280331943903,0.005524989430122584,1894.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.005524989430122584,-0.005524989430122584,-0.22726000000000113,-0.22726000000000113
2024,UN.csv,2015-11-18,1.033034,1.0,41.672939,41.246845,0.4260939999999991,1.0330341629765842,0.010277348297694689,1949.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.010277348297694689,-0.010277348297694689,-0.4260939999999991,-0.4260939999999991
2078,UN.csv,2015-11-19,0.84073,1.0,42.023296,41.672939,0.35035700000000247,0.8407302398326224,0.008372157874553062,2024.0,3,Adv-ALSTM,stocknet,0.75,var,0.11124225705862045,0.5,0.0,-1,-1,1,-0.008372157874553062,-0.008372157874553062,-0.35035700000000247,-0.35035700000000247
2178,UN.csv,2015-11-23,-0.672966,0.0,41.928604,42.212681,-0.28407700000000347,-0.6729660217506759,-0.006752406488045938,2078.0,3,Adv-ALSTM,stocknet,0.75,var,0.010389949195086956,0.5,0.0,-1,-1,1,0.006752406488045938,0.006752406488045938,0.28407700000000347,0.28407700000000347
2224,UN.csv,2015-11-24,-0.700097,0.0,41.635063,41.928604,-0.2935409999999976,-0.7000972414917453,-0.007025594207250071,2178.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,1.0,1,1,1,-0.007025594207250071,-0.007025594207250071,-0.2935409999999976,-0.2935409999999976
2265,UN.csv,2015-11-25,1.387335,1.0,42.212681,41.635063,0.5776180000000011,1.3873354773115176,0.013778000695295934,2224.0,3,Adv-ALSTM,stocknet,0.75,var,0.20049147307872772,0.5,1.0,1,1,1,0.013778000695295934,0.013778000695295934,0.5776180000000011,0.5776180000000011
