ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
118,UPS.csv,2015-10-02,0.81154,1.0,93.627548,92.87384,0.7537080000000032,0.8115396111542316,0.008082643366198137,,5,Adv-ALSTM,stocknet,0.75,var,0.002991023939102888,0.5,0.0,-1,-1,1,-0.008082643366198137,-0.008082643366198137,-0.7537080000000032,-0.7537080000000032
199,UPS.csv,2015-10-05,2.163413,1.0,95.653099,93.627548,2.025550999999993,2.1634134859539342,0.021403438313791934,118.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.021403438313791934,-0.021403438313791934,-2.025550999999993,-2.025550999999993
317,UPS.csv,2015-10-07,0.798581,1.0,96.321999,95.558884,0.7631149999999991,0.7985809043144529,0.00795409121986257,199.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.00795409121986257,-0.00795409121986257,-0.7631149999999991,-0.7631149999999991
387,UPS.csv,2015-10-08,1.115023,1.0,97.396011,96.321999,1.0740119999999962,1.1150225401779672,0.011088519901659004,317.0,5,Adv-ALSTM,stocknet,0.75,var,0.09751138091087341,0.5,1.0,1,1,1,0.011088519901659004,0.011088519901659004,1.0740119999999962,1.0740119999999962
486,UPS.csv,2015-10-12,0.704097,1.0,98.366402,97.67865,0.687751999999989,0.7040965451508482,0.007016293595690088,387.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.007016293595690088,-0.007016293595690088,-0.687751999999989,-0.687751999999989
532,UPS.csv,2015-10-13,-1.063128,0.0,97.320641,98.366402,-1.0457609999999988,-1.063128241693743,-0.010688198251480893,486.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,0.010688198251480893,0.010688198251480893,1.0457609999999988,1.0457609999999988
660,UPS.csv,2015-10-15,0.913863,1.0,97.791702,96.906113,0.885588999999996,0.913862884996735,0.009097124253107085,532.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.009097124253107085,-0.009097124253107085,-0.885588999999996,-0.885588999999996
841,UPS.csv,2015-10-21,0.669468,1.0,99.167191,98.507713,0.6594780000000071,0.669468389749346,0.0066723740176262095,660.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.0066723740176262095,-0.0066723740176262095,-0.6594780000000071,-0.6594780000000071
919,UPS.csv,2015-10-22,1.111544,1.0,100.269478,99.167191,1.102287000000004,1.1115440387940443,0.011054117879777293,841.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.5,0.0,-1,-1,1,-0.011054117879777293,-0.011054117879777293,-1.102287000000004,-1.102287000000004
1040,UPS.csv,2015-10-26,-0.580541,0.0,100.033936,100.618065,-0.5841290000000043,-0.5805408800099707,-0.005822325690517416,919.0,5,Adv-ALSTM,stocknet,0.75,var,0.021516328677535057,0.5,0.0,-1,-1,1,0.005822325690517416,0.005822325690517416,0.5841290000000043,0.5841290000000043
1092,UPS.csv,2015-10-27,-2.900735,0.0,97.132217,100.033936,-2.901719,-2.900734606703869,-0.02943637618496976,1040.0,5,Adv-ALSTM,stocknet,0.75,var,0.09199550747871399,0.5,0.0,-1,-1,1,0.02943637618496976,0.02943637618496976,2.901719,2.901719
1206,UPS.csv,2015-10-29,0.818494,1.0,97.480812,96.689415,0.7913970000000035,0.8184939375214997,0.008151624422716561,1092.0,5,Adv-ALSTM,stocknet,0.75,var,0.13062778115272522,0.5,0.0,-1,0,1,0.0,-0.008151624422716561,0.0,-0.7913970000000035
