ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
195,TSM.csv,2015-10-05,3.082857,1.0,19.974995,19.377611,0.5973839999999981,3.0828568083031396,0.030362913889169504,,3,Adv-ALSTM,stocknet,0.75,var,0.2101995348930359,0.6,0.0,-1,-1,1,-0.030362913889169504,-0.030362913889169504,-0.5973839999999981,-0.5973839999999981
257,TSM.csv,2015-10-06,-0.794403,0.0,19.816313,19.974995,-0.15868199999999888,-0.7944032026040502,-0.00797575396018656,195.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.6,0.0,-1,-1,1,0.00797575396018656,0.00797575396018656,0.15868199999999888,0.15868199999999888
315,TSM.csv,2015-10-07,3.297228,1.0,20.469702,19.816313,0.6533890000000007,3.2972278950176084,0.0324403542984072,257.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.6,0.0,-1,-1,1,-0.0324403542984072,-0.0324403542984072,-0.6533890000000007,-0.6533890000000007
384,TSM.csv,2015-10-08,1.459186,1.0,20.768393,20.469702,0.29869099999999804,1.4591858738344017,0.014486422008604196,315.0,3,Adv-ALSTM,stocknet,0.75,var,0.23348753154277802,0.6,1.0,1,1,1,0.014486422008604196,0.014486422008604196,0.29869099999999804,0.29869099999999804
436,TSM.csv,2015-10-09,-1.348308,0.0,20.488371,20.768393,-0.2800219999999989,-1.3483084608423912,-0.01357480679209281,384.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.6,0.0,-1,-1,1,0.01357480679209281,0.01357480679209281,0.2800219999999989,0.2800219999999989
482,TSM.csv,2015-10-12,0.637806,1.0,20.619047,20.488371,0.13067599999999757,0.6378057093948444,0.006357803361823591,436.0,3,Adv-ALSTM,stocknet,0.75,var,0.015259817242622375,0.6,0.0,-1,-1,1,-0.006357803361823591,-0.006357803361823591,-0.13067599999999757,-0.13067599999999757
530,TSM.csv,2015-10-13,-0.679037,0.0,20.479036,20.619047,-0.14001099999999767,-0.6790372028348239,-0.006813531505006448,482.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.6,0.0,-1,-1,1,0.006813531505006448,0.006813531505006448,0.14001099999999767,0.14001099999999767
584,TSM.csv,2015-10-14,1.823152,1.0,20.8524,20.479036,0.3733639999999987,1.8231522225948462,0.018067320783106706,530.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.6,0.0,-1,-1,1,-0.018067320783106706,-0.018067320783106706,-0.3733639999999987,-0.3733639999999987
656,TSM.csv,2015-10-15,-1.745741,0.0,20.488371,20.8524,-0.3640289999999986,-1.7457414973815897,-0.017611592639923915,584.0,3,Adv-ALSTM,stocknet,0.75,var,0.0004997487994842231,0.6,0.0,-1,-1,1,0.017611592639923915,0.017611592639923915,0.3640289999999986,0.3640289999999986
712,TSM.csv,2015-10-16,0.956709,1.0,20.684385,20.488371,0.19601399999999813,0.9567085640922752,0.00952161088760104,656.0,3,Adv-ALSTM,stocknet,0.75,var,0.003487796988338232,0.6,1.0,1,1,1,0.00952161088760104,0.00952161088760104,0.19601399999999813,0.19601399999999813
915,TSM.csv,2015-10-22,1.30513,1.0,21.01108,20.740391,0.27068900000000085,1.3051296863207682,0.012966862546360614,712.0,3,Adv-ALSTM,stocknet,0.75,var,0.10824977606534958,0.6,1.0,1,1,1,0.012966862546360614,0.012966862546360614,0.27068900000000085,0.27068900000000085
