ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
136,BRK-A.csv,2015-10-05,1.565729,1.0,198561.0,195500.0,3061.0,1.5657289002557546,0.015535978279274401,,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.7,1.0,1,1,1,0.015535978279274401,0.015535978279274401,3061.0,3061.0
214,BRK-A.csv,2015-10-06,-0.927171,0.0,196720.0,198561.0,-1841.0,-0.9271709953112646,-0.009314959796757822,136.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.7,1.0,1,1,1,-0.009314959796757822,-0.009314959796757822,-1841.0,-1841.0
272,BRK-A.csv,2015-10-07,1.159008,1.0,199000.0,196720.0,2280.0,1.159007726718178,0.011523426816555242,214.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.7,1.0,1,1,1,0.011523426816555242,0.011523426816555242,2280.0,2280.0
334,BRK-A.csv,2015-10-08,0.81206,1.0,200616.0,199000.0,1616.0,0.8120603015075377,0.008087808340472253,272.0,3,Adv-ALSTM,stocknet,0.75,var,0.029100215062499046,0.7,1.0,1,1,1,0.008087808340472253,0.008087808340472253,1616.0,1616.0
497,BRK-A.csv,2015-10-13,-0.711,0.0,198578.0,200000.0,-1422.0,-0.711,-0.007135396501011258,334.0,3,Adv-ALSTM,stocknet,0.75,var,0.00199604919180274,0.7,0.0,-1,-1,1,0.007135396501011258,0.007135396501011258,1422.0,1422.0
544,BRK-A.csv,2015-10-14,-0.845512,0.0,196899.0,198578.0,-1679.0,-0.8455115873863167,-0.00849106313500477,497.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.7,0.0,-1,-1,1,0.00849106313500477,0.00849106313500477,1679.0,1679.0
603,BRK-A.csv,2015-10-15,1.828349,1.0,200499.0,196899.0,3600.0,1.8283485441774716,0.018118352290993546,544.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.7,0.0,-1,-1,1,-0.018118352290993546,-0.018118352290993546,-3600.0,-3600.0
808,BRK-A.csv,2015-10-21,-0.784197,0.0,199900.0,201480.0,-1580.0,-0.7841969426245781,-0.007872879371095423,603.0,3,Adv-ALSTM,stocknet,0.75,var,0.08516329526901245,0.7,1.0,1,1,1,-0.007872879371095423,-0.007872879371095423,-1580.0,-1580.0
859,BRK-A.csv,2015-10-22,3.061531,1.0,206020.0,199900.0,6120.0,3.0615307653826913,0.03015600994919296,808.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.7,0.0,-1,-1,1,-0.03015600994919296,-0.03015600994919296,-6120.0,-6120.0
1003,BRK-A.csv,2015-10-26,-0.582814,0.0,205380.0,206584.0,-1204.0,-0.5828137706695581,-0.005845187579538814,859.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.7,0.0,-1,-1,1,0.005845187579538814,0.005845187579538814,1204.0,1204.0
