ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
18,CSCO.csv,2015-10-01,-1.190467,0.0,24.214939,24.506683,-0.2917439999999978,-1.1904671064623384,-0.011976099112121852,,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,-0.011976099112121852,-0.011976099112121852,-0.2917439999999978,-0.2917439999999978
145,CSCO.csv,2015-10-05,4.231369,1.0,25.26899,24.243172,1.0258179999999975,4.231368733431406,0.041442941533690165,18.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,0.041442941533690165,0.041442941533690165,1.0258179999999975,1.0258179999999975
223,CSCO.csv,2015-10-06,1.415268,1.0,25.626614,25.26899,0.3576240000000013,1.4152682794207496,0.014053468581491157,145.0,5,Adv-ALSTM,stocknet,0.75,var,0.2429467886686325,0.8,1.0,1,0,1,0.0,0.014053468581491157,0.0,0.3576240000000013
280,CSCO.csv,2015-10-07,1.138449,1.0,25.91836,25.626614,0.29174599999999984,1.138449269965981,0.011320177036472185,223.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,0.0,-1,-1,1,-0.011320177036472185,-0.011320177036472185,-0.29174599999999984,-0.29174599999999984
342,CSCO.csv,2015-10-08,1.343492,1.0,26.266571,25.91836,0.34821099999999916,1.3434916406747925,0.013345468179708263,280.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,0.0,-1,-1,1,-0.013345468179708263,-0.013345468179708263,-0.34821099999999916,-0.34821099999999916
610,CSCO.csv,2015-10-15,1.186202,1.0,26.492441,26.181871,0.31056999999999846,1.186202468112376,0.011792222322332346,342.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,0.0,-1,-1,1,-0.011792222322332346,-0.011792222322332346,-0.31056999999999846,-0.31056999999999846
772,CSCO.csv,2015-10-20,0.884955,1.0,26.821831,26.586552,0.23527899999999846,0.8849549200663495,0.00881062143368973,610.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,0.0,-1,-1,1,-0.00881062143368973,-0.00881062143368973,-0.23527899999999846,-0.23527899999999846
817,CSCO.csv,2015-10-21,-0.77192,0.0,26.614788,26.821831,-0.20704299999999876,-0.771919709731967,-0.007749144311075796,772.0,5,Adv-ALSTM,stocknet,0.75,var,0.06466908007860184,0.8,0.0,-1,0,1,-0.0,0.007749144311075796,-0.0,0.20704299999999876
868,CSCO.csv,2015-10-22,2.581324,1.0,27.301802,26.614788,0.6870139999999978,2.581324337432249,0.02548570617856368,817.0,5,Adv-ALSTM,stocknet,0.75,var,0.2357187420129776,0.8,1.0,1,0,1,0.0,0.02548570617856368,0.0,0.6870139999999978
945,CSCO.csv,2015-10-23,1.172003,1.0,27.62178,27.301802,0.31997800000000254,1.1720032252816226,0.01165188461963905,868.0,5,Adv-ALSTM,stocknet,0.75,var,0.21849308907985687,0.8,0.0,-1,0,1,0.0,-0.01165188461963905,0.0,-0.31997800000000254
1011,CSCO.csv,2015-10-26,-1.362856,0.0,27.245335,27.62178,-0.37644500000000036,-1.3628556885182648,-0.013722278164606179,945.0,5,Adv-ALSTM,stocknet,0.75,var,0.24927133321762085,0.8,1.0,1,0,1,-0.0,-0.013722278164606179,-0.0,-0.37644500000000036
1115,CSCO.csv,2015-10-28,1.067125,1.0,27.631191,27.339445,0.29174599999999984,1.0671248081297913,0.010614712163711381,1011.0,5,Adv-ALSTM,stocknet,0.75,var,0.06724406033754349,0.8,1.0,1,0,1,0.0,0.010614712163711381,0.0,0.29174599999999984
1176,CSCO.csv,2015-10-29,-0.749313,0.0,27.424147,27.631191,-0.20704399999999978,-0.7493126155872173,-0.007521340657240387,1115.0,5,Adv-ALSTM,stocknet,0.75,var,0.24652017652988434,0.8,1.0,1,0,1,-0.0,-0.007521340657240387,-0.0,-0.20704399999999978
1229,CSCO.csv,2015-10-30,-0.995207,0.0,27.15122,27.424147,-0.2729270000000028,-0.9952068882944757,-0.010001921755730012,1176.0,5,Adv-ALSTM,stocknet,0.75,var,0.20004373788833618,0.8,1.0,1,0,1,-0.0,-0.010001921755730012,-0.0,-0.2729270000000028
1348,CSCO.csv,2015-11-03,-0.556143,0.0,26.925352,27.075933,-0.15058099999999897,-0.5561433469347076,-0.00557695581822272,1229.0,5,Adv-ALSTM,stocknet,0.75,var,0.22854256629943848,0.8,0.0,-1,0,1,-0.0,0.00557695581822272,-0.0,0.15058099999999897
1543,CSCO.csv,2015-11-09,-0.949035,0.0,26.520674,26.774776,-0.2541019999999996,-0.9490350171370234,-0.009535670509736461,1348.0,5,Adv-ALSTM,stocknet,0.75,var,0.010389873757958412,0.8,0.0,-1,-1,1,0.009535670509736461,0.009535670509736461,0.2541019999999996,0.2541019999999996
1602,CSCO.csv,2015-11-10,-0.709729,0.0,26.332449,26.520674,-0.1882249999999992,-0.7097293228671308,-0.007122598819475274,1543.0,5,Adv-ALSTM,stocknet,0.75,var,0.06766929477453232,0.8,0.0,-1,0,1,-0.0,0.007122598819475274,-0.0,0.1882249999999992
1651,CSCO.csv,2015-11-11,-0.571834,0.0,26.181871,26.332449,-0.15057799999999943,-0.5718343933752589,-0.005734756259881804,1602.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,-0.005734756259881804,-0.005734756259881804,-0.15057799999999943,-0.15057799999999943
1782,CSCO.csv,2015-11-13,-5.821052,0.0,24.666672,26.19128,-1.5246080000000006,-5.821051892080114,-0.059973510188975385,1651.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,-0.059973510188975385,-0.059973510188975385,-1.5246080000000006,-1.5246080000000006
1846,CSCO.csv,2015-11-16,2.212901,1.0,25.212521,24.666672,0.5458490000000005,2.2129008728863,0.021887715447908913,1782.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,0.021887715447908913,0.021887715447908913,0.5458490000000005,0.5458490000000005
1975,CSCO.csv,2015-11-18,1.1563,1.0,25.52309,25.23134,0.2917500000000004,1.1563000617486048,0.011496660033563588,1846.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,0.011496660033563588,0.011496660033563588,0.2917500000000004,0.2917500000000004
2044,CSCO.csv,2015-11-19,0.921828,1.0,25.758369,25.52309,0.23527899999999846,0.9218280388463876,0.009176051362750993,1975.0,5,Adv-ALSTM,stocknet,0.75,var,0.043883584439754486,0.8,1.0,1,1,1,0.009176051362750993,0.009176051362750993,0.23527899999999846,0.23527899999999846
2093,CSCO.csv,2015-11-20,0.730726,1.0,25.946592,25.758369,0.1882230000000007,0.7307256138771857,0.007280687493389142,2044.0,5,Adv-ALSTM,stocknet,0.75,var,0.06552812457084656,0.8,0.0,-1,0,1,0.0,-0.007280687493389142,0.0,-0.1882230000000007
2141,CSCO.csv,2015-11-23,-0.507801,0.0,25.814835,25.946592,-0.13175700000000035,-0.5078007932602492,-0.0050909448292434205,2093.0,5,Adv-ALSTM,stocknet,0.75,var,0.05152905732393265,0.8,0.0,-1,0,1,-0.0,0.0050909448292434205,-0.0,0.13175700000000035
2193,CSCO.csv,2015-11-24,-0.583293,0.0,25.664259,25.814835,-0.15057599999999738,-0.5832925137813098,-0.005850003087627585,2141.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,-0.005850003087627585,-0.005850003087627585,-0.15057599999999738,-0.15057599999999738
2368,CSCO.csv,2015-12-01,1.17431,1.0,25.946592,25.645435,0.3011569999999999,1.1743103597189906,0.011674688439452803,2193.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,0.0,-1,-1,1,-0.011674688439452803,-0.011674688439452803,-0.3011569999999999,-0.3011569999999999
2499,CSCO.csv,2015-12-03,-1.785698,0.0,25.363102,25.824245,-0.46114299999999986,-1.7856978974603124,-0.01801833864046998,2368.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,0.0,-1,-1,1,0.01801833864046998,0.01801833864046998,0.46114299999999986,0.46114299999999986
2574,CSCO.csv,2015-12-04,1.966593,1.0,25.861891,25.363102,0.4987889999999986,1.9665930452828624,0.01947505448617109,2499.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,0.0,-1,-1,1,-0.01947505448617109,-0.01947505448617109,-0.4987889999999986,-0.4987889999999986
2701,CSCO.csv,2015-12-08,-1.236818,0.0,25.551323,25.871304,-0.3199809999999985,-1.2368182137243586,-0.012445304672084956,2574.0,5,Adv-ALSTM,stocknet,0.75,var,0.015743674710392952,0.8,0.0,-1,-1,1,0.012445304672084956,0.012445304672084956,0.3199809999999985,0.3199809999999985
2763,CSCO.csv,2015-12-09,-1.546969,0.0,25.156052,25.551323,-0.39527100000000104,-1.5469688203620653,-0.015590592350642318,2701.0,5,Adv-ALSTM,stocknet,0.75,var,0.0731782391667366,0.8,1.0,1,0,1,-0.0,-0.015590592350642318,-0.0,-0.39527100000000104
