ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
40,RDS-B.csv,2015-10-01,2.0219,1.0,42.03783,41.204712,0.8331179999999989,2.021899825437438,0.020017308421493043,,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,0.020017308421493043,0.020017308421493043,0.8331179999999989,0.8331179999999989
106,RDS-B.csv,2015-10-02,3.550783,1.0,43.530502,42.03783,1.4926719999999989,3.550782711667084,0.03489196060491591,40.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,0.03489196060491591,0.03489196060491591,1.4926719999999989,1.4926719999999989
184,RDS-B.csv,2015-10-05,3.708154,1.0,45.14468,43.530502,1.6141780000000026,3.7081538825350617,0.03641055568889352,106.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,0.03641055568889352,0.03641055568889352,1.6141780000000026,1.6141780000000026
247,RDS-B.csv,2015-10-06,3.786991,1.0,46.854305,45.14468,1.7096249999999955,3.786991069601103,0.03717045000717123,184.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,0.03717045000717123,0.03717045000717123,1.7096249999999955,1.7096249999999955
307,RDS-B.csv,2015-10-07,3.426554,1.0,48.459793,46.854305,1.6054880000000011,3.4265538673554143,0.03369155034471435,247.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,0.03369155034471435,0.03369155034471435,1.6054880000000011,1.6054880000000011
374,RDS-B.csv,2015-10-08,1.540126,1.0,49.206135,48.459793,0.7463420000000056,1.5401262650874419,0.01528386703134336,307.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,1.0,1,1,1,0.01528386703134336,0.01528386703134336,0.7463420000000056,0.7463420000000056
431,RDS-B.csv,2015-10-09,-1.428574,0.0,48.503189,49.206135,-0.7029460000000043,-1.4285738963241155,-0.014388762487272097,374.0,3,Adv-ALSTM,stocknet,0.75,var,0.004974914249032736,0.8,1.0,1,1,1,-0.014388762487272097,-0.014388762487272097,-0.7029460000000043,-0.7029460000000043
525,RDS-B.csv,2015-10-13,-1.903736,0.0,47.401039,48.320942,-0.919903000000005,-1.9037356515111088,-0.01922090017762804,431.0,3,Adv-ALSTM,stocknet,0.75,var,0.10824880003929138,0.8,1.0,1,1,1,-0.01922090017762804,-0.01922090017762804,-0.919903000000005,-0.919903000000005
577,RDS-B.csv,2015-10-14,1.977307,1.0,48.338303,47.401039,0.9372640000000061,1.977306868737637,0.01958012086441667,525.0,3,Adv-ALSTM,stocknet,0.75,var,0.011367693543434143,0.8,0.0,-1,-1,1,-0.01958012086441667,-0.01958012086441667,-0.9372640000000061,-0.9372640000000061
646,RDS-B.csv,2015-10-15,1.903044,1.0,49.258202,48.338303,0.9198989999999938,1.903043638085503,0.018851622666803635,577.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.8,0.0,-1,-1,1,-0.018851622666803635,-0.018851622666803635,-0.9198989999999938,-0.9198989999999938
