ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
5,AMGN.csv,2015-10-01,1.380858,1.0,133.142044,131.328583,1.8134609999999896,1.380857813717513,0.013714108390580144,,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,0.013714108390580144,0.013714108390580144,1.8134609999999896,1.8134609999999896
54,AMGN.csv,2015-10-02,1.59738,1.0,135.268829,133.142044,2.1267850000000124,1.5973804638300524,0.015847565987588654,5.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,0.015847565987588654,0.015847565987588654,2.1267850000000124,2.1267850000000124
127,AMGN.csv,2015-10-05,0.933539,1.0,136.531616,135.268829,1.262787000000003,0.9335387977669289,0.00929208255000342,54.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,0.00929208255000342,0.00929208255000342,1.262787000000003,1.262787000000003
209,AMGN.csv,2015-10-06,-1.794174,0.0,134.082001,136.531616,-2.4496150000000227,-1.7941741786752328,-0.018104646304656687,127.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,-0.018104646304656687,-0.018104646304656687,-2.4496150000000227,-2.4496150000000227
265,AMGN.csv,2015-10-07,4.836422,1.0,140.566772,134.082001,6.484770999999995,4.836421705848495,0.047231060883574864,209.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,0.047231060883574864,0.047231060883574864,6.484770999999995,6.484770999999995
327,AMGN.csv,2015-10-08,1.249585,1.0,142.323273,140.566772,1.7565010000000143,1.2495847880749618,0.01241841913162963,265.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,0.01241841913162963,0.01241841913162963,1.7565010000000143,1.7565010000000143
444,AMGN.csv,2015-10-12,2.299611,1.0,145.295074,142.028961,3.26611299999999,2.299610570269531,0.022735680220010414,327.0,5,Adv-ALSTM,stocknet,0.75,var,0.05063701421022415,0.9,0.0,-1,0,1,0.0,-0.022735680220010414,0.0,-3.26611299999999
491,AMGN.csv,2015-10-13,-3.561394,0.0,140.120544,145.295074,-5.174530000000004,-3.5613939671485384,-0.03626358702210372,444.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,0.03626358702210372,0.03626358702210372,5.174530000000004,5.174530000000004
596,AMGN.csv,2015-10-15,3.200054,1.0,144.829834,140.338913,4.490921000000014,3.2000540007032936,0.031499190321862866,491.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.031499190321862866,-0.031499190321862866,-4.490921000000014,-4.490921000000014
722,AMGN.csv,2015-10-19,1.218765,1.0,146.662262,144.896317,1.7659449999999879,1.2187645873704214,0.012113974500775955,596.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.012113974500775955,-0.012113974500775955,-1.7659449999999879,-1.7659449999999879
