ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
19,CVX.csv,2015-10-01,-0.684577,0.0,71.931335,72.427155,-0.4958199999999948,-0.6845774903073231,-0.006869314713761311,,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,0.006869314713761311,0.006869314713761311,0.4958199999999948,0.4958199999999948
70,CVX.csv,2015-10-02,4.097523,1.0,74.878738,71.931335,2.947402999999994,4.097523005794337,0.04015799497696829,19.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.04015799497696829,-0.04015799497696829,-2.947402999999994,-2.947402999999994
146,CVX.csv,2015-10-05,3.041092,1.0,77.155869,74.878738,2.277130999999997,3.0410915846364786,0.029957670106835154,70.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.029957670106835154,-0.029957670106835154,-2.277130999999997,-2.277130999999997
224,CVX.csv,2015-10-06,3.522543,1.0,79.873718,77.155869,2.717849000000001,3.5225434373631397,0.034619213988978596,146.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.034619213988978596,-0.034619213988978596,-2.717849000000001,-2.717849000000001
281,CVX.csv,2015-10-07,1.299009,1.0,80.911285,79.873718,1.03756700000001,1.2990092686057382,0.012906445047009704,224.0,5,Adv-ALSTM,stocknet,0.75,var,0.0019960247445851564,0.9,0.0,-1,-1,1,-0.012906445047009704,-0.012906445047009704,-1.03756700000001,-1.03756700000001
343,CVX.csv,2015-10-08,2.031324,1.0,82.554855,80.911285,1.6435699999999969,2.0313235662985663,0.020109673939774846,281.0,5,Adv-ALSTM,stocknet,0.75,var,0.007935904897749424,0.9,1.0,1,1,1,0.020109673939774846,0.020109673939774846,1.6435699999999969,1.6435699999999969
455,CVX.csv,2015-10-12,-0.926649,0.0,81.48056,82.242661,-0.7621010000000012,-0.9266492483748808,-0.009309693513683064,343.0,5,Adv-ALSTM,stocknet,0.75,var,0.057279445230960846,0.9,0.0,-1,0,1,-0.0,0.009309693513683064,-0.0,0.7621010000000012
552,CVX.csv,2015-10-14,1.561427,1.0,82.417107,81.150009,1.2670980000000043,1.5614268138898226,0.015493619724590325,455.0,5,Adv-ALSTM,stocknet,0.75,var,0.1986953169107437,0.9,0.0,-1,0,1,0.0,-0.015493619724590325,0.0,-1.2670980000000043
611,CVX.csv,2015-10-15,1.069532,1.0,83.298584,82.417107,0.8814770000000038,1.0695315961527305,0.010638525637881511,552.0,5,Adv-ALSTM,stocknet,0.75,var,0.0004997411160729825,0.9,0.0,-1,-1,1,-0.010638525637881511,-0.010638525637881511,-0.8814770000000038,-0.8814770000000038
679,CVX.csv,2015-10-16,0.628323,1.0,83.821968,83.298584,0.523383999999993,0.6283228055833373,0.006263570875826127,611.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.006263570875826127,-0.006263570875826127,-0.523383999999993,-0.523383999999993
