ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
122,XOM.csv,2015-10-02,2.457461,1.0,70.641235,68.946892,1.6943429999999893,2.4574610266696126,0.02427751207411689,,3,Adv-ALSTM,stocknet,0.75,var,0.02768796682357788,0.9,0.0,-1,-1,1,-0.02427751207411689,-0.02427751207411689,-1.6943429999999893,-1.6943429999999893
205,XOM.csv,2015-10-05,1.225618,1.0,71.507027,70.641235,0.865791999999999,1.2256184365972638,0.012181685435770244,122.0,3,Adv-ALSTM,stocknet,0.75,var,0.010389969684183598,0.9,1.0,1,1,1,0.012181685435770244,0.012181685435770244,0.865791999999999,0.865791999999999
260,XOM.csv,2015-10-06,1.40607,1.0,72.512466,71.507027,1.0054390000000097,1.4060702034221193,0.013962767316291452,205.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.013962767316291452,-0.013962767316291452,-1.0054390000000097,-1.0054390000000097
322,XOM.csv,2015-10-07,1.681852,1.0,73.732018,72.512466,1.219551999999993,1.681851503988284,0.0166786498538797,260.0,3,Adv-ALSTM,stocknet,0.75,var,0.01767616719007492,0.9,0.0,-1,-1,1,-0.0166786498538797,-0.0166786498538797,-1.219551999999993,-1.219551999999993
393,XOM.csv,2015-10-08,1.047991,1.0,74.504723,73.732018,0.772705000000002,1.0479911183225747,0.010425377587950738,322.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,1.0,1,1,1,0.010425377587950738,0.010425377587950738,0.772705000000002,0.772705000000002
441,XOM.csv,2015-10-09,-0.962144,0.0,73.78788,74.504723,-0.7168429999999972,-0.9621443730486687,-0.00966802887191385,393.0,3,Adv-ALSTM,stocknet,0.75,var,0.24162834882736206,0.9,0.0,-1,0,1,-0.0,0.00966802887191385,-0.0,0.7168429999999972
591,XOM.csv,2015-10-14,1.263247,1.0,74.625748,73.694801,0.9309470000000033,1.2632465077149788,0.012553341146924604,441.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.012553341146924604,-0.012553341146924604,-0.9309470000000033,-0.9309470000000033
666,XOM.csv,2015-10-15,1.646705,1.0,75.854614,74.625748,1.2288659999999965,1.6467051023729722,0.016332939418002335,591.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,-0.016332939418002335,-0.016332939418002335,-1.2288659999999965,-1.2288659999999965
717,XOM.csv,2015-10-16,1.227298,1.0,76.785576,75.854614,0.9309620000000081,1.2272977883718557,0.012198275483529987,666.0,3,Adv-ALSTM,stocknet,0.75,var,0.10407845675945282,0.9,1.0,1,0,1,0.0,0.012198275483529987,0.0,0.9309620000000081
759,XOM.csv,2015-10-19,-1.806509,0.0,75.398438,76.785576,-1.3871380000000073,-1.806508555721464,-0.018230251395694414,717.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,0.018230251395694414,0.018230251395694414,1.3871380000000073,1.3871380000000073
845,XOM.csv,2015-10-21,-0.76703,0.0,74.672295,75.249481,-0.5771859999999975,-0.7670298749302968,-0.0076998667849069455,759.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0.9,0.0,-1,-1,1,0.0076998667849069455,0.0076998667849069455,0.5771859999999975,0.5771859999999975
924,XOM.csv,2015-10-22,3.341228,1.0,77.167267,74.672295,2.49497199999999,3.341228497128674,0.03286622471521467,845.0,3,Adv-ALSTM,stocknet,0.75,var,0.06724396347999573,0.9,0.0,-1,-1,1,-0.03286622471521467,-0.03286622471521467,-2.49497199999999,-2.49497199999999
1043,XOM.csv,2015-10-26,-2.120972,0.0,75.612572,77.251045,-1.6384730000000047,-2.1209719557839053,-0.021437877538362286,924.0,3,Adv-ALSTM,stocknet,0.75,var,0.02532345987856388,0.9,0.0,-1,-1,1,0.021437877538362286,0.021437877538362286,1.6384730000000047,1.6384730000000047
1158,XOM.csv,2015-10-28,1.467505,1.0,76.599373,75.491531,1.107842000000005,1.4675050105951688,0.014568413556676676,1043.0,3,Adv-ALSTM,stocknet,0.75,var,0.2457095831632614,0.9,1.0,1,0,1,0.0,0.014568413556676676,0.0,1.107842000000005
