ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
2,ABBV.csv,2015-10-01,1.323302,1.0,51.095181,50.427868,0.667313,1.3233020281563364,0.013146228706682004,,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.013146228706682004,0.013146228706682004,0.667313,0.667313
52,ABBV.csv,2015-10-02,1.251576,1.0,51.734676,51.095181,0.6394950000000037,1.2515759558616766,0.012438084873588523,2.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.012438084873588523,0.012438084873588523,0.6394950000000037,0.6394950000000037
124,ABBV.csv,2015-10-05,1.54068,1.0,52.531742,51.734676,0.7970660000000009,1.540680374609867,0.015289324066221166,52.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.015289324066221166,0.015289324066221166,0.7970660000000009,0.7970660000000009
206,ABBV.csv,2015-10-06,-2.822869,0.0,51.04884,52.531742,-1.4829020000000028,-2.8228685049127114,-0.028634774886944925,124.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,-0.028634774886944925,-0.028634774886944925,-1.4829020000000028,-1.4829020000000028
262,ABBV.csv,2015-10-07,0.998546,1.0,51.558586,51.04884,0.5097459999999998,0.9985457064254543,0.009935931803219663,206.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.009935931803219663,0.009935931803219663,0.5097459999999998,0.5097459999999998
325,ABBV.csv,2015-10-08,0.736998,1.0,51.938572,51.558586,0.3799860000000024,0.7369984894465539,0.007342959260237191,262.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.007342959260237191,0.007342959260237191,0.3799860000000024,0.3799860000000024
396,ABBV.csv,2015-10-09,-0.713759,0.0,51.567856,51.938572,-0.3707160000000016,-0.7137585530845969,-0.007163179955430654,325.0,3,Adv-ALSTM,stocknet,0.75,var,0.07022416591644287,0,1.0,1,1,1,-0.007163179955430654,-0.007163179955430654,-0.3707160000000016,-0.3707160000000016
489,ABBV.csv,2015-10-13,-2.642056,0.0,50.322704,51.688339,-1.3656349999999975,-2.642056267275289,-0.026775857779136367,396.0,3,Adv-ALSTM,stocknet,0.75,var,0.0118555361405015,0,1.0,1,1,1,-0.026775857779136367,-0.026775857779136367,-1.3656349999999975,-1.3656349999999975
594,ABBV.csv,2015-10-15,4.078619,1.0,52.511463,50.453651,2.0578119999999984,4.078618611763098,0.039976375758394044,489.0,3,Adv-ALSTM,stocknet,0.75,var,0.0009990003891289234,0,0.0,-1,-1,1,-0.039976375758394044,-0.039976375758394044,-2.0578119999999984,-2.0578119999999984
669,ABBV.csv,2015-10-16,0.694683,1.0,52.876251,52.511463,0.36478800000000433,0.6946826067291333,0.006922808039638466,594.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,0.0,-1,-1,1,-0.006922808039638466,-0.006922808039638466,-0.36478800000000433,-0.36478800000000433
720,ABBV.csv,2015-10-19,-0.654511,0.0,52.53017,52.876251,-0.3460810000000052,-0.6545112284908496,-0.006566625454438682,669.0,3,Adv-ALSTM,stocknet,0.75,var,0.018157828599214554,0,0.0,-1,-1,1,0.006566625454438682,0.006566625454438682,0.3460810000000052,0.3460810000000052
762,ABBV.csv,2015-10-20,-2.368241,0.0,51.286129,52.53017,-1.2440409999999957,-2.3682409556260637,-0.023967345455342043,720.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,0.0,-1,-1,1,0.023967345455342043,0.023967345455342043,1.2440409999999957,1.2440409999999957
801,ABBV.csv,2015-10-21,-1.823823,0.0,50.350761,51.286129,-0.935368000000004,-1.8238225778358197,-0.018406592500297476,762.0,3,Adv-ALSTM,stocknet,0.75,var,0.1724381297826767,0,0.0,-1,-1,1,0.018406592500297476,0.018406592500297476,0.935368000000004,0.935368000000004
848,ABBV.csv,2015-10-22,-10.328809,0.0,45.150127,50.350761,-5.200634000000001,-10.328809131603792,-0.1090206405458417,801.0,3,Adv-ALSTM,stocknet,0.75,var,0.0014977363171055913,0,1.0,1,1,1,-0.1090206405458417,-0.1090206405458417,-5.200634000000001,-5.200634000000001
927,ABBV.csv,2015-10-23,4.288376,1.0,47.086334,45.150127,1.9362070000000031,4.28837553435897,0.041989717596052765,848.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.041989717596052765,0.041989717596052765,1.9362070000000031,1.9362070000000031
994,ABBV.csv,2015-10-26,3.03934,1.0,48.517448,47.086334,1.4311140000000009,3.0393404591659245,0.029940675524154626,927.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.029940675524154626,0.029940675524154626,1.4311140000000009,1.4311140000000009
1046,ABBV.csv,2015-10-27,1.368813,1.0,49.181561,48.517448,0.6641130000000004,1.3688127207350238,0.013595291003948512,994.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.013595291003948512,0.013595291003948512,0.6641130000000004,0.6641130000000004
1098,ABBV.csv,2015-10-28,1.293247,1.0,49.8176,49.181561,0.6360389999999967,1.293246873558968,0.01284955842006695,1046.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.01284955842006695,0.01284955842006695,0.6360389999999967,0.6360389999999967
1160,ABBV.csv,2015-10-29,1.57718,1.0,50.603313,49.8176,0.7857130000000012,1.5771795510020579,0.015648713209041126,1098.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.015648713209041126,0.015648713209041126,0.7857130000000012,0.7857130000000012
1211,ABBV.csv,2015-10-30,10.073949,1.0,55.701065,50.603313,5.097752,10.07394911080229,0.09598221857932976,1160.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.09598221857932976,0.09598221857932976,5.097752,5.097752
1275,ABBV.csv,2015-11-02,6.431559,1.0,59.283512,55.701065,3.582447000000002,6.431559252951451,0.062331956459765615,1211.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.062331956459765615,0.062331956459765615,3.582447000000002,3.582447000000002
1332,ABBV.csv,2015-11-03,-1.498891,0.0,58.394917,59.283512,-0.8885950000000022,-1.498890619030806,-0.015102375122516144,1275.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,-0.015102375122516144,-0.015102375122516144,-0.8885950000000022,-0.8885950000000022
1386,ABBV.csv,2015-11-04,2.194458,1.0,59.676369,58.394917,1.2814520000000016,2.194458123812389,0.021707264516841754,1332.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.021707264516841754,0.021707264516841754,1.2814520000000016,1.2814520000000016
1425,ABBV.csv,2015-11-05,-1.614416,0.0,58.712944,59.676369,-0.9634250000000009,-1.6144162524365395,-0.01627589929348093,1386.0,3,Adv-ALSTM,stocknet,0.75,var,0.0009989893296733499,0,1.0,1,1,1,-0.01627589929348093,-0.01627589929348093,-0.9634250000000009,-0.9634250000000009
1463,ABBV.csv,2015-11-06,2.166635,1.0,59.985039,58.712944,1.2720950000000002,2.166634669179594,0.0214349675309092,1425.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.0214349675309092,0.0214349675309092,1.2720950000000002,1.2720950000000002
1524,ABBV.csv,2015-11-09,-1.403402,0.0,59.143208,59.985039,-0.8418309999999991,-1.4034016048568363,-0.014133424009666214,1463.0,3,Adv-ALSTM,stocknet,0.75,var,0.006457693409174681,0,1.0,1,1,1,-0.014133424009666214,-0.014133424009666214,-0.8418309999999991,-0.8418309999999991
1593,ABBV.csv,2015-11-10,-1.470825,0.0,58.273315,59.143208,-0.8698930000000047,-1.4708248494062153,-0.014817487244684242,1524.0,3,Adv-ALSTM,stocknet,0.75,var,0.001497741905041039,0,1.0,1,1,1,-0.014817487244684242,-0.014817487244684242,-0.8698930000000047,-0.8698930000000047
1636,ABBV.csv,2015-11-11,-2.311396,0.0,56.926388,58.273315,-1.3469269999999938,-2.311395876483076,-0.02338527526229128,1593.0,3,Adv-ALSTM,stocknet,0.75,var,0.0009989796672016382,0,0.0,-1,-1,1,0.02338527526229128,0.02338527526229128,1.3469269999999938,1.3469269999999938
1688,ABBV.csv,2015-11-12,-1.03516,0.0,56.337109,56.926388,-0.5892790000000048,-1.0351596521458637,-0.010405546934961919,1636.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,-0.010405546934961919,-0.010405546934961919,-0.5892790000000048,-0.5892790000000048
1766,ABBV.csv,2015-11-13,-0.614318,0.0,55.99102,56.337109,-0.3460889999999992,-0.6143179977517115,-0.006162126943906308,1688.0,3,Adv-ALSTM,stocknet,0.75,var,0.000499740825034678,0,1.0,1,1,1,-0.006162126943906308,-0.006162126943906308,-0.3460889999999992,-0.3460889999999992
1903,ABBV.csv,2015-11-17,0.616561,1.0,56.477409,56.131325,0.3460840000000047,0.616561251671869,0.00614668289648732,1766.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.00614668289648732,0.00614668289648732,0.3460840000000047,0.3460840000000047
1955,ABBV.csv,2015-11-18,1.010273,1.0,57.047985,56.477409,0.5705759999999955,1.0102729748101502,0.010052038302672817,1903.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.010052038302672817,0.010052038302672817,0.5705759999999955,0.5705759999999955
2032,ABBV.csv,2015-11-19,-0.721428,0.0,56.636425,57.047985,-0.4115599999999944,-0.7214277594554732,-0.007240426333902923,1955.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,-0.007240426333902923,-0.007240426333902923,-0.4115599999999944,-0.4115599999999944
2083,ABBV.csv,2015-11-20,0.924861,1.0,57.160233,56.636425,0.5238079999999954,0.9248606351830918,0.009206099874885068,2032.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.009206099874885068,0.009206099874885068,0.5238079999999954,0.5238079999999954
2231,ABBV.csv,2015-11-25,-1.374118,0.0,56.393234,57.17894,-0.7857059999999976,-1.3741178133067833,-0.013836462003318247,2083.0,3,Adv-ALSTM,stocknet,0.75,var,0.009899871423840523,0,1.0,1,1,1,-0.013836462003318247,-0.013836462003318247,-0.7857059999999976,-0.7857059999999976
2293,ABBV.csv,2015-11-30,-3.083346,0.0,54.391544,56.121979,-1.730435,-3.083346365957622,-0.031318817729913864,2231.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,-0.031318817729913864,-0.031318817729913864,-1.730435,-1.730435
2351,ABBV.csv,2015-12-01,1.496135,1.0,55.205315,54.391544,0.8137709999999956,1.4961351345348746,0.014850534276517367,2293.0,3,Adv-ALSTM,stocknet,0.75,var,0.0004997410578653216,0,1.0,1,1,1,0.014850534276517367,0.014850534276517367,0.8137709999999956,0.8137709999999956
2410,ABBV.csv,2015-12-02,-2.202645,0.0,53.989338,55.205315,-1.2159770000000023,-2.202644799690034,-0.02227265225460255,2351.0,3,Adv-ALSTM,stocknet,0.75,var,0.0004997403593733907,0,0.0,-1,-1,1,0.02227265225460255,0.02227265225460255,1.2159770000000023,1.2159770000000023
2479,ABBV.csv,2015-12-03,-2.771995,0.0,52.492756,53.989338,-1.4965819999999965,-2.771995463252386,-0.028111403500159678,2410.0,3,Adv-ALSTM,stocknet,0.75,var,0.029100194573402405,0,1.0,1,1,1,-0.028111403500159678,-0.028111403500159678,-1.4965819999999965,-1.4965819999999965
2554,ABBV.csv,2015-12-04,1.888798,1.0,53.484238,52.492756,0.9914819999999978,1.8887977609710525,0.018711814546519188,2479.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,0.0,-1,-1,1,-0.018711814546519188,-0.018711814546519188,-0.9914819999999978,-0.9914819999999978
2632,ABBV.csv,2015-12-07,-1.591456,0.0,52.63306,53.484238,-0.8511779999999973,-1.5914557855344174,-0.01604255425169457,2554.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,0.0,-1,-1,1,0.01604255425169457,0.01604255425169457,0.8511779999999973,0.8511779999999973
2682,ABBV.csv,2015-12-08,0.710842,1.0,53.007198,52.63306,0.3741380000000021,0.7108421969005831,0.007083276231579883,2632.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,0.0,-1,-1,1,-0.007083276231579883,-0.007083276231579883,-0.3741380000000021,-0.3741380000000021
2741,ABBV.csv,2015-12-09,-1.129328,0.0,52.408573,53.007198,-0.5986250000000055,-1.1293277565812958,-0.01135753083627311,2682.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,-0.01135753083627311,-0.01135753083627311,-0.5986250000000055,-0.5986250000000055
2855,ABBV.csv,2015-12-11,-3.11939,0.0,50.547195,52.174728,-1.6275329999999997,-3.1193895251356167,-0.031690785412319566,2741.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,-0.031690785412319566,-0.031690785412319566,-1.6275329999999997,-1.6275329999999997
2930,ABBV.csv,2015-12-14,2.590652,1.0,51.856697,50.547195,1.3095019999999948,2.5906521618063967,0.025576633063801455,2855.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.025576633063801455,0.025576633063801455,1.3095019999999948,1.3095019999999948
2986,ABBV.csv,2015-12-15,1.713574,1.0,52.7453,51.856697,0.8886030000000034,1.7135742370942046,0.016990581484077966,2930.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.016990581484077966,0.016990581484077966,0.8886030000000034,0.8886030000000034
3060,ABBV.csv,2015-12-16,2.198973,1.0,53.905155,52.7453,1.1598550000000003,2.1989731786528854,0.021751444555431602,2986.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.021751444555431602,0.021751444555431602,1.1598550000000003,1.1598550000000003
3141,ABBV.csv,2015-12-17,-2.16901,0.0,52.735947,53.905155,-1.1692079999999976,-2.1690096244041923,-0.021928784135509118,3060.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,-0.021928784135509118,-0.021928784135509118,-1.1692079999999976,-1.1692079999999976
3217,ABBV.csv,2015-12-18,-1.135152,0.0,52.137314,52.735947,-0.5986329999999995,-1.1351517021207556,-0.011416437253543943,3141.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,-0.011416437253543943,-0.011416437253543943,-0.5986329999999995,-0.5986329999999995
3294,ABBV.csv,2015-12-21,0.825265,1.0,52.567585,52.137314,0.4302709999999976,0.8252649915950745,0.008218783000914952,3217.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.008218783000914952,0.008218783000914952,0.4302709999999976,0.4302709999999976
3342,ABBV.csv,2015-12-22,2.473309,1.0,53.867744,52.567585,1.3001590000000007,2.473309359750882,0.02443218219108341,3294.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.02443218219108341,0.02443218219108341,1.3001590000000007,1.3001590000000007
3397,ABBV.csv,2015-12-23,1.719051,1.0,54.793758,53.867744,0.926013999999995,1.7190510150192944,0.01704442513791316,3342.0,3,Adv-ALSTM,stocknet,0.75,var,0.24815618991851807,0,1.0,1,1,1,0.01704442513791316,0.01704442513791316,0.926013999999995,0.926013999999995
3526,ABBV.csv,2015-12-29,1.191494,1.0,55.607525,54.952766,0.6547590000000056,1.1914941642792025,0.011844517572807772,3397.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,0.0,-1,-1,1,-0.011844517572807772,-0.011844517572807772,-0.6547590000000056,-0.6547590000000056
3596,ABBV.csv,2015-12-30,0.588721,1.0,55.934898,55.607525,0.32737299999999436,0.588720681238725,0.005869944926754421,3526.0,3,Adv-ALSTM,stocknet,0.75,var,0.01087888516485691,0,0.0,-1,-1,1,-0.005869944926754421,-0.005869944926754421,-0.32737299999999436,-0.32737299999999436
3653,ABBV.csv,2015-12-31,-0.936446,0.0,55.411098,55.934898,-0.5237999999999943,-0.9364457945377755,-0.009408580151414724,3596.0,3,Adv-ALSTM,stocknet,0.75,var,0.1344008594751358,0,0.0,-1,-1,1,0.009408580151414724,0.009408580151414724,0.5237999999999943,0.5237999999999943
