ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
25,HRG.csv,2015-10-01,1.364024,1.0,11.89,11.73,0.16000000000000014,1.3640238704177334,0.013548048037306455,,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.013548048037306455,0.013548048037306455,0.16000000000000014,0.16000000000000014
80,HRG.csv,2015-10-02,2.859546,1.0,12.23,11.89,0.33999999999999986,2.8595458368376776,0.028194238996390474,25.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.028194238996390474,0.028194238996390474,0.33999999999999986,0.33999999999999986
158,HRG.csv,2015-10-05,2.12592,1.0,12.49,12.23,0.2599999999999998,2.1259198691741603,0.021036374438405343,80.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.021036374438405343,0.021036374438405343,0.2599999999999998,0.2599999999999998
351,HRG.csv,2015-10-08,1.12,1.0,12.64,12.5,0.14000000000000057,1.1200000000000045,0.011137744410456021,158.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.011137744410456021,0.011137744410456021,0.14000000000000057,0.14000000000000057
416,HRG.csv,2015-10-09,2.848101,1.0,13.0,12.64,0.35999999999999943,2.84810126582278,0.028082968742825305,351.0,3,Adv-ALSTM,stocknet,0.75,var,0.05640057474374771,0,1.0,1,1,1,0.028082968742825305,0.028082968742825305,0.35999999999999943,0.35999999999999943
463,HRG.csv,2015-10-12,-1.384615,0.0,12.82,13.0,-0.17999999999999972,-1.3846153846153824,-0.01394290596901275,416.0,3,Adv-ALSTM,stocknet,0.75,var,0.2388724386692047,0,1.0,1,1,1,-0.01394290596901275,-0.01394290596901275,-0.17999999999999972,-0.17999999999999972
508,HRG.csv,2015-10-13,-1.950078,0.0,12.57,12.82,-0.25,-1.9500780031201248,-0.019693428890367938,463.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,0.0,-1,-1,1,0.019693428890367938,0.019693428890367938,0.25,0.25
622,HRG.csv,2015-10-15,1.351351,1.0,12.75,12.58,0.16999999999999993,1.3513513513513506,0.01342302033214077,508.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,0.0,-1,-1,1,-0.01342302033214077,-0.01342302033214077,-0.16999999999999993,-0.16999999999999993
685,HRG.csv,2015-10-16,1.490196,1.0,12.94,12.75,0.1899999999999995,1.4901960784313686,0.014792017468319344,622.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,0.0,-1,-1,1,-0.014792017468319344,-0.014792017468319344,-0.1899999999999995,-0.1899999999999995
739,HRG.csv,2015-10-19,-1.004637,0.0,12.81,12.94,-0.129999999999999,-1.00463678516228,-0.010097173164111581,685.0,3,Adv-ALSTM,stocknet,0.75,var,0.09945511072874069,0,0.0,-1,-1,1,0.010097173164111581,0.010097173164111581,0.129999999999999,0.129999999999999
881,HRG.csv,2015-10-22,1.554002,1.0,13.07,12.87,0.20000000000000107,1.5540015540015624,0.01542050602809535,739.0,3,Adv-ALSTM,stocknet,0.75,var,0.012343884445726871,0,0.0,-1,-1,1,-0.01542050602809535,-0.01542050602809535,-0.20000000000000107,-0.20000000000000107
953,HRG.csv,2015-10-23,2.142311,1.0,13.35,13.07,0.27999999999999936,2.1423106350420764,0.02119685721012781,881.0,3,Adv-ALSTM,stocknet,0.75,var,0.010389923118054867,0,0.0,-1,-1,1,-0.02119685721012781,-0.02119685721012781,-0.27999999999999936,-0.27999999999999936
1017,HRG.csv,2015-10-26,-1.64794,0.0,13.13,13.35,-0.21999999999999886,-1.6479400749063586,-0.01661669653155367,953.0,3,Adv-ALSTM,stocknet,0.75,var,0.014289449900388718,0,1.0,1,1,1,-0.01661669653155367,-0.01661669653155367,-0.21999999999999886,-0.21999999999999886
1070,HRG.csv,2015-10-27,-1.827875,0.0,12.89,13.13,-0.2400000000000002,-1.8278750952018294,-0.018447871363608773,1017.0,3,Adv-ALSTM,stocknet,0.75,var,0.08066800236701965,0,0.0,-1,-1,1,0.018447871363608773,0.018447871363608773,0.2400000000000002,0.2400000000000002
1124,HRG.csv,2015-10-28,0.853375,1.0,13.0,12.89,0.10999999999999943,0.8533747090767994,0.008497540510440719,1070.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.008497540510440719,0.008497540510440719,0.10999999999999943,0.10999999999999943
1183,HRG.csv,2015-10-29,1.461538,1.0,13.19,13.0,0.1899999999999995,1.4615384615384577,0.014509609267686355,1124.0,3,Adv-ALSTM,stocknet,0.75,var,0.23297126591205597,0,1.0,1,1,1,0.014509609267686355,0.014509609267686355,0.1899999999999995,0.1899999999999995
1238,HRG.csv,2015-10-30,1.97119,1.0,13.45,13.19,0.2599999999999998,1.9711902956785428,0.019520139318624816,1183.0,3,Adv-ALSTM,stocknet,0.75,var,0.20071183145046234,0,1.0,1,1,1,0.019520139318624816,0.019520139318624816,0.2599999999999998,0.2599999999999998
1299,HRG.csv,2015-11-02,1.858736,1.0,13.7,13.45,0.25,1.858736059479554,0.018416726786231068,1238.0,3,Adv-ALSTM,stocknet,0.75,var,0.15849250555038452,0,1.0,1,1,1,0.018416726786231068,0.018416726786231068,0.25,0.25
1355,HRG.csv,2015-11-03,-0.875912,0.0,13.58,13.7,-0.11999999999999922,-0.8759124087591185,-0.008797710703529084,1299.0,3,Adv-ALSTM,stocknet,0.75,var,0.0004997408832423389,0,0.0,-1,-1,1,0.008797710703529084,0.008797710703529084,0.11999999999999922,0.11999999999999922
1404,HRG.csv,2015-11-04,-1.546392,0.0,13.37,13.58,-0.21000000000000085,-1.5463917525773259,-0.015584731016698316,1355.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,0.0,-1,-1,1,0.015584731016698316,0.015584731016698316,0.21000000000000085,0.21000000000000085
1485,HRG.csv,2015-11-06,-1.651652,0.0,13.1,13.32,-0.22000000000000064,-1.6516516516516564,-0.016654434905137235,1404.0,3,Adv-ALSTM,stocknet,0.75,var,0.11457684636116028,0,0.0,-1,-1,1,0.016654434905137235,0.016654434905137235,0.22000000000000064,0.22000000000000064
1553,HRG.csv,2015-11-09,-1.374046,0.0,12.92,13.1,-0.17999999999999972,-1.3740458015267154,-0.013835731852650024,1485.0,3,Adv-ALSTM,stocknet,0.75,var,0.22024860978126526,0,0.0,-1,-1,1,0.013835731852650024,0.013835731852650024,0.17999999999999972,0.17999999999999972
1609,HRG.csv,2015-11-10,1.006192,1.0,13.05,12.92,0.13000000000000078,1.0061919504644024,0.01001163541424674,1553.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,0.01001163541424674,0.01001163541424674,0.13000000000000078,0.13000000000000078
1660,HRG.csv,2015-11-11,0.91954,1.0,13.17,13.05,0.11999999999999922,0.9195402298850514,0.009153381986487201,1609.0,3,Adv-ALSTM,stocknet,0.75,var,0.0044796098954975605,0,1.0,1,1,1,0.009153381986487201,0.009153381986487201,0.11999999999999922,0.11999999999999922
1717,HRG.csv,2015-11-12,-2.126044,0.0,12.89,13.17,-0.27999999999999936,-2.12604403948367,-0.021489698804093557,1660.0,3,Adv-ALSTM,stocknet,0.75,var,0.03284398466348648,0,1.0,1,1,1,-0.021489698804093557,-0.021489698804093557,-0.27999999999999936,-0.27999999999999936
1986,HRG.csv,2015-11-18,3.45092,1.0,13.49,13.04,0.45000000000000107,3.4509202453987817,0.0339271137211578,1717.0,3,Adv-ALSTM,stocknet,0.75,var,0.13200625777244568,0,1.0,1,1,1,0.0339271137211578,0.0339271137211578,0.45000000000000107,0.45000000000000107
2051,HRG.csv,2015-11-19,3.335804,1.0,13.94,13.49,0.4499999999999993,3.335804299481092,0.03281373511271317,1986.0,3,Adv-ALSTM,stocknet,0.75,var,0.006457725539803505,0,1.0,1,1,1,0.03281373511271317,0.03281373511271317,0.4499999999999993,0.4499999999999993
2150,HRG.csv,2015-11-23,-0.643777,0.0,13.89,13.98,-0.08999999999999986,-0.6437768240343337,-0.0064585800394118195,2051.0,3,Adv-ALSTM,stocknet,0.75,var,0.007935923524200916,0,0.0,-1,-1,1,0.0064585800394118195,0.0064585800394118195,0.08999999999999986,0.08999999999999986
2316,HRG.csv,2015-11-30,-1.226551,0.0,13.69,13.86,-0.16999999999999993,-1.2265512265512262,-0.0123413544613997,2150.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,-0.0123413544613997,-0.0123413544613997,-0.16999999999999993,-0.16999999999999993
2377,HRG.csv,2015-12-01,-1.168736,0.0,13.53,13.69,-0.16000000000000014,-1.16873630387144,-0.011756197117660886,2316.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,0,1.0,1,1,1,-0.011756197117660886,-0.011756197117660886,-0.16000000000000014,-0.16000000000000014
