ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
3,AEP.csv,2015-10-01,-1.266275,0.0,52.269245,52.939606,-0.6703609999999998,-1.266275007789064,-0.012743605995013303,,5,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,0.012743605995013303,0.012743605995013303,0.6703609999999998,0.6703609999999998
125,AEP.csv,2015-10-05,2.024146,1.0,53.498234,52.436836,1.061397999999997,2.0241457741653157,0.02003932255777661,3.0,5,Adv-ALSTM,stocknet,0.75,var,0.15969717502593994,1,0.0,-1,0,1,0.0,-0.02003932255777661,0.0,-1.061397999999997
207,AEP.csv,2015-10-06,-1.461876,0.0,52.716156,53.498234,-0.7820779999999985,-1.4618762929632378,-0.014726669980724144,125.0,5,Adv-ALSTM,stocknet,0.75,var,0.013318125158548355,1,0.0,-1,0,1,-0.0,0.014726669980724144,-0.0,0.7820779999999985
263,AEP.csv,2015-10-07,-1.024384,0.0,52.17614,52.716156,-0.5400160000000014,-1.0243842513858588,-0.010296671761254097,207.0,5,Adv-ALSTM,stocknet,0.75,var,0.19914737343788147,1,1.0,1,0,1,-0.0,-0.010296671761254097,-0.0,-0.5400160000000014
326,AEP.csv,2015-10-08,1.481087,1.0,52.948914,52.17614,0.7727740000000054,1.48108694893874,0.014702259652702422,263.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,1,1.0,1,1,1,0.014702259652702422,0.014702259652702422,0.7727740000000054,0.7727740000000054
443,AEP.csv,2015-10-12,1.445188,1.0,53.591339,52.827877,0.763461999999997,1.445187736770109,0.014348444331362424,326.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,1,1.0,1,1,1,0.014348444331362424,0.014348444331362424,0.763461999999997,0.763461999999997
536,AEP.csv,2015-10-14,0.86731,1.0,54.140663,53.675133,0.4655300000000011,0.8673103800227212,0.00863570850210636,443.0,5,Adv-ALSTM,stocknet,0.75,var,0.07149378955364227,1,1.0,1,0,1,0.0,0.00863570850210636,0.0,0.4655300000000011
595,AEP.csv,2015-10-15,0.980211,1.0,54.671356,54.140663,0.5306929999999994,0.9802114909453535,0.009754385824970688,536.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,-0.009754385824970688,-0.009754385824970688,-0.5306929999999994,-0.5306929999999994
928,AEP.csv,2015-10-23,-2.85618,0.0,53.516853,55.090332,-1.573478999999999,-2.856179919191627,-0.028977624325824958,595.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,0.028977624325824958,0.028977624325824958,1.573478999999999,1.573478999999999
995,AEP.csv,2015-10-26,0.591505,1.0,53.833408,53.516853,0.31655500000000103,0.5915052591003455,0.005897627347815315,928.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,-0.005897627347815315,-0.005897627347815315,-0.31655500000000103,-0.31655500000000103
