ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
9,BHP.csv,2015-10-01,1.486401,1.0,30.763451,30.31288,0.45057100000000005,1.4864011601668996,0.014754624800233002,,5,Adv-ALSTM,stocknet,0.75,var,0.0,1,1.0,1,1,1,0.014754624800233002,0.014754624800233002,0.45057100000000005,0.45057100000000005
61,BHP.csv,2015-10-02,3.022753,1.0,31.693354,30.763451,0.9299029999999995,3.022752551396134,0.029779676404294436,9.0,5,Adv-ALSTM,stocknet,0.75,var,0.0004997453652322292,1,1.0,1,0,1,0.0,0.029779676404294436,0.0,0.9299029999999995
134,BHP.csv,2015-10-05,1.93587,1.0,32.306896,31.693354,0.6135420000000025,1.935869583257116,0.019173699986944348,61.0,5,Adv-ALSTM,stocknet,0.75,var,0.24900732934474945,1,1.0,1,0,1,0.0,0.019173699986944348,0.0,0.6135420000000025
212,BHP.csv,2015-10-06,1.632048,1.0,32.83416,32.306896,0.5272639999999953,1.6320478451411589,0.016188730964883716,134.0,5,Adv-ALSTM,stocknet,0.75,var,0.23150907456874847,1,0.0,-1,0,1,0.0,-0.016188730964883716,0.0,-0.5272639999999953
270,BHP.csv,2015-10-07,4.145969,1.0,34.195454,32.83416,1.361294000000001,4.145968710635512,0.04062327439882049,212.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,1,1.0,1,1,1,0.04062327439882049,0.04062327439882049,1.361294000000001,1.361294000000001
332,BHP.csv,2015-10-08,4.625755,1.0,35.777252,34.195454,1.5817979999999991,4.6257552246564675,0.04521956119125629,270.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,1,1.0,1,1,1,0.04521956119125629,0.04521956119125629,1.5817979999999991,1.5817979999999991
401,BHP.csv,2015-10-09,1.178981,1.0,36.199059,35.777252,0.42180700000000115,1.1789809904908326,0.011720851570692178,332.0,5,Adv-ALSTM,stocknet,0.75,var,0.19216182827949524,1,1.0,1,0,1,0.0,0.011720851570692178,0.0,0.42180700000000115
450,BHP.csv,2015-10-12,-1.853813,0.0,35.527996,36.199059,-0.6710629999999966,-1.8538133822760328,-0.01871211861618529,401.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,0.01871211861618529,0.01871211861618529,0.6710629999999966,0.6710629999999966
495,BHP.csv,2015-10-13,-2.374522,0.0,34.684376,35.527996,-0.8436200000000014,-2.3745217715066205,-0.024031679212906623,450.0,5,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,0.024031679212906623,0.024031679212906623,0.8436200000000014,0.8436200000000014
542,BHP.csv,2015-10-14,1.354342,1.0,35.154121,34.684376,0.4697450000000032,1.3543417935499351,0.0134525255932156,495.0,5,Adv-ALSTM,stocknet,0.75,var,0.0009989994578063488,1,0.0,-1,0,1,0.0,-0.0134525255932156,0.0,-0.4697450000000032
