ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_adj_close,return,simple_return,log_return,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return_action,log_return_action_pred,return_action,return_action_pred
95,NGG.csv,2015-10-02,2.550139,1.0,71.595108,69.814735,1.7803729999999973,2.5501393079841916,0.025181656969006976,,3,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,-0.025181656969006976,-0.025181656969006976,-1.7803729999999973,-1.7803729999999973
363,NGG.csv,2015-10-08,1.109719,1.0,71.995201,71.205025,0.7901759999999882,1.1097194334248015,0.011036072246613097,95.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,-0.011036072246613097,-0.011036072246613097,-0.7901759999999882,-0.7901759999999882
424,NGG.csv,2015-10-09,-2.584068,0.0,70.134796,71.995201,-1.860405,-2.584068068648076,-0.02618041652560249,363.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,0.02618041652560249,0.02618041652560249,1.860405,1.860405
518,NGG.csv,2015-10-13,-0.855312,0.0,69.564682,70.16481,-0.600127999999998,-0.8553119434086659,-0.008589907277525455,424.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,0.008589907277525455,0.008589907277525455,0.600127999999998,0.600127999999998
570,NGG.csv,2015-10-14,1.135865,1.0,70.354843,69.564682,0.7901609999999977,1.1358651794023835,0.01129462667857558,518.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,-0.01129462667857558,-0.01129462667857558,-0.7901609999999977,-0.7901609999999977
635,NGG.csv,2015-10-15,1.905037,1.0,71.695129,70.354843,1.3402859999999919,1.9050372978587866,0.01887118675635472,570.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,-0.01887118675635472,-0.01887118675635472,-1.3402859999999919,-1.3402859999999919
828,NGG.csv,2015-10-21,-0.554161,0.0,71.795158,72.195236,-0.4000779999999935,-0.5541612191696327,-0.005557023888005641,635.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,0.005557023888005641,0.005557023888005641,0.4000779999999935,0.4000779999999935
896,NGG.csv,2015-10-22,0.585112,1.0,72.21524,71.795158,0.4200819999999936,0.5851118817789824,0.005834067502597004,828.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,-0.005834067502597004,-0.005834067502597004,-0.4200819999999936,-0.4200819999999936
968,NGG.csv,2015-10-23,-0.678661,0.0,71.725143,72.21524,-0.49009699999999157,-0.6786614570553136,-0.006809748365393513,896.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,0.006809748365393513,0.006809748365393513,0.49009699999999157,0.49009699999999157
1025,NGG.csv,2015-10-26,1.004037,1.0,72.44529,71.725143,0.7201469999999972,1.0040370362175466,0.009990300709981942,968.0,3,Adv-ALSTM,stocknet,0.75,var,0.0,1,0.0,-1,-1,1,-0.009990300709981942,-0.009990300709981942,-0.7201469999999972,-0.7201469999999972
