method,dataset,dropout,avg total val predicted return,avg total tes predicted return,avg val predicted return,avg tes predicted return,avg val sharpe ratio,avg tes sharpe ratio,prob,prob measure
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,1.0,std
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.9,std
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.8,std
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.7,std
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.6,std
Adv-ALSTM,stocknet,0.5,1.7019908750801893,9.84418661453655,0.0006661412426928334,0.0026462867243377823,0.028991654015813124,0.13599072553619043,0.5,std
Adv-ALSTM,stocknet,0.5,2.338495186726976,8.247038389521864,0.0009152623040027303,0.0022169458036349096,0.04614411875651652,0.12605570764866508,0.4,std
Adv-ALSTM,stocknet,0.5,3.052308091001583,7.255184242664216,0.001194641131507469,0.0019503183448022084,0.06418783181549376,0.11994245874252492,0.3,std
Adv-ALSTM,stocknet,0.5,3.7489312542881414,6.6175224596253015,0.0014672920760423255,0.0017789038869960487,0.08446580539989826,0.11656209490780291,0.2,std
Adv-ALSTM,stocknet,0.5,4.109390002756412,5.686763805614149,0.0016083718210396917,0.001528699947745739,0.09866435103381162,0.10775680810640816,0.1,std
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.0,std
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,1.0,var
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.9,var
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.8,var
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.7,var
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.6,var
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.5,var
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.4,var
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.3,var
Adv-ALSTM,stocknet,0.5,2.567262572678931,9.011359619630685,0.0010047994413616168,0.002422408499900722,0.048641157589952265,0.13328863186013307,0.2,var
Adv-ALSTM,stocknet,0.5,2.754435029330769,7.617109749324857,0.0010780567629474634,0.0020476101476679725,0.05720273191109682,0.12447818786293419,0.1,var
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.0,var
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,1.0,entr
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.9,entr
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.8,entr
Adv-ALSTM,stocknet,0.5,1.6769515971549491,9.93260870507758,0.0006563411339158314,0.002670056103515479,0.028550674269343934,0.13699120541431942,0.7,entr
Adv-ALSTM,stocknet,0.5,2.5094839491944603,9.071012937944664,0.0009821854987062467,0.0024384443381571677,0.04742747708531417,0.1337262282790814,0.6,entr
Adv-ALSTM,stocknet,0.5,2.338495186726976,8.247038389521864,0.0009152623040027303,0.0022169458036349096,0.04614411875651652,0.12605570764866508,0.5,entr
Adv-ALSTM,stocknet,0.5,2.5885825971718037,7.995326777169042,0.0010131438736484554,0.0021492813917121083,0.05311097314056388,0.1276402195137785,0.4,entr
Adv-ALSTM,stocknet,0.5,3.1524942941073126,7.278444358239139,0.0012338529526838796,0.001956571064042779,0.06741042358940882,0.12111538527569599,0.3,entr
Adv-ALSTM,stocknet,0.5,3.725144323519888,6.880616816867608,0.001457982122708371,0.001849628176577314,0.08253843858945656,0.11995605382417221,0.2,entr
Adv-ALSTM,stocknet,0.5,4.08080115875673,5.989215500710268,0.0015971824496112444,0.0016100041668575989,0.0951871989995448,0.10998916516352773,0.1,entr
Adv-ALSTM,stocknet,0.5,0.0,0.0,0.0,0.0,,,0.0,entr
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,1.0,std
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.9,std
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.8,std
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.7,std
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.6,std
Adv-ALSTM,kdd17,0.5,1.06005440672998,8.395281825834783,0.0001313574233866146,0.0011348042478825065,0.006716935984513465,0.05704990538439517,0.5,std
Adv-ALSTM,kdd17,0.5,-1.9285902474691352,4.7008495561584995,-0.00023898268246209855,0.0006354216756094214,-0.018739057713919833,0.04705351672300943,0.4,std
Adv-ALSTM,kdd17,0.5,-1.6598531137679804,3.2090256996294175,-0.00020568192239999757,0.00043376935653276796,-0.020947807805709387,0.04203636486473466,0.3,std
Adv-ALSTM,kdd17,0.5,-0.688754163979028,2.443310446966484,-8.534748004696753e-05,0.00033026634860320144,-0.011701392688360557,0.04292706021091588,0.2,std
Adv-ALSTM,kdd17,0.5,-0.34505747044312246,1.3663593891576673,-4.275805086036214e-05,0.00018469307774502127,-0.009483585056127515,0.036594916893405965,0.1,std
Adv-ALSTM,kdd17,0.5,0.0,0.0,0.0,0.0,,,0.0,std
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,1.0,var
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.9,var
Adv-ALSTM,kdd17,0.5,0.8644072425348979,8.43430008971914,0.00010711366078499354,0.0011400784116949363,0.005466082027839499,0.05724179851941221,0.8,var
