method,dataset,dropout,total val trading days skipped,total val trading days successful,total val trading days successfuly skipped,ratio of val trading days successfully skipped over total,total val trading days,total val log return,avg val log return,val sharpe ratio,val acc,val mcc,total tes trading days skipped,total tes trading days successful,total tes trading days successfuly skipped,ratio of tes trading days successfully skipped over total,total tes trading days,total tes log return,avg tes log return,tes sharpe ratio,tes acc,tes mcc,run,prob,prob measure,val acc filtered,val mcc filtered,tes acc filtered,tes mcc filtered,val gt acc,tes gt acc
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,1.0,std,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.9,std,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.8,std,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.7,std,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,87,1277,87,1.0,2555,1.6769515971549491,0.0006563411339158314,0.028550674269343934,51.97651663405088,0.05099313521856975,87,2068,87,1.0,3720,9.93260870507758,0.002670056103515479,0.13699120541431942,57.33870967741935,0.1450124158065286,5,0.6,std,51.97651663405088,0.05099313521856975,57.33870967741935,0.1450124158065286,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,91,1275,89,0.978021978021978,2555,1.7019908750801893,0.0006661412426928334,0.028991654015813124,51.97651663405088,0.05099313521856975,90,2065,87,0.9666666666666667,3720,9.84418661453655,0.0026462867243377823,0.13599072553619043,57.33870967741935,0.1450124158065286,5,0.5,std,52.054794520547944,0.05237971148893051,57.33870967741935,0.14540598477743263,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,523,1076,322,0.615678776290631,2555,2.338495186726976,0.0009152623040027303,0.04614411875651652,51.97651663405088,0.05099313521856975,794,1686,412,0.5188916876574308,3720,8.247038389521864,0.0022169458036349096,0.12605570764866508,57.33870967741935,0.1450124158065286,5,0.4,std,61.487279843444234,0.17095455148463123,66.26344086021506,0.3066137253936247,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,720,987,430,0.5972222222222222,2555,3.052308091001583,0.001194641131507469,0.06418783181549376,51.97651663405088,0.05099313521856975,1186,1459,577,0.48650927487352447,3720,7.255184242664216,0.0019503183448022084,0.11994245874252492,57.33870967741935,0.1450124158065286,5,0.3,std,66.02739726027397,0.20612255964386972,70.86021505376344,0.3407915864355703,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,912,900,535,0.5866228070175439,2555,3.7489312542881414,0.0014672920760423255,0.08446580539989826,51.97651663405088,0.05099313521856975,1499,1293,724,0.4829886591060707,3720,6.6175224596253015,0.0017789038869960487,0.11656209490780291,57.33870967741935,0.1450124158065286,5,0.2,std,70.33268101761252,0.2253454421471303,74.83870967741936,0.3583911482944656,99.67585089141005,99.50454170107349
Adv-ALSTM,stocknet,0.5,1089,813,625,0.573921028466483,2555,4.109390002756412,0.0016083718210396917,0.09866435103381162,51.97651663405088,0.05099313521856975,1820,1116,868,0.47692307692307695,3720,5.686763805614149,0.001528699947745739,0.10775680810640816,57.33870967741935,0.1450124158065286,5,0.1,std,73.97260273972603,0.21548766574420938,78.76344086021506,0.350594868424774,99.67585089141005,99.50454170107349
