method,dataset,dropout,avg total val predicted return,avg total tes predicted return,avg val predicted return,avg tes predicted return,avg val sharpe ratio,avg tes sharpe ratio,prob,prob measure
Adv-ALSTM,stocknet,0.75,12931.960566999998,18123.458988000002,5.061432707240704,4.871897577419356,0.022886192979418456,0.02075972082705923,1.0,std
Adv-ALSTM,stocknet,0.75,15382.369554,15824.567742000001,6.02049689001957,4.25391605967742,0.023617624648453864,0.01770814335215262,0.9,std
Adv-ALSTM,stocknet,0.75,15458.796987999998,23942.961590000003,6.050409780039138,6.4362799973118285,0.023734550380407327,0.025776236751739973,0.8,std
Adv-ALSTM,stocknet,0.75,10177.734066999998,25237.095631000004,3.9834575604696663,6.784165492204302,0.01446564979636094,0.0228388746709189,0.7,std
Adv-ALSTM,stocknet,0.75,14691.308716,24656.490838000005,5.750022980821917,6.628088934946238,0.019894879451978462,0.022166723311443308,0.6,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.5,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.4,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.3,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.2,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.1,std
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.0,std
Adv-ALSTM,stocknet,0.75,12931.960566999998,18123.458988000002,5.061432707240704,4.871897577419356,0.022886192979418456,0.02075972082705923,1.0,var
Adv-ALSTM,stocknet,0.75,10201.054377999997,25245.672301000006,3.9925848837573374,6.786471048655915,0.014498796246105453,0.022846635626829946,0.9,var
Adv-ALSTM,stocknet,0.75,14739.701414000001,23659.993841,5.768963371428572,6.36021339811828,0.019960409512129015,0.02123348706234385,0.8,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.7,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.6,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.5,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.4,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.3,var
Adv-ALSTM,stocknet,0.75,21536.925367999997,21613.655233000005,8.429324997260272,5.810122374462367,0.025184569244156244,0.0192692652542332,0.2,var
