method,dataset,dropout,run,prob,prob measure,total tes trading days skipped,total tes trading days profitable,total tes trading days averted loss by skipping,tes trading days averted loss by skipping percentage of total skipped,total tes trading days,total tes return,total tes return if without filtering,total tes log return,avg tes return,tes profit per trade,tes sharpe ratio,dropout tes acc,dropout tes mcc,tes acc,tes mcc,tes acc of y to log return,best benchmark tes total return,best benchmark tes total profit per trade,best benchmark tes avg sharpe ratio,best benchmark tes total log return,best benchmark tes acc
Adv-ALSTM,stocknet,0.05,1,1.0,std,1497,1074,714,47.69539078156313,2223,-1460.768140999999,15591.000595000005,-2.811655698306187,-0.39267960779569866,-0.657115672964462,-0.0020857377834994756,49.91935483870968,0.012773976610369994,48.313090418353575,0.001545086419803759,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.9,std,1353,1146,642,47.45011086474501,2367,-4370.0964019999965,15591.000595000005,-3.1359665366718468,-1.174757097311827,-1.8462595699197282,-0.006052459262011678,49.91935483870968,0.012773976610369994,48.41571609632446,0.009273216171423862,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.8,std,1135,1266,544,47.9295154185022,2585,1353.2415980000033,15591.000595000005,-3.00036558223855,0.36377462311828046,0.5234977168278543,0.0016886383269702435,49.91935483870968,0.012773976610369994,48.974854932301746,0.015078910821464358,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.7,std,999,1356,498,49.849849849849846,2721,3546.600409000004,15591.000595000005,-2.255977478934436,0.9533872067204312,1.3034180113928717,0.003841431374959209,49.91935483870968,0.012773976610369994,49.83461962513782,0.03357975036956516,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.6,std,870,1432,445,51.14942528735632,2850,9579.880961000003,15591.000595000005,-1.8729749189354241,2.575236817473119,3.361361740701755,0.009974823523082427,49.91935483870968,0.012773976610369994,50.24561403508771,0.03625494433715211,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.5,std,730,1508,381,52.19178082191781,2990,14001.647647000005,15591.000595000005,-1.5397941997719613,3.76388377607527,4.682825300000002,0.01404159887449362,49.91935483870968,0.012773976610369994,50.43478260869565,0.04146164612983356,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.4,std,570,1585,298,52.28070175438596,3150,15372.193173000003,15591.000595000005,-1.2873170484745726,4.132309992741936,4.880061324761906,0.015363258306563097,49.91935483870968,0.012773976610369994,50.317460317460316,0.039846184601901244,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.3,std,407,1661,211,51.842751842751845,3313,16994.175574000004,15591.000595000005,-1.5453239233409894,4.568326767204303,5.129542883791127,0.01631652144870338,49.91935483870968,0.012773976610369994,50.135828554180506,0.03273842325867891,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.2,std,274,1730,147,53.64963503649635,3446,19735.38579800001,15591.000595000005,-1.3659410044787847,5.305211236021508,5.727041728961117,0.01832130021423503,49.91935483870968,0.012773976610369994,50.2031340684852,0.028388459869002108,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
Adv-ALSTM,stocknet,0.05,1,0.1,std,116,1807,66,56.896551724137936,3604,21416.297447000004,15591.000595000005,-1.3825743144586808,5.757069206182797,5.942368880965595,0.01958436293882561,49.91935483870968,0.012773976610369994,50.138734739178695,0.02099603634955011,100.0,21585.955813,5.802676293817204,0.01924456118077938,11.548503636747625,57.822580645161295
