ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,matches_gt_day,log_return
42,AAPL.csv,2016-01-05,-2.505932,0.0,100.474523,,4,Adv-ALSTM,kdd17,0.5,entr,0.6918966592050799,0,1.0,1,0,-1,0.0
68,AAPL.csv,2016-01-06,-1.956969,0.0,98.508268,42.0,4,Adv-ALSTM,kdd17,0.5,entr,0.40496348506393853,0,1.0,1,0,1,-0.01976370913273175
109,AAPL.csv,2016-01-07,-4.220457,0.0,94.350769,68.0,4,Adv-ALSTM,kdd17,0.5,entr,0.056001534354847345,0,1.0,1,0,1,-0.043121061456861
193,AAPL.csv,2016-01-11,1.619224,1.0,96.3855,109.0,4,Adv-ALSTM,kdd17,0.5,entr,0.4637264398194103,0,1.0,1,0,1,0.021336353080490564
221,AAPL.csv,2016-01-12,1.451334,1.0,97.784376,193.0,4,Adv-ALSTM,kdd17,0.5,entr,0.30253782309749805,0,1.0,1,0,1,0.01440903431213984
255,AAPL.csv,2016-01-13,-2.571028,0.0,95.270312,221.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6687480868518094,0,1.0,1,0,1,-0.02604656906118599
301,AAPL.csv,2016-01-14,2.18708,1.0,97.35395,255.0,4,Adv-ALSTM,kdd17,0.5,entr,0.056001534354847345,0,1.0,1,0,1,0.021635065622787743
348,AAPL.csv,2016-01-15,-2.401527,0.0,95.015969,301.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6918966592050799,0,1.0,1,0,1,-0.02430833402797511
473,AAPL.csv,2016-01-21,-0.506248,0.0,94.20404,348.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6709321847375349,0,1.0,1,0,1,-0.008581904074908865
511,AAPL.csv,2016-01-22,5.316714,1.0,99.212599,473.0,4,Adv-ALSTM,kdd17,0.5,entr,0.5392763414970504,0,1.0,1,0,1,0.051801944138492144
559,AAPL.csv,2016-01-25,-1.952274,0.0,97.275697,511.0,4,Adv-ALSTM,kdd17,0.5,entr,0.5139566706172256,0,1.0,1,0,1,-0.019715828176533633
597,AAPL.csv,2016-01-26,0.553093,1.0,97.813722,559.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6930971797265786,0,1.0,1,0,1,0.005515689849071375
638,AAPL.csv,2016-01-27,-6.570657,0.0,91.386718,597.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6913460990017393,0,1.0,1,0,1,-0.06796472333329429
670,AAPL.csv,2016-01-28,0.71719,1.0,92.042134,638.0,4,Adv-ALSTM,kdd17,0.5,entr,0.37677016125643675,0,1.0,1,0,1,0.007146299856002266
710,AAPL.csv,2016-01-29,3.45414,1.0,95.221398,670.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6230429935424382,0,1.0,1,0,1,0.03395823497826169
760,AAPL.csv,2016-02-01,-0.934863,0.0,94.331208,710.0,4,Adv-ALSTM,kdd17,0.5,entr,0.29081440245335816,0,1.0,1,0,1,-0.009392606762148998
797,AAPL.csv,2016-02-02,-2.02219,0.0,92.423652,760.0,4,Adv-ALSTM,kdd17,0.5,entr,0.44786878553807696,0,1.0,1,0,1,-0.02042915876813607
842,AAPL.csv,2016-02-03,1.97925,1.0,94.252947,797.0,4,Adv-ALSTM,kdd17,0.5,entr,0.3863867062886037,0,1.0,1,0,1,0.01959917382594746
888,AAPL.csv,2016-02-04,0.80351,1.0,95.010279,842.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6768585467349507,0,1.0,1,0,1,0.00800299200354432
925,AAPL.csv,2016-02-05,-2.670809,0.0,92.472736,888.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6749869805043389,0,1.0,1,0,1,-0.027071230621033036
964,AAPL.csv,2016-02-08,1.052973,1.0,93.446449,925.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6376631687845968,0,1.0,1,0,1,0.01047467912337519
1032,AAPL.csv,2016-02-10,-0.757977,0.0,92.718621,964.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6474466390346325,0,1.0,1,0,1,-0.007819208063905656
1067,AAPL.csv,2016-02-11,-0.604646,0.0,92.158002,1032.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6818546087307834,0,1.0,1,0,1,-0.006064809160706274
1145,AAPL.csv,2016-02-16,2.819451,1.0,95.049622,1067.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6191006644255871,0,1.0,1,0,1,0.03089457504716999
1179,AAPL.csv,2016-02-17,1.53146,1.0,96.505269,1145.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6108643020548935,0,1.0,1,0,1,0.015198515818384101
1216,AAPL.csv,2016-02-18,-1.895638,0.0,94.675878,1179.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6930971797265786,0,1.0,1,0,1,-0.019138360314241657
1269,AAPL.csv,2016-02-22,0.874632,1.0,95.28567,1216.0,4,Adv-ALSTM,kdd17,0.5,entr,0.3359322143596015,0,1.0,1,0,1,0.006420184516200405
1310,AAPL.csv,2016-02-23,-2.260524,0.0,93.131715,1269.0,4,Adv-ALSTM,kdd17,0.5,entr,0.5677618322739666,0,1.0,1,0,1,-0.022864650609924646
1349,AAPL.csv,2016-02-24,1.489065,1.0,94.518507,1310.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6442963757652278,0,1.0,1,0,1,0.01478087511247871
1370,AAPL.csv,2016-02-25,0.686789,1.0,95.16765,1349.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6859298002523728,0,1.0,1,0,1,0.006844416528994513
1478,AAPL.csv,2016-03-01,3.971451,1.0,98.875604,1370.0,4,Adv-ALSTM,kdd17,0.5,entr,0.03147906594716675,0,1.0,1,0,1,0.0382224616681602
1553,AAPL.csv,2016-03-03,0.744417,1.0,99.829643,1478.0,4,Adv-ALSTM,kdd17,0.5,entr,0.3669249912727096,0,1.0,1,0,1,0.00960262847030985
1575,AAPL.csv,2016-03-04,1.487686,1.0,101.314795,1553.0,4,Adv-ALSTM,kdd17,0.5,entr,0.3139558502316525,0,1.0,1,0,1,0.014767288660250602
1604,AAPL.csv,2016-03-07,-1.106688,0.0,100.193556,1575.0,4,Adv-ALSTM,kdd17,0.5,entr,0.03147906594716675,0,1.0,1,0,1,-0.011128576717401773
1637,AAPL.csv,2016-03-08,-0.824584,0.0,99.367376,1604.0,4,Adv-ALSTM,kdd17,0.5,entr,0.3359322143596015,0,1.0,1,0,1,-0.008280024670904183
1730,AAPL.csv,2016-03-11,1.077398,1.0,100.577138,1637.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6786267624557614,0,1.0,1,0,1,0.01210112484319426
1794,AAPL.csv,2016-03-15,2.00937,1.0,102.858958,1730.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6305810283860147,0,1.0,1,0,1,0.02243373464355581
1815,AAPL.csv,2016-03-16,1.329125,1.0,104.226082,1794.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6818546087307834,0,1.0,1,0,1,0.013203695078098498
1930,AAPL.csv,2016-03-22,0.764798,1.0,104.96374,1815.0,4,Adv-ALSTM,kdd17,0.5,entr,0.5510799280869728,0,1.0,1,0,1,0.007052552083505226
1959,AAPL.csv,2016-03-23,-0.552853,0.0,104.383445,1930.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6730116670092565,0,1.0,1,0,1,-0.005543867105295141
2027,AAPL.csv,2016-03-29,2.367142,1.0,105.90794,1959.0,4,Adv-ALSTM,kdd17,0.5,entr,0.03147906594716675,0,1.0,1,0,1,0.01449913611198678
2062,AAPL.csv,2016-03-30,1.745912,1.0,107.756999,2027.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6191006644255871,0,1.0,1,0,1,0.017308456601191347
2088,AAPL.csv,2016-03-31,-0.520262,0.0,107.19638,2062.0,4,Adv-ALSTM,kdd17,0.5,entr,0.4862229646617922,0,1.0,1,0,1,-0.005216203380974896
2115,AAPL.csv,2016-04-01,0.917515,1.0,108.179923,2088.0,4,Adv-ALSTM,kdd17,0.5,entr,0.431284935742842,0,1.0,1,0,1,0.009133315256547673
2151,AAPL.csv,2016-04-04,1.027371,1.0,109.291332,2115.0,4,Adv-ALSTM,kdd17,0.5,entr,0.431284935742842,0,1.0,1,0,1,0.010221292705295763
2174,AAPL.csv,2016-04-05,-1.178911,0.0,108.002885,2151.0,4,Adv-ALSTM,kdd17,0.5,entr,0.1985152433458726,0,1.0,1,0,1,-0.011859147641256958
2212,AAPL.csv,2016-04-06,1.047265,1.0,109.133961,2174.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6108643020548935,0,1.0,1,0,1,0.010418187896453455
2250,AAPL.csv,2016-04-07,-2.180965,0.0,106.753788,2212.0,4,Adv-ALSTM,kdd17,0.5,entr,0.47889113905134384,0,1.0,1,0,1,-0.0220509913701696
2330,AAPL.csv,2016-04-12,1.302519,1.0,108.622522,2250.0,4,Adv-ALSTM,kdd17,0.5,entr,0.07788250941109637,0,1.0,1,0,1,0.01735363464058892
2367,AAPL.csv,2016-04-13,1.448749,1.0,110.19619,2330.0,4,Adv-ALSTM,kdd17,0.5,entr,0.5567751167156654,0,1.0,1,0,1,0.014383551721143988
2424,AAPL.csv,2016-04-15,-2.007137,0.0,108.042227,2367.0,4,Adv-ALSTM,kdd17,0.5,entr,0.5677618322739666,0,1.0,1,0,1,-0.019740181170415514
2447,AAPL.csv,2016-04-18,-2.157482,0.0,105.711235,2424.0,4,Adv-ALSTM,kdd17,0.5,entr,0.07788250941109637,0,1.0,1,0,1,-0.021810962829608163
2478,AAPL.csv,2016-04-19,-0.530332,0.0,105.150615,2447.0,4,Adv-ALSTM,kdd17,0.5,entr,0.5782220581743532,0,1.0,1,0,1,-0.005317427699339643
2547,AAPL.csv,2016-04-21,-1.082794,0.0,104.226082,2478.0,4,Adv-ALSTM,kdd17,0.5,entr,0.1517144790378862,0,1.0,1,0,1,-0.008831345819653209
2609,AAPL.csv,2016-04-25,-0.567751,0.0,103.350729,2547.0,4,Adv-ALSTM,kdd17,0.5,entr,0.2129821973127643,0,1.0,1,0,1,-0.008434065295482004
2632,AAPL.csv,2016-04-26,-0.694712,0.0,102.632739,2609.0,4,Adv-ALSTM,kdd17,0.5,entr,0.25363894692169137,0,1.0,1,0,1,-0.006971364399520188
2659,AAPL.csv,2016-04-27,-6.257785,0.0,96.210203,2632.0,4,Adv-ALSTM,kdd17,0.5,entr,0.22696752250060448,0,1.0,1,0,1,-0.06462156306566962
2683,AAPL.csv,2016-04-28,-3.056632,0.0,93.269411,2659.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6870849202888889,0,1.0,1,0,1,-0.031043214619357624
2715,AAPL.csv,2016-04-29,-1.149429,0.0,92.197345,2683.0,4,Adv-ALSTM,kdd17,0.5,entr,0.439669879401343,0,1.0,1,0,1,-0.011560863666880597
2778,AAPL.csv,2016-05-03,1.644597,1.0,93.613649,2715.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6899437584583995,0,1.0,1,0,1,0.01524486144954193
2813,AAPL.csv,2016-05-04,-1.040131,0.0,92.639944,2778.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6930971797265786,0,1.0,1,0,1,-0.010455786168028346
2862,AAPL.csv,2016-05-06,-0.557698,0.0,91.749363,2813.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6768585467349507,0,1.0,1,0,1,-0.009659865202714581
2925,AAPL.csv,2016-05-10,0.67895,1.0,92.442033,2862.0,4,Adv-ALSTM,kdd17,0.5,entr,0.41393713039022373,0,1.0,1,0,1,0.007521233676935541
2968,AAPL.csv,2016-05-11,-0.974092,0.0,91.541563,2925.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6615632381579821,0,1.0,1,0,1,-0.009788668225544514
2996,AAPL.csv,2016-05-12,-2.345698,0.0,89.394274,2968.0,4,Adv-ALSTM,kdd17,0.5,entr,0.4558862130273584,0,1.0,1,0,1,-0.02373647867145033
3062,AAPL.csv,2016-05-16,3.711887,1.0,92.897216,2996.0,4,Adv-ALSTM,kdd17,0.5,entr,0.3359322143596015,0,1.0,1,0,1,0.03843704675231258
3132,AAPL.csv,2016-05-18,1.144508,1.0,93.570098,3062.0,4,Adv-ALSTM,kdd17,0.5,entr,0.44786878553807696,0,1.0,1,0,1,0.00721718896796731
3196,AAPL.csv,2016-05-20,1.082807,1.0,94.223192,3132.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6640641265641081,0,1.0,1,0,1,0.006955484224039617
3227,AAPL.csv,2016-05-23,1.27074,1.0,95.420524,3196.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6881388137135884,0,1.0,1,0,1,0.012627340728549237
3249,AAPL.csv,2016-05-24,1.524424,1.0,96.875137,3227.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6881388137135884,0,1.0,1,0,1,0.015129210281963226
3292,AAPL.csv,2016-05-25,1.756896,1.0,98.577132,3249.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6768585467349507,0,1.0,1,0,1,0.017416405865622146
3323,AAPL.csv,2016-05-26,0.793015,1.0,99.358863,3292.0,4,Adv-ALSTM,kdd17,0.5,entr,0.5072562521085695,0,1.0,1,0,1,0.007898867151297801
3393,AAPL.csv,2016-06-01,-1.401965,0.0,97.429272,3323.0,4,Adv-ALSTM,kdd17,0.5,entr,0.60215168259268,0,1.0,1,0,1,-0.019611475504847105
3416,AAPL.csv,2016-06-02,-0.751572,0.0,96.697021,3393.0,4,Adv-ALSTM,kdd17,0.5,entr,0.34651533691866615,0,1.0,1,0,1,-0.007544104011824559
3467,AAPL.csv,2016-06-06,0.725081,1.0,97.597491,3416.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6918966592050799,0,1.0,1,0,1,0.009269190755096244
3540,AAPL.csv,2016-06-09,0.717605,1.0,98.606817,3467.0,4,Adv-ALSTM,kdd17,0.5,entr,0.13474216817976675,0,1.0,1,0,1,0.010288611028303614
3567,AAPL.csv,2016-06-10,-0.822879,0.0,97.795402,3540.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6926971130356336,0,1.0,1,0,1,-0.0082628355290721
3600,AAPL.csv,2016-06-13,-1.507646,0.0,96.320994,3567.0,4,Adv-ALSTM,kdd17,0.5,entr,0.2787693717685874,0,1.0,1,0,1,-0.015191260345931308
3709,AAPL.csv,2016-06-17,-2.275758,0.0,94.332041,3600.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6870849202888889,0,1.0,1,0,1,-0.020865392040060486
3775,AAPL.csv,2016-06-21,0.85174,1.0,94.905971,3709.0,4,Adv-ALSTM,kdd17,0.5,entr,0.2129821973127643,0,1.0,1,0,1,0.006065713263889628
3820,AAPL.csv,2016-06-23,0.57561,1.0,95.093977,3775.0,4,Adv-ALSTM,kdd17,0.5,entr,0.34651533691866615,0,1.0,1,0,1,0.001979011713837479
3858,AAPL.csv,2016-06-24,-2.80957,0.0,92.422245,3820.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6870849202888889,0,1.0,1,0,1,-0.028497937786335
3903,AAPL.csv,2016-06-27,-1.456103,0.0,91.076482,3858.0,4,Adv-ALSTM,kdd17,0.5,entr,0.11690684913753106,0,1.0,1,0,1,-0.014668081360754
3948,AAPL.csv,2016-06-28,1.684045,1.0,92.610251,3903.0,4,Adv-ALSTM,kdd17,0.5,entr,0.431284935742842,0,1.0,1,0,1,0.016700222403688365
3988,AAPL.csv,2016-06-29,0.865483,1.0,93.411777,3948.0,4,Adv-ALSTM,kdd17,0.5,entr,0.44786878553807696,0,1.0,1,0,1,0.008617591893976703
4032,AAPL.csv,2016-06-30,1.271183,1.0,94.599212,3988.0,4,Adv-ALSTM,kdd17,0.5,entr,0.5139566706172256,0,1.0,1,0,1,0.012631716850467285
4100,AAPL.csv,2016-07-05,-0.938577,0.0,93.995597,4032.0,4,Adv-ALSTM,kdd17,0.5,entr,0.1835211367833753,0,1.0,1,0,1,-0.006401205465989299
4134,AAPL.csv,2016-07-06,0.568482,1.0,94.529945,4100.0,4,Adv-ALSTM,kdd17,0.5,entr,0.6687480868518094,0,1.0,1,0,1,0.005668721863823155
4193,AAPL.csv,2016-07-08,0.771313,1.0,95.667907,4134.0,4,Adv-ALSTM,kdd17,0.5,entr,0.4637264398194103,0,1.0,1,0,1,0.011966229553010709
4292,AAPL.csv,2016-07-13,-0.564561,0.0,95.855921,4193.0,4,Adv-ALSTM,kdd17,0.5,entr,0.34651533691866615,0,1.0,1,0,0,0.001963349024074487
4312,AAPL.csv,2016-07-14,1.982035,1.0,97.755819,4292.0,4,Adv-ALSTM,kdd17,0.5,entr,0.37677016125643675,0,1.0,1,0,1,0.019626485317101334
