ins_ind,ticker_filename,date,n_adj_close,gt,adj_close,prev_ins_ind,run,method,dataset,dropout,prob_measure,prob,prob_filter,day_pred,day_action_pred,day_action,log_return,matches_gt_day
0,AAPL.csv,2015-10-01,-0.652775,1.0,105.42646,,5,Adv-ALSTM,stocknet,0.5,std,0.4037013053894043,1,1.0,1,1,0.007274075720783987,1
50,AAPL.csv,2015-10-02,0.73006,1.0,106.196136,0.0,5,Adv-ALSTM,stocknet,0.5,std,0.36190471053123474,1,1.0,1,1,-0.00800437727174314,0
323,AAPL.csv,2015-10-08,-1.155444,1.0,105.349495,50.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,0.023645101827013248,1
394,AAPL.csv,2015-10-09,2.392686,1.0,107.870178,323.0,5,Adv-ALSTM,stocknet,0.5,std,0.0705336406826973,1,1.0,1,1,-0.01718206200483578,0
535,AAPL.csv,2015-10-14,-1.41337,1.0,106.032578,394.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,0.014860572851313645,1
592,AAPL.csv,2015-10-15,1.497154,1.0,107.620049,535.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,-0.007357726959852408,0
667,AAPL.csv,2015-10-16,-0.733073,1.0,106.831116,592.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,0.00619470243240286,1
718,AAPL.csv,2015-10-19,0.621393,1.0,107.494957,667.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,0.01809363544083435,1
760,AAPL.csv,2015-10-20,1.825832,1.0,109.457634,718.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,0.01509182849493575,1
846,AAPL.csv,2015-10-22,1.529545,1.0,111.122078,760.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,0.030524959312959354,1
925,AAPL.csv,2015-10-23,3.099562,1.0,114.566376,846.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,-0.03243154568961124,0
992,AAPL.csv,2015-10-26,-3.191128,1.0,110.910416,925.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,-0.006352633428460429,0
1044,AAPL.csv,2015-10-27,-0.63325,1.0,110.208076,992.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,0.04037835839700055,1
1096,AAPL.csv,2015-10-28,4.120465,1.0,114.749161,1044.0,5,Adv-ALSTM,stocknet,0.5,std,0.07053358852863312,1,1.0,1,1,0.010508934601303019,1
1159,AAPL.csv,2015-10-29,1.056435,1.0,115.961411,1096.0,5,Adv-ALSTM,stocknet,0.5,std,0.312889963388443,1,1.0,1,1,-0.008582254864878187,0
1209,AAPL.csv,2015-10-30,-0.854553,1.0,114.970459,1159.0,5,Adv-ALSTM,stocknet,0.5,std,0.14000006020069122,1,1.0,1,1,0.013960576960909169,1
1273,AAPL.csv,2015-11-02,1.405848,1.0,116.586769,1209.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,1.0,1,1,0.011405360707156458,1
1331,AAPL.csv,2015-11-03,1.147065,1.0,117.924095,1273.0,5,Adv-ALSTM,stocknet,0.5,std,0.1837797313928604,1,1.0,1,1,-0.044204857630664104,0
1591,AAPL.csv,2015-11-10,-3.151697,1.0,112.824814,1331.0,5,Adv-ALSTM,stocknet,0.5,std,0.49272218346595764,1,1.0,1,1,-0.005668114564357924,0
1635,AAPL.csv,2015-11-11,-0.565208,1.0,112.187119,1591.0,5,Adv-ALSTM,stocknet,0.5,std,0.09949880093336105,1,1.0,1,1,-0.03300814889994904,0
1764,AAPL.csv,2015-11-13,-2.920854,1.0,108.544479,1635.0,5,Adv-ALSTM,stocknet,0.5,std,0.4999005198478699,1,1.0,1,1,0.016246292769450894,1
1828,AAPL.csv,2015-11-16,1.637898,1.0,110.322327,1764.0,5,Adv-ALSTM,stocknet,0.5,std,0.3363032937049866,1,1.0,1,1,0.02687330693681496,1
1953,AAPL.csv,2015-11-18,3.166498,1.0,113.327248,1828.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,1.0,1,1,0.012623603388475395,1
2031,AAPL.csv,2015-11-19,1.270362,1.0,114.766914,1953.0,5,Adv-ALSTM,stocknet,0.5,std,0.25514698028564453,1,1.0,1,1,-0.008709375166461104,0
2126,AAPL.csv,2015-11-23,-1.299254,1.0,113.771706,2031.0,5,Adv-ALSTM,stocknet,0.5,std,0.4330126941204071,1,1.0,1,1,0.009550822895438536,1
2182,AAPL.csv,2015-11-24,0.959658,1.0,114.863525,2126.0,5,Adv-ALSTM,stocknet,0.5,std,0.09949880838394165,1,1.0,1,1,-0.007175673193796993,0
2230,AAPL.csv,2015-11-25,-0.714999,1.0,114.042252,2182.0,5,Adv-ALSTM,stocknet,0.5,std,0.09949877858161926,1,1.0,1,1,-0.00586318998362379,0
2349,AAPL.csv,2015-12-01,-0.811497,1.0,113.375557,2230.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,-0.00907461092812112,0
2409,AAPL.csv,2015-12-02,-0.903356,1.0,112.351372,2349.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,-0.009331325676569177,0
2478,AAPL.csv,2015-12-03,-0.928792,1.0,111.307861,2409.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,0.032705814851654594,1
2552,AAPL.csv,2015-12-04,3.324653,1.0,115.008461,2478.0,5,Adv-ALSTM,stocknet,0.5,std,0.0,1,0.0,-1,-1,-0.006320888597827991,0
