method,dataset,dropout,run,prob,prob measure,ticker filename,total return,avg return,total log return,avg log return,profit per trade,sharpe ratio,best benchmark log return,best benchmark profit per trade,best benchmark return,best benchmark sharpe ratio,total trading days skipped,total trading days profitable,total trading days,total trading days averted loss by skipping,std log return before trading,log return beats benchmark,sharpe ratio beats benchmark
Adv-ALSTM,stocknet,0.75,3,1.0,std,BSAC.csv,3.702014,0.08814319047619049,0.21898090611240673,0.005213831097914446,0.14808056,0.34734647507018734,0.18511181254291426,-38.89684200000001,3.103157999999997,0.23727027721080626,17,14,25,9,0.31983895247917066,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,KO.csv,0.035967999999989786,0.0009465263157892048,-0.00044903999068197746,-1.1816841860052039e-05,0.0019982222222216547,0.002453943983593937,-0.03309057474970421,-39.325077000000014,-1.3250770000000145,-0.06846899564962179,20,11,18,12,0.5010593910406697,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,UNH.csv,13.598792000000017,0.2956259130434786,0.11805830241238201,0.002566484835051783,0.6181269090909098,0.17212564353068402,0.2357028470805197,-19.181622000000004,26.818378,0.2666056659810314,24,12,22,9,2.264623419854303,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,CVX.csv,18.839737,0.33052170175438594,0.22429583369206982,0.003935014626176663,0.8563516818181818,0.3772885318380143,0.17951025434178952,-41.56918500000003,15.430814999999967,0.15527027587287878,35,11,22,17,1.7505613880663193,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,MDT.csv,9.287392000000025,0.2510105945945953,0.13385205670274242,0.0036176231541281733,0.40379965217391417,0.29037959080960823,0.15708011051015044,-26.084015000000008,10.915984999999992,0.2799734459264706,14,15,23,8,1.057980709723207,False,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,SPLP.csv,-0.1089299999999902,-0.003025833333333061,-0.004376668193292103,-0.0001215741164803362,-0.00544649999999951,-0.013415415168927228,0.027463257959489718,-35.60384399999999,0.396156000000012,0.0389049448937079,16,6,20,8,0.28299268104879904,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,AEP.csv,5.697915000000009,0.14610038461538485,0.10880206717835172,0.002789796594316711,0.3798610000000006,0.3590649318073971,0.3392564208466277,-21.122427000000012,17.877572999999988,0.6468085340313408,24,7,15,6,0.8466296588636444,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,UN.csv,1.0832280000000125,0.02708070000000031,0.025179548327460395,0.0006294887081865099,0.0433291200000005,0.04972611022441156,0.07705263148708577,-36.92162599999999,3.0783740000000113,0.12085597707777225,15,12,25,5,0.6384481311191508,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,AGFS.csv,3.0500000000000016,0.06100000000000003,0.533283726142959,0.010665674522859181,0.09242424242424248,0.18640690551262565,0.4171439613154099,-47.52,2.4799999999999995,0.13879794470236165,17,15,33,8,0.3598017594765886,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,VZ.csv,1.918190999999986,0.04460909302325549,0.04632184986517226,0.0010772523224458666,0.0959095499999993,0.11466418580116199,0.05539296122211786,-40.740151000000026,2.2598489999999742,0.10418915776593876,23,11,20,13,0.5041337978353191,False,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,ABBV.csv,16.822677999999982,0.3058668727272724,0.3223593415900191,0.005861078938000347,0.4546669729729725,0.2731234500710601,0.12516226001993105,-48.34132000000001,6.658679999999991,0.08228188531529733,18,26,37,11,1.4736705766443152,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,GE.csv,-1.69455799999999,-0.0457988648648646,-0.06354843363766402,-0.001717525233450379,-0.07702536363636318,-0.15271110962947146,-0.1728739136266792,-41.56875099999999,-4.568750999999993,-0.29761386523614863,15,13,22,8,0.4062072953293716,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,T.csv,1.8802059999999976,0.05372017142857136,0.06098346695258856,0.0017423847700739588,0.09895821052631566,0.21890634078594692,0.12038954182389848,-31.302775000000004,3.697224999999996,0.2906881780410168,16,8,19,6,0.37679580737149193,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,CAT.csv,16.096766999999993,0.32193533999999985,0.24939872176485686,0.004987974435297137,0.766512714285714,0.3513921103654468,0.3518407031317619,-26.886006999999985,23.113993000000008,0.3874113956206309,29,9,21,15,1.2793168516623035,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,UPS.csv,6.562301999999988,0.17269215789473655,0.06695431005981858,0.0017619555278899628,0.32811509999999944,0.1995927418398347,0.16338118808382104,-22.145958000000054,15.85404199999995,0.3626015364620771,18,7,20,12,1.2240790072073406,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,WMT.csv,10.787574999999997,0.2766044871794871,0.18541676980089808,0.004754276148740976,0.44948229166666653,0.24049335547996212,0.14117209831399696,-30.735988999999986,8.264011000000018,0.1677819079608296,15,11,24,7,1.2791800550887416,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,DHR.csv,3.6372539999999987,0.11366418749999996,0.05164462612351995,0.0016138945663599984,0.2424835999999999,0.13108549176123332,0.06948772081102585,-27.20522299999999,4.7947770000000105,0.13435818216333967,17,7,15,8,1.112373860444824,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,MO.csv,-2.3593199999999896,-0.06049538461538435,-0.04092470647757962,-0.0010493514481430672,-0.09074307692307652,-0.09743369579183887,0.0048010676925392464,-38.74153099999999,0.2584690000000123,0.00803450010324846,13,15,26,7,0.8177412831081043,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,BRK-A.csv,17370.0,434.25,0.08605201372897384,0.0021513003432243457,789.5454545454545,0.19305232592169172,0.11774081740399005,23327.0,23367.0,0.2025097500861752,18,12,22,9,2943.7690116975496,False,False
Adv-ALSTM,stocknet,0.75,3,1.0,std,RDS-B.csv,8.887571000000023,0.17426609803921614,0.19804857568922074,0.0038833054056709947,0.29625236666666743,0.20388275443843684,0.04098233390222975,-49.255273,1.7447270000000046,0.03413199753574952,21,16,30,14,1.002878080305762,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,GD.csv,14.06089799999998,0.3269976279069763,0.10403138292590189,0.0024193344866488813,0.5207739999999993,0.19983994490447793,0.05659224300727229,-35.410443999999984,7.589556000000017,0.09483598867081204,16,14,27,11,1.8696661568782702,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,FB.csv,-4.070007999999987,-0.0798040784313723,-0.03394282953004998,-0.0006655456770598034,-0.15653876923076873,-0.05573271787930626,-0.17653671222927814,-69.71000200000003,-18.71000200000003,-0.2064949546953771,25,14,26,14,1.7902695830082915,True,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,REX.csv,9.359991999999998,0.17333318518518515,0.16085530093813813,0.0029788018692247804,0.35999969230769224,0.17999102574160816,0.2116155837007402,-42.59001599999999,11.409984000000007,0.11581859895205375,28,12,26,12,1.8358507592030664,False,True
Adv-ALSTM,stocknet,0.75,3,1.0,std,SNY.csv,7.154576000000006,0.16638548837209316,0.17262700522393032,0.004014581516835589,0.2861830400000002,0.2995298258206693,0.3745482211015043,-26.711721,16.288279000000006,0.4450346715253502,18,8,25,5,0.9283944294946052,False,False
