method,dataset,total val trading days skipped,total val trading days successful,total val trading days,total val log return,avg val log return,val sharpe ratio,total tes trading days skipped,total tes trading days successful,total tes trading days,total tes log return,avg tes log return,tes sharpe ratio,run
Adv-ALSTM,stocknet,87,1314,2555,4.352853044032509,0.001703660682595894,0.07428279239526703,0,2135,3720,10.645458360481122,0.0028616823549680436,0.14634484005659687,1
Adv-ALSTM,stocknet,87,1326,2555,5.0411709259671245,0.0019730610277757825,0.08611029768769181,0,2090,3720,8.808151768702931,0.0023677827335222934,0.1206800848881728,2
Adv-ALSTM,stocknet,87,1289,2555,3.037876249856724,0.0011889926613920642,0.05176906590330081,0,2147,3720,10.714859304100756,0.00288033852260773,0.147319549255101,3
Adv-ALSTM,stocknet,87,1331,2555,6.278373197803076,0.002457288922819208,0.1074633224146981,0,2160,3720,11.196641088857074,0.003009849755069106,0.154097485184013,4
Adv-ALSTM,stocknet,87,1293,2555,5.397991985113784,0.0021127170196140054,0.09225547029480609,0,2088,3720,8.628827776647384,0.002319577359313813,0.11818848465273361,5
Adv-ALSTM,kdd17,50,3999,8070,1.0491167477488217,0.00013000207530964333,0.006634140075303247,0,3946,7398,9.856975592846405,0.0013323838325015416,0.06702797046851533,1
Adv-ALSTM,kdd17,50,4011,8070,2.122394530887213,0.0002629980831334837,0.013421977214767601,0,3924,7398,8.267661458315152,0.0011175535899317587,0.056183137320217555,2
Adv-ALSTM,kdd17,50,4036,8070,2.0068466973349706,0.00024867988814559734,0.012691134111305737,0,3869,7398,6.096080344485012,0.00082401734853812,0.0413962864091026,3
Adv-ALSTM,kdd17,50,4060,8070,2.580389326322061,0.00031975084588873123,0.016319029367161658,0,3828,7398,3.4782618707782156,0.00047016245887783394,0.023605984435929397,4
Adv-ALSTM,kdd17,50,4027,8070,1.0482497811112212,0.00012989464449953176,0.006628657529169262,0,3913,7398,7.811289869531597,0.001055865081039686,0.053072858084200994,5
