method,dataset,run,ticker filename,total log return,avg log return,sharpe ratio,total trading days skipped,total trading days successful,total trading days
Adv-ALSTM,stocknet,1,MCD.csv,0.050302876015695344,0.0016767625338565116,0.09209561359313066,0,20,30
Adv-ALSTM,stocknet,1,UNH.csv,0.10856254945504308,0.0023600554229357192,0.11852006748909165,0,25,46
Adv-ALSTM,stocknet,1,DUK.csv,0.07940320007903354,0.002089557896816672,0.12241562228833423,0,21,38
Adv-ALSTM,stocknet,1,C.csv,0.19473483236281663,0.004327440719173703,0.23665038470756722,0,20,45
Adv-ALSTM,stocknet,1,ABB.csv,0.32993275513906684,0.007855541789025401,0.6774109289103449,0,20,42
Adv-ALSTM,stocknet,1,BBL.csv,0.3050452323141828,0.005447236291324693,0.19102606221988686,0,25,56
Adv-ALSTM,stocknet,1,PG.csv,0.0938791578961588,0.002682261654175966,0.2087969419430621,0,21,35
Adv-ALSTM,stocknet,1,PPL.csv,0.23821230116152559,0.0051785282861201215,0.36575539491484793,0,25,46
Adv-ALSTM,stocknet,1,HRG.csv,0.1534835614291888,0.00326560768998274,0.20148424658543737,0,25,47
Adv-ALSTM,stocknet,1,PEP.csv,-0.09368728070988716,-0.0026767794488539187,-0.21753268341846116,0,19,35
Adv-ALSTM,stocknet,1,KO.csv,-0.014820085408864004,-0.0003900022476016843,-0.030748166380406058,0,22,38
Adv-ALSTM,stocknet,1,AEP.csv,0.2493461872521915,0.006393491980825423,0.4345498043422487,0,23,39
Adv-ALSTM,stocknet,1,WMT.csv,0.07010028847335276,0.0017974432941885322,0.08242443598671216,0,20,39
Adv-ALSTM,stocknet,1,DIS.csv,0.03222617474792712,0.0007672898749506457,0.0478221131733451,0,22,42
Adv-ALSTM,stocknet,1,V.csv,0.08740587681174339,0.00190012775677703,0.12128246673763127,0,26,46
Adv-ALSTM,stocknet,1,SO.csv,0.06120489741126488,0.001700136039201802,0.11977705932913926,0,21,36
Adv-ALSTM,stocknet,1,PFE.csv,0.17090853786604457,0.0042727134466511146,0.23293300982465637,0,18,40
Adv-ALSTM,stocknet,1,VZ.csv,0.04526163483365747,0.0010525961589222669,0.08671286114114674,0,21,43
Adv-ALSTM,stocknet,1,EXC.csv,0.033964045039446764,0.0007547565564321503,0.042732705936357473,0,21,45
Adv-ALSTM,stocknet,1,CELG.csv,0.311068675044404,0.006099385785184392,0.21855092100766893,0,26,51
Adv-ALSTM,stocknet,1,BA.csv,0.06367767163771441,0.0014808760845980097,0.08769882794365436,0,26,43
Adv-ALSTM,stocknet,1,CHL.csv,0.25381836477956904,0.005902752669292303,0.428124984824852,0,19,43
Adv-ALSTM,stocknet,1,ORCL.csv,0.1753692316347366,0.0038970940363274803,0.2313367255364449,0,25,45
Adv-ALSTM,stocknet,1,BABA.csv,0.280425436718945,0.0056085087343789,0.21583951362052495,0,29,50
Adv-ALSTM,stocknet,1,BAC.csv,0.1215000268606742,0.0026413049317537867,0.1352621807461235,0,22,46
