method,dataset,test acc,test mcc,valid acc,valid mcc,run
LSTM,stocknet,53.387096774193544,0.07048857122135427,53.54207436399218,0.05173313902111023,1
LSTM,stocknet,53.01075268817205,0.08249214871159559,54.95107632093933,0.06245783118350948,2
LSTM,stocknet,54.22043010752689,0.08653863763745717,55.77299412915851,0.10758405009162389,3
LSTM,stocknet,48.575268817204304,-0.012702205667304877,55.06849315068493,-0.023382226851194204,4
LSTM,stocknet,53.41397849462366,0.06714399072376077,55.96868884540117,0.13727111368606737,5
ALSTM,stocknet,55.295698924731184,0.10724102318665925,52.48532289628181,0.053225416327436985,1
ALSTM,stocknet,54.946236559139784,0.09906963707279427,52.36790606653621,0.07520301459472396,2
ALSTM,stocknet,53.575268817204304,0.07157092883687093,52.72015655577299,0.05400126570380204,3
ALSTM,stocknet,53.575268817204304,0.08674738382865099,53.26810176125245,0.027021764045054002,4
ALSTM,stocknet,52.58064516129032,0.05978340048185689,53.85518590998043,0.05425838830624558,5
Adv-ALSTM,stocknet,57.392473118279575,0.1471539050879415,54.55968688845401,0.09772274088941021,1
Adv-ALSTM,stocknet,56.18279569892473,0.12154684425698084,54.99021526418787,0.15452019826536134,2
Adv-ALSTM,stocknet,57.715053763440864,0.15389396241577838,54.40313111545988,0.08879835441646727,3
Adv-ALSTM,stocknet,58.06451612903226,0.16212913987287306,55.49902152641879,0.1291466338751364,4
Adv-ALSTM,stocknet,56.12903225806451,0.12503361240752772,56.04696673189824,0.13310966345801645,5
LSTM,kdd17,50.4595836712625,-0.0023647882120733706,51.412639405204466,0.035992801499660845,1
LSTM,kdd17,50.419032170856994,-0.005400815491849412,51.14002478314747,0.032166490128039356,2
LSTM,kdd17,51.689645850229795,0.019679999486031302,51.59851301115241,0.04226469213470868,3
LSTM,kdd17,51.82481751824818,0.013362543936410938,51.47459727385378,0.04797026203082214,4
LSTM,kdd17,51.10840767775075,0.008068771602651521,51.548946716232955,0.043997403726533615,5
ALSTM,kdd17,51.87888618545553,0.012118636310180196,50.966542750929364,0.036780347094128335,1
ALSTM,kdd17,51.540957015409575,0.020894886704274484,51.28872366790582,0.0338733189035281,2
ALSTM,kdd17,52.06812652068127,0.017067685421595515,51.11524163568774,0.040114858845620695,3
ALSTM,kdd17,52.0816436874831,0.0228418724187405,51.37546468401487,0.04087251420537158,4
ALSTM,kdd17,51.027304676939714,0.010554478989269908,51.14002478314747,0.03087452979702233,5
Adv-ALSTM,kdd17,53.33874020005407,0.05566295142385108,51.59851301115241,0.03834918755542671,1
Adv-ALSTM,kdd17,53.04136253041363,0.05073747814023728,51.43742255266419,0.03481786333614953,2
Adv-ALSTM,kdd17,52.297918356312515,0.03595209820479278,51.56133828996282,0.03757369424412688,3
Adv-ALSTM,kdd17,51.74371451743715,0.022905408678943022,51.42503097893433,0.035898980757626466,4
Adv-ALSTM,kdd17,52.89267369559341,0.04597382608598332,51.56133828996282,0.039554897933500095,5
